url,page_role,primary_cluster,primary_keyword,secondary_keywords,status,priority,cannibalisation_control,clinical_review
/czechia/cs,market hub,Online doctor,online lékař Česko,online lékař|lékař online Česko,existing,monitor,"Do not target practical GP or specific service terms",yes
/czechia/cs/gp-consultation-online,commercial owner,Online GP,praktický lékař online,online konzultace s lékařem|praktik online|promluvte si s lékařem,existing,P0,"Receive commercial anchors from home/articles; remeasure after 2026-09-08",yes
/czechia/cs/services/lekar-online-praha,commercial owner,Prague Czech care,lékař online Praha,soukromý lékař Praha|online konzultace Praha,existing,P1,"Own Prague modifier; do not create district pages",yes
/czechia/en,English market hub,Czechia expat care,online doctor Czech Republic,doctor for foreigners Czech Republic|English doctor Czechia,existing,P1,"Route Prague transaction intent to the service page",yes
/czechia/en/services/lekar-online-praha,commercial owner,Prague expat care,English speaking doctor Prague,doctor for foreigners Prague|private doctor Prague|online doctor Prague,existing,P0,"Protect existing rank; English support must link here",yes
/czechia/cs/services/neschopenka-online,commercial owner,Sick note service,online neschopenka,neschopenka online|lékařská neschopenka online,existing,P0,"Own booking/assessment modifiers; link to official-process article",yes
/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,informational owner,eNeschopenka process,jak funguje eNeschopenka,eNeschopenka|jak funguje neschopenka|ČSSZ neschopenka,existing,P0,"Own process questions; no booking-led title/H1",yes
/czechia/cs/blog/vypocet-nemocenske-2026-co-plati-zamestnavatel-a-co-cssz,informational support,Sick-pay calculation,výpočet nemocenské 2026,nemocenská zaměstnavatel|nemocenská ČSSZ,existing,P2,"Keep payment calculation separate from medical assessment",yes
/czechia/cs/blog/lekar-online-24-7-co-vyresi,informational support,24/7 consultation,co vyřeší lékař online 24/7,kdy online lékař nestačí|jak funguje online konzultace,existing,P0,"Avoid primary ownership of praktik online; strong contextual GP link",yes
/czechia/cs/services/obnoveni-lecby,commercial owner,Treatment renewal,obnovení receptu online,eRecept online|obnova léčby online,existing,P0,"No separate eRecept landing page until distinct demand is proven",yes
/czechia/cs/services/detsky-lekar-online,commercial owner,Paediatrics,dětský lékař online,pediatr online|online konzultace pro dítě,existing,P1,"One pediatric owner; articles support red flags and preparation",yes
/czechia/cs/services/kozni-konzultace-praha,commercial owner,Dermatology,kožní lékař online,kozni online|online dermatolog|kožní konzultace Praha,existing,P1,"Own remote dermatology; do not create condition pages without service evidence",yes
/czechia/cs/services/doporuceni-a-vysetreni,commercial owner,Referrals,žádanka online,doporučení ke specialistovi|eŽádanka,existing,P1,"Service owns assessment request; official process terms remain informational",yes
/czechia/cs/services/druhy-nazor-praha,commercial owner,Second opinion,druhý názor lékaře,druhy nazor|second opinion Prague,existing,P2,"Keep consolidated; avoid specialty variants until supported",yes
/czechia/cs/tools/blood-pressure-chart,tool owner,Blood pressure,krevní tlak kalkulačka,tabulka krevního tlaku|hodnoty krevního tlaku,existing,P1,"No duplicate calculator slug; preserve current canonical",yes
/czechia/cs/tools/calorie-calculator,tool owner,Calories,kalkulačka kalorií,výpočet kalorií|kalorický příjem,existing,P2,"Tool intent only; health-service CTA must remain contextual",yes
/czechia/cs/tools/bmi-calculator,tool owner,BMI,BMI kalkulačka,výpočet BMI|BMI ženy|BMI muži,existing,P2,"Improve tool usefulness before adding articles",yes
/czechia/cs/doctors,directory,Czech doctors,online lékaři Česko,lékaři Global Health|ČLK lékař,existing,P1,"Profiles own clinician names; directory should not own service terms",yes
