finding_id,sheet_or_file,severity,check,expected,observed,fixed,fix_applied
QA-001,01_Dashboard,fix,6 dashboard - every card and list resolves,Top 10 impressions gains and declines populated (20 value cells + 20 URL cells),"All 40 cells blank: AGGREGATE was stored bare, Excel resolved it as the unknown user function _xludf.AGGREGATE (#NAME?) and the wrapping IFERROR returned """"",yes,qa_fixes.py F1 - AGGREGATE is an Excel 2010+ function and must be stored as _xlfn.AGGREGATE; writing the bare name back is re-mangled by Excel on save. Both lists now populate.
QA-002,01_Dashboard,fix,6 dashboard - top-10 lists are populated,Ten distinct URLs per top-10 list,"All ten decline rows tied at -100% and INDEX/MATCH returned the first matching row, printing /book-online ten times",yes,"qa_fixes.py F12 - URL lookup takes the n-th matching row via _xlfn.AGGREGATE(15,6,(ROW(col)-5)/(col=value),COUNTIF(...)). Applied to both lists."
QA-003,04_Page_Inventory,fix,4 missing-value discipline / encoding,"coverage_state literal ""Excluded by 'noindex' tag"" (U+2018/U+2019)",14 cells carried the UTF-8 bytes re-decoded as cp1252; dashboard B53 and the 14-noindex figure in report 4 read 0,yes,qa_fixes.py F2 - the 14 workbook cells were repaired and the dashboard card now matches by wildcard. NOTE: seo/tracking/data/url_inspection.csv still carries the mojibake; a rebuild reverts this unless A10 fixes the CSV read encoding.
QA-004,04_Page_Inventory,fix,1 structure - validation lists,coverage_state list usable in Excel,"Inline list contained ""Duplicate, Google chose different canonical than user""; the embedded comma is the Excel list delimiter, so 4 valid cells read as invalid and two bogus options existed",yes,"qa_fixes.py F2 - list removed. coverage_state is a read-only Google API enum, not analyst input; the enum stays documented in 23_Data_Dictionary. An inline list cannot express a member containing a comma."
QA-005,04_Page_Inventory,fix,2 keys and joins / 6 dashboard,audit_state records Content-reviewed for the 140 url_ids in content_review.csv,0 rows carried Content-reviewed; dashboard B47 and 25_Config content_reviewed both resolved to a literal 0 - an invented zero that violates 25_Config missing_numeric_rule,yes,qa_fixes.py F3 - 140 rows re-flagged from content_review.csv (all 140 url_ids exist in 04). Both cards now read 140. Root cause: content_review.csv landed after build_workbook.py wrote the inventory sheet.
QA-006,25_Config,fix,8 cross-document consistency,live_tested uses the same denominator as urls_known (route patterns excluded),live_tested = 3752 (all inventory rows) against urls_known = 3369; dashboard B44 already excluded route patterns and read 3369,yes,qa_fixes.py F4 - the four audit_state counters now carry the <>route_pattern_not_url filter. live_tested = 3369.
QA-007,05_Technical_QA,fix,1 structure - validation lists,status column carries only the pass/fail/partial/not_run/pass with notes list,"Two overlapping list validations on E: the real one (E6:E49) plus the 19_Issues issue-status list wrongly applied to E6:E505, against which all 44 real values are invalid",yes,qa_fixes.py F5 - the mis-targeted 19_Issues list removed.
QA-008,15_Backlinks,fix,1 structure - validation lists,resolved_http_status list matches the numeric cell values,"List literal was ""200.0,404.0"" (float repr); all 410 populated numeric cells read as invalid",yes,"qa_fixes.py F6 - list corrected to ""200,404""."
QA-009,01_Dashboard,fix,6 dashboard - freshness dates equal 25_Config,Freshness cards render as dates,B37:B40 were General-formatted and rendered 46280 / 46276 / 46277 / 46280; values were correct,yes,"qa_fixes.py F7 - number_format set to yyyy-mm-dd. Values match 25_Config as_of_date 2026-09-15, gsc_last_complete_date 2026-09-11, ga4_last_complete_date 2026-09-12, ledger_retrieved_header_date 2026-09-15."
QA-010,16_Content_Review; 27_Country_Coupling; 28_Copy_Proposals,fix,"1 structure - validation lists on status/priority/classification of 19, 16, 17, 27, 28",Status columns carry a validation list,"No list on 16 clinical_review_status, 16 copy_approval_status, 27 status, 28 status",yes,"qa_fixes.py F8 - lists added, each built from the values already present in the column plus the workbook's own 19_Issues status vocabulary. No value invented and no existing cell invalidated."
QA-011,16_Content_Review,fix,1 structure - validation lists,native_editor_status list covers every value present,"List was ""needed,not needed""; row COPY-001 holds ""Not assessed""",yes,qa_fixes.py F8 - list widened to needed / not needed / Not assessed.
QA-012,23_Data_Dictionary,fix,1 structure - every table column has a non-empty definition,Every column of every table documented,"20 columns undocumented: 00_README topic/instructions; 04 raw_url, normalized_url, template_file, notes; 09 page; 10 page, data_state, source_timezone; 11 landing_page, transactions, data_state; and all 7 columns of 23_Data_Dictionary itself",yes,qa_fixes.py F10 - 20 rows added with definition/type/grain/aggregation/missing_rule matching their sheet's existing convention; table ref extended to A5:G507 (502 data rows).
QA-013,01_Dashboard,fix,6 dashboard - P0 banner present,Banner names every P0 row in 19_Issues,"Banner named TECH-001 and CPL-012 only; 19_Issues carries a third P0, CPL-006 (clinical-approval gate named for one market but gating three)",yes,"qa_fixes.py F11 - banner is now generated from 19_Issues and reads ""P0 (3): CPL-012, TECH-001, CPL-006 - see 19_Issues"". The priority values themselves were not altered - see QA-016."
QA-014,08_Crawl_History,fix,4 missing-value discipline / data integrity,requested_url holds a URL,"123 cells carried an unquoted-CSV bleed: the GSC export tail (position, ctr, refresh id, America/Los_Angeles, openseo_mcp:get_search_console_performance) was appended to the URL after a bare comma",yes,"qa_fixes.py F13 - truncated at the first comma only where the tail carries a GSC-export marker. Verified: for all 123 rows the recovered head equals that row's normalized_url in 04 or its final_url. The 14 route-pattern URLs whose regex legitimately contains a comma ({3,}) were left untouched. NOTE: seo/tracking/data/crawl_history.csv still carries the bleed; a rebuild reverts this."
QA-015,08_Crawl_History,fix,2 keys and joins,One crawl row per url_id,"url_id U000001 appears on 2 rows (sheet rows 6 and 7): the utm-tagged inventory URL and a second probe of bare ""/"", which SYN-root already covers. 08 therefore holds 3,370 non-route-pattern rows over 3,369 URLs",no,"Not fixed: removing a data row is a source/rebuild change, not a workbook patch. Remedy for A10: drop the bare-""/"" duplicate from crawl_history.csv for U000001 and rebuild."
QA-016,19_Issues,fix,2 keys and joins - P0 rows are TECH-001 and CPL-012,Two P0 rows,"Three P0 rows: CPL-012 (score 4.0), TECH-001 (2.5) and CPL-006 (5 x 0.9 / 4 = 1.125)",no,"Not fixed: a priority is an analyst judgement, not a workbook defect. Owner/orchestrator must either demote CPL-006 to P1 or add it to the report 1 P0 list. The dashboard banner (QA-013) now reflects whatever 19_Issues says."
QA-017,19_Issues,fix,4 missing-value discipline,Every issue row carries a status,"12 of 38 rows have a blank status, including two of the three P0 rows (CPL-012 and CPL-006)",no,Not fixed: a status cannot be invented. The validation list is present; the owner must set them.
QA-018,19_Issues,fix,1 structure - validation lists,status values come from the list,"5 rows carry free-text sentences instead of an enum value (e.g. ""Verified: collection restored 2026-09-09; begin_checkout still unregistered; outage 08-02..09-08 unmeasured"")",no,Not fixed: rewriting analyst text is a content change. Remedy: move the sentence to next_action and set status to the matching enum (Verified / Closed / Not applicable).
QA-019,docs/audits/seo/seo-master-audit-2026-09-15.md,fix,8 cross-document consistency - sections 1 and 4,"Live-probe status split over the 3,370 non-route-pattern crawl rows","Report says 200 = 2,791, 404 = 541, 410 = 38. Workbook 08_Crawl_History gives 200 = 2,889, 404 = 437, 410 = 44. The 2,791 and 38 come from the raw 4,271-row probe file (host and slash variants included); 541 is a residual (3,370 - 2,791 - 38), not a count. Section 1 repeats ""2,791 of 3,370""",no,"Orchestrator patch. Correct values: 2,889 / 437 / 44 of 3,370 rows (3,369 URLs)."
QA-020,docs/audits/seo/seo-master-audit-2026-09-15.md,fix,8 cross-document consistency - section 5,Check count matches 05_Technical_QA,"Report says ""41 checks, 16 failing before reconciliation, 12 after"". 05_Technical_QA holds 44 rows: 40 T-001..T-040 plus 4 carried QA-068..QA-071. Failing now: 14 rows, of which exactly 12 are T-checks",no,"Orchestrator patch. Correct: 40 technical checks (44 sheet rows including the 4 locale-QA rows), 12 T-checks failing after reconciliation plus QA-068 and QA-069."
QA-021,docs/audits/seo/seo-master-audit-2026-09-15.md; 25_Config,fix,8 cross-document consistency - sections 4 and 12,Rendered count consistent between report and workbook,"Report 4 and 12 say 8 rendered; 04_Page_Inventory audit_state and 25_Config rendered both say 6. Section 4 lists 8 renders but two of them are the same URL (Ireland home, before and after the flag check) and one is the site root",no,Orchestrator patch. Correct wording: 8 browser renders over 6 distinct inventory URLs.
QA-022,docs/audits/seo/seo-master-audit-2026-09-15.md,fix,8 cross-document consistency - section 11,Change-log event count matches 20_Change_Log,"Report says ""see 20_Change_Log, 30 events""; the sheet has 31 rows",no,Orchestrator patch. Correct value: 31.
QA-023,docs/audits/seo/seo-master-audit-2026-09-15.md,fix,8 cross-document consistency - section 1,Coupling breakdown sums to the stated total,"Section 1 item 4 says ""70 real coupling points (39 content only one market received, 24 legitimate rules written as inline literals, 4 cache/loader special cases)"" - the parenthesis sums to 67. Section 7 and 27_Country_Coupling carry the full split 39 / 24 / 4 / 2 applied-script-or-draft / 1 test-or-dead = 70",no,"Orchestrator patch. Add the missing 2 + 1 to the section 1 parenthesis, or drop the breakdown there."
QA-024,docs/plans/seo-control-state-2026-09.md,fix,8 cross-document consistency - ledger section 2,Sheet count matches the workbook,"Ledger says ""30 sheets""; the workbook has 31 (00_README through 30_Scripts_Cleanup)",no,Orchestrator patch. Correct value: 31 sheets (30 table sheets plus 01_Dashboard).
QA-025,docs/audits/seo/seo-master-audit-2026-09-15.md; docs/plans/seo-control-state-2026-09.md; 25_Config,fix,8 cross-document consistency - report header and ledger section 2,One audited commit,"Report header and ledger 2 say commit f055a9b78a567502051c7c81b9f9313da32cdc4d. 25_Config audited_commit and production_build_marker both say 451b23e72f7076f53a06364e06f86da74113d568, which is git rev-parse HEAD today and the build_id observed on 3,731 of 3,771 crawl rows (40 rows carry f055a9b7)",no,"Orchestrator patch. Reconcile to 451b23e7 as the audited commit and production build marker, or state explicitly that the probe started at f055a9b7 and finished at 451b23e7."
QA-026,16_Content_Review,fix,4 missing-value discipline,clinical_review_status set where clinical_gate = yes,"clinical_review_status is blank on 140 of 141 rows, including the 12 rows whose clinical_gate says the change needs in-market clinician approval",no,Not fixed: a clinical review state cannot be invented. The validation list is now present (QA-010); the owner must set the 12 gated rows.
QA-027,08_Crawl_History,note,4 missing-value discipline,final_url holds the complete route pattern,"6 route_pattern_not_url rows have final_url truncated at the comma inside the regex quantifier (""...{3"" instead of ""...{3,})""); pre-existing in crawl_history.csv",no,"Not fixed: these rows are route patterns, not URLs, and are excluded from every coverage count. Flagged for A10's CSV quoting fix."
QA-028,08_Crawl_History,note,2 keys and joins - every 08 url_id exists in 04,All 08 url_ids resolve in 04_Page_Inventory,"18 url_ids do not: SYN-apex, SYN-http-apex, SYN-http-www, SYN-root, SYN-robots, SYN-sitemap and the 12 per-market slash / no-slash probes",no,"By design - deliberate synthetic host, slash and robots/sitemap probes, not inventory URLs. All 3,753 non-SYN url_ids resolve."
QA-029,09_GSC_Page_Daily; 12_Monthly_Summary,note,2 keys and joins - 12 equals sums from 09 per month x market x language,"Every (month, market, language) group matches","All 99 real groups match exactly. Two structural carve-outs: (a) 14 ALL/ALL rows for 2025-05..2026-06 are pre-launch Wix property-level literals, not 09-derived, and say so in quality_status; (b) 09 rows with a blank target_country (433 clicks / 15,891 impressions across Jul-Sep) have no 12 row because 12 is a per-market grain",no,No action - documented grain. Consider an explicit unattributed row in 12 if the totals must reconcile.
QA-030,11_GA4_Landing_Daily,note,"4 missing-value discipline - outage dates absent, not zero",No rows for 2026-08-02..2026-09-08,Confirmed absent. 11 holds only 2026-07-25..07-28 and 2026-09-09..09-14. purchases / purchase_revenue / transactions are measured zeros; booking_starts is blank on all 204 rows (not a configured key event); currency is EUR on every row,no,Pass - matches ga4_outage_windows.csv and 25_Config ga4_outage_window.
