date,event,commit,evidence
2025-05-15,tracking_window_start,,"GSC page-level history available from 2025-05-15 (seo/tracking/data/gsc_page_monthly_wix.csv, gsc_property_daily.csv). Wix site in production; all indexed URLs are Wix shapes (/product-page/*, /{country}-doctors/*, /team*, /post/*, /booking-calendar/*, /service-page/*)."
2026-07-17,launch_cutover_code_complete,ab0fe717,"feat(seo): complete sitemap, explicit AI-crawler robots rules, richer llms.txt — the first commit that ships a full Next.js sitemap + robots for the current /{country}/{lang}/ shape. Brief states the release/go-live branch merged 2026-07-17. Also 267e8a74 (public titles/cache) the same day."
2026-07-19,first_legacy_redirect_batch,c602219e,"fix(seo): 301 legacy Wix URLs that Google still indexes (were soft-404s) — proves the Next.js site was already serving production traffic and legacy Wix URLs were already soft-404ing by 2026-07-19. Same day: 79083081 localized PT/CZ/RO service slugs, b62a547f + 0aa5bb6d sitemap completion."
2026-07-20,crawl_discovery_step_begins,,"GSC property daily impressions step: 631 (07-19) -> 1188 (07-20) -> 2343 (07-21), against a 2026-07-01..07-19 baseline of 344-631/day. Source: seo/tracking/data/gsc_property_daily.csv."
2026-07-21,launch_label_in_gsc_bucket,fd332a86,"The GSC monthly pull labels 2026-07-21 as the post_launch bucket boundary. Current-shape /{country}/{lang}/ URLs already earned 1,081 impressions across 289 pages inside the 2026-07-01..07-20 bucket, so 2026-07-21 is the discovery/reporting step, not the deploy date. Commit fd332a86 renders the sitemap at request time so API-backed detail pages are included."
2026-07-23,legacy_redirect_batch,003c5a63,"fix(seo): 301 legacy Wix doctor-profile and static-page URLs missing from redirect map; de623f38 redirects Brazil's unsupported CS/RO/DE locale URLs to pt; cf5a8c01 stops notFound() pages serving HTTP 200."
2026-07-24,legacy_redirect_batch,126a84e3,"fix(seo): complete legacy Wix redirect map — 187 GSC 404s now 308. Largest single redirect batch. Same day 46f7eb2f (bare /:country/:lang/services -> country home) and 000022cc sitemap 404 gating."
2026-07-25,analytics_ga4_added,7f553148,"feat(analytics): GA4 G-SP48D9LJJ5 behind new Analytics consent category. Sitemap change ba842f60 (canonicalize + noindex untranslated blog locale variants)."
2026-07-26,sitemap_change,baa09b68,"feat(seo): date every sitemap URL with a real lastmod."
2026-07-28,analytics_change,80bae092,"feat(analytics): add Microsoft Clarity, harden GA4 behind consent. Sitemap: e6ca40d9 submit legal pages once per country."
2026-07-30,legacy_redirect_batch,27691d97,"fix(seo): repair every dead legacy Wix URL Google still ranks; 699a89b2 one-hop every legacy Wix redirect + cover bare /{country}/{slug}; ca5dfcfe stop 48 cross-market 308->404 chains; d00fc967 308 country roots and catch /booking-calendar/:slug. This is the batch that created the parameterised catch-all families."
2026-08-02,tracking_interruption,712dba75,"GA4 collection outage begins. seo/tracking/data/ga4_outage_windows.csv: excluded_start 2026-08-02, reason 'Documented GA4 collection outage (ledger sec.47) - no landing-page rows exist for this range, confirmed empty not zero-traffic'. Adjacent commits the same day touch the analytics/CSP path: 712dba75 and 41650fa6 (CSP for the ElevenLabs convai widget). Correlation only - the ledger attributes the outage to a wrong GA4 measurement id in the production Railway build variable."
2026-08-03,analytics_change,0e1c2ff7,"fix(analytics): pass the GA4 and Clarity ids into the Docker build — an attempted repair inside the outage window; collection did not actually resume (see 2026-09-09). Same day: SEO Phases 1-4 a104a910 / 1e13c3b2 / 7130d7e1 / 3dfba971, and c8f92549 retires /health/international-students behind a 301."
