"url","locale","status","final_url","title","description","h1","word_count","canonical","robots","hreflang_count","faq_native_count","source","checked_at","sha256"
"https://www.myglobalhealth.online/romania/cs","cs","200","https://www.myglobalhealth.online/romania/cs","Online lékař Rumunsko | Registrovaní lékaři a specialisté","Promluvte si ještě dnes s registrovaným lékařem přes videohovor — konzultace s praktickým lékařem, potvrzení, odeslání ke specialistovi. Termíny tentýž den, Rumunsko.","Online lékařská péče v Rumunsku","1455","https://www.myglobalhealth.online/romania/cs","index, follow","7","7","https://www.myglobalhealth.online/romania/cs","2026-09-12T20:17:43.589Z","77b5bc10c06fa22854b9b5c2d48d87e12504aa2dd7b90a94d9841f576886a778"
"https://www.myglobalhealth.online/romania/cs/about","cs","200","https://www.myglobalhealth.online/romania/cs/about","O Global Health Rumunsko | Lékaři online · Global Health","Global Health Rumunsko: online konzultace videohovorem s lékaři registrovanými u Colegiul Medicilor din România, v jazycích rumunština / angličtina. Co nabízíme a kdo jsme.","O Global Health Rumunsko","412","https://www.myglobalhealth.online/romania/cs/about","index, follow","7","4","https://www.myglobalhealth.online/romania/cs/about","2026-09-12T20:17:48.869Z","a7489b551942b9db62e9117b088755341114bc8b7016e1cef14d2d9376d7f9fc"
"https://www.myglobalhealth.online/romania/cs/blog","cs","200","https://www.myglobalhealth.online/romania/cs/blog","Zdravotní příručky od registrovaných lékařů – Rumunsko","Zdravotní příručky založené na důkazech pro Rumunsko, které napsal a zkontroloval náš lékařský tým.","Zdravotní příručky od registrovaných lékařů.","301","https://www.myglobalhealth.online/romania/cs/blog","index, follow","7","0","https://www.myglobalhealth.online/romania/cs/blog","2026-09-12T20:17:47.362Z","da7288e14a4f0898b07e040789dd0fb0c58105a6444a151da2a1b5a2abf9c949"
"https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","cs","200","https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","Chronické nemoci a národní programy v Rumunsku","Nemoci zahrnuté do rumunských národních zdravotních programů: co pokrývají, jak probíhá zařazení a jak sledovat chronickou nemoc mezi kontrolami.","Chronické nemoci a národní zdravotní programy v Rumunsku: jak to funguje","1694","https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","index, follow","7","6","https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","2026-09-12T20:17:40.281Z","7485e3c4f76d428ef4f573243d7a20d4eec11042316d849aec68e7304d188521"
"https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","cs","200","https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","Diabetes v Rumunsku: příčiny, příznaky, léčba a budoucnost péče","V Rumunsku žije s diabetem přes 1,3 milionu lidí a mnoho dalších o něm neví. Průvodce příčinami, příznaky, možnostmi léčby a budoucností péče.","Diabetes: tichá nemoc","3631","https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","index, follow","7","7","https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","2026-09-12T20:17:40.707Z","4b6184281e4854902cdd8fe468311def8757602f412292c3b27e66c09dd4b83a"
"https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","cs","200","https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","Vysoký tlak: bezpečný postup v Rumunsku · Global Health","Zjistěte, jak správně přeměřit vysoký tlak, kdy volat 112 a proč neužívat další captopril ani domácí prostředky bez pokynu lékaře.","Jak bezpečně snížit vysoký tlak: co dělat v Rumunsku","1308","https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","index, follow","7","5","https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","2026-09-12T20:17:38.764Z","70706d18540020a9337ddbb942855b0041e3f9187159cca9afb43e67d6454fc9"
"https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","cs","200","https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","Lékařská zpráva v Rumunsku: kdo ji vystavuje · Global Health","Lékařská zpráva v Rumunsku: kdo ji vystavuje, co musí obsahovat, k čemu slouží, jak dlouho platí a co dělat, když je neúplná.","Lékařská zpráva v Rumunsku: kdo ji vystavuje, co obsahuje a k čemu slouží","1618","https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","index, follow","7","6","https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","2026-09-12T20:17:39.563Z","7b1e20aa784729d0e152bf50fdaee7ed34aebb24334f09e72ef103f39a2b27bc"
"https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","cs","200","https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","Zásady lékařské revize — Global Health Rumunsko","Jak Global Health píše, reviduje a aktualizuje zdravotnické články publikované pro Rumunsko: kdo je píše, který registrovaný lékař je schvaluje a jaké redakční standardy dodržujeme.","Jak píšeme a revidujeme lékařský obsah","601","https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","index, follow","7","0","https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","2026-09-12T20:17:47.883Z","10fa882aa02f73696b66d00b0d813bc354dc6dd615562de358da4d2106854b5e"
"https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","cs","200","https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","Nízký krevní tlak: příčiny, co dělat a kdy volat 112","Co znamená nízký krevní tlak, časté příčiny, manévry doporučené evropským doporučením při závratích, proč slazená voda nepomáhá a kdy jde o urgentní stav.","Nízký krevní tlak: proč se objevuje, co dělat hned a kdy už nečekat","1301","https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","index, follow","7","4","https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","2026-09-12T20:17:38.057Z","783daeae893b8b737c59bba1a6545be11b15120b2f38a7333a0e8530dbe87418"
"https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","cs","200","https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","Normální krevní tlak podle věku · Global Health","Zjistěte, jaký krevní tlak je u dospělých normální, co se mění s věkem a kdy opakovaně zvýšené hodnoty konzultovat s lékařem.","Normální krevní tlak podle věku: užitečný průvodce bez zavádějících tabulek","1586","https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","index, follow","7","6","https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","2026-09-12T20:17:39.141Z","ed2f26713e4cfb4d2ef77dbd1a6c5c2bdd5742901eb255412aa0da45c9925f2b"
