"referring_domain","source_url","competitor","competitor_target_url","link_type","relevance","authority_metric","traffic_metric","our_relationship","proposed_target","outreach_angle","effort","risk","priority","notes"
"ordemdosmedicos.pt","https://ordemdosmedicos.pt/","market gap","","regulatory citation","very high","","","none verified","https://www.myglobalhealth.online/portugal/pt/doctors","Ensure every clinician profile uses accurate official-register evidence; ask only about legitimate directory/provider references.","medium","low","P1","Compliance-led entity corroboration; not a paid-link request."
"ers.pt","https://www.ers.pt/","market gap","","regulatory directory/citation","very high","","","none verified","https://www.myglobalhealth.online/portugal/pt","Confirm public provider listing and NAP/entity consistency.","low","low","P1","Directory/citation opportunity; editorial backlink is not assumed."
"doctify.com","https://www.doctify.com/","target already has limited links","","review/profile","high","","","existing relationship observed","https://www.myglobalhealth.online/portugal/pt/doctors","Consolidate accurate Portugal clinician/provider profiles and request reviews only under platform policy.","medium","medium","P1","Do not create fake reviews or mark up ineligible aggregate ratings."
"saudeonline.pt","https://saudeonline.pt/","market gap","","editorial","high","","","none verified","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","Pitch anonymised, clinician-reviewed data on teleconsultation access or seasonal demand.","high","low","P1","Validate editor and pitch policy before outreach."
"healthnews.pt","https://healthnews.pt/","market gap","","editorial","high","","","none verified","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","Offer Portugal-licensed clinician commentary on travel health or primary-care access.","high","low","P1","No medical claim without clinical sign-off."
"justnews.pt","https://justnews.pt/","market gap","","professional editorial","high","","","none verified","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","Pitch disclosed expert commentary or original access-to-care analysis.","high","low","P2","Manual editorial-policy validation required."
"sapo.pt","https://www.sapo.pt/","dronline.pt / market competitors","","national editorial","medium-high","","","none verified","https://www.myglobalhealth.online/portugal/pt","Use a newsworthy Portugal access-to-care dataset, not a product-only pitch.","high","medium","P2","Earned media only; no manipulative anchor request."
"observador.pt","https://observador.pt/","market gap","","national editorial","medium-high","","","none verified","https://www.myglobalhealth.online/portugal/pt","Offer clinician commentary tied to a current public-health news cycle.","high","medium","P2","Requires a timely, original angle."
"portugalresident.com","https://www.portugalresident.com/","market gap","","expat editorial","high","","","none verified","https://www.myglobalhealth.online/portugal/en","Create a clinician-reviewed guide to accessing legitimate online care in Portugal for international residents.","medium","low","P2","Use only if the English Portugal route and clinician language supply are verified."
"expatica.com","https://www.expatica.com/pt/","market gap","","expat evergreen editorial","high","","","none verified","https://www.myglobalhealth.online/portugal/en","Propose a fact-checked resource update about primary care and teleconsultation access.","high","low","P2","Validate contributor and external-link policy."
"internations.org","https://www.internations.org/portugal-expats","market gap","","community/resource","medium","","","none verified","https://www.myglobalhealth.online/portugal/en","Share a non-promotional healthcare-access resource only where community rules permit.","medium","medium","P3","No forum spam, automation, or commercial anchor text."
"Portuguese patient organisations","","market gap","","co-created resource","high","","","none verified","service page matched to the organisation","Identify one legitimate association per staffed specialty and co-create an access guide without implying endorsement.","high","medium","P2","Shortlist manually; service supply and clinical governance must match."
