"retrieved_at","url","status","title","meta_description","h1","canonical","robots","self_hreflang","hreflang_count","schema_types","internal_link_count","approved_doctor_faqs_present","english_home_czech_copy_absent"
"2026-09-02T16:58:10.039Z","https://www.myglobalhealth.online/czechia/cs/doctors","200","Online lékaři v Česku | Ověřené profily · Global Health","Prohlédněte si profily lékařů registrovaných v Česku. Ověřte registraci, jazyky a aktuální možnost online rezervace.","Online lékaři v Česku","https://www.myglobalhealth.online/czechia/cs/doctors","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ItemList|ListItem|MedicalOrganization|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","48","not_applicable","not_applicable"
"2026-09-02T16:58:10.844Z","https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad","200","MUDr. Ahmed Maklad | Praktický lékař online v Česku · Czechia","Profil MUDr. Ahmeda Maklada, praktického lékaře registrovaného u ČLK č. 1176686198. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Ahmed Maklad","https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","53","yes","not_applicable"
"2026-09-02T16:58:11.550Z","https://www.myglobalhealth.online/czechia/cs/doctors/khoiamul-islam","200","MUDr. Khoiamul Islam | Praktický lékař online v Česku · Czechia","Profil MUDr. Khoiamula Islama, praktického lékaře registrovaného u ČLK č. 1178781199. Ověřte jazyky a aktuální dostupnost online konzultací.","MUDr. Khoiamul Islam","https://www.myglobalhealth.online/czechia/cs/doctors/khoiamul-islam","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","52","yes","not_applicable"
"2026-09-02T16:58:12.254Z","https://www.myglobalhealth.online/czechia/cs/doctors/mudr-romana-pavlu","200","MUDr. Romana Pavlů | Praktická lékařka online v Česku","Profil MUDr. Romany Pavlů, praktické lékařky registrované u ČLK č. 5163514190. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Romana Pavlů","https://www.myglobalhealth.online/czechia/cs/doctors/mudr-romana-pavlu","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","53","yes","not_applicable"
"2026-09-02T16:58:12.964Z","https://www.myglobalhealth.online/czechia/cs/doctors/mudr-vojtech-cerny","200","MUDr. Vojtěch Černý | Praktický lékař online v Česku","Profil MUDr. Vojtěcha Černého, praktického lékaře registrovaného u ČLK č. 1172330197. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Vojtěch Černý","https://www.myglobalhealth.online/czechia/cs/doctors/mudr-vojtech-cerny","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","39","yes","not_applicable"
"2026-09-02T16:58:13.711Z","https://www.myglobalhealth.online/czechia/cs/doctors/mudr-yasmin-holz","200","MUDr. Yasmin Holz | Praktická lékařka online v Česku","Profil MUDr. Yasmin Holz, praktické lékařky registrované u ČLK č. 5178823192. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Yasmin Holz","https://www.myglobalhealth.online/czechia/cs/doctors/mudr-yasmin-holz","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","53","yes","not_applicable"
"2026-09-02T16:58:14.473Z","https://www.myglobalhealth.online/czechia/cs/services/detsky-lekar-online","200","Dětský lékař online | Konzultace pro rodiče · Global Health","Online konzultace dětských potíží s lékařem. Zjistěte, jak se připravit a které příznaky vyžadují akutní nebo osobní péči.","Dětský lékař online","https://www.myglobalhealth.online/czechia/cs/services/detsky-lekar-online","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","48","not_applicable","not_applicable"
"2026-09-02T16:58:15.261Z","https://www.myglobalhealth.online/czechia/cs/services/dusevni-zdravi-online","200","Duševní zdraví online | Konzultace s lékařem · Global Health","Diskrétní online konzultace duševních obtíží s lékařem. Při krizi nebo bezprostředním ohrožení volejte 155 nebo 112.","Duševní zdraví: online konzultace s lékařem","https://www.myglobalhealth.online/czechia/cs/services/dusevni-zdravi-online","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","48","not_applicable","not_applicable"
"2026-09-02T16:58:16.039Z","https://www.myglobalhealth.online/czechia/cs/tools/adhd-test","200","ADHD test pro dospělé zdarma | Screening · Global Health","Vyplňte šest otázek screeningového testu ADHD pro dospělé. Výsledek není diagnóza; tu stanoví psychiatr nebo klinický psycholog.","ADHD test pro dospělé","https://www.myglobalhealth.online/czechia/cs/tools/adhd-test","index, follow","yes","34","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|PostalAddress|PropertyValue|Question|WebSite","40","not_applicable","not_applicable"
"2026-09-02T16:58:16.817Z","https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator","200","Těhotenská kalkulačka | Termín porodu a týdny","Odhadněte termín porodu a týden těhotenství podle prvního dne poslední menstruace a délky cyklu. Výsledek je orientační.","Těhotenská kalkulačka","https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator","index, follow","yes","34","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|PostalAddress|PropertyValue|Question|WebSite","40","not_applicable","not_applicable"
"2026-09-02T16:58:17.600Z","https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator","200","Ovulační kalkulačka | Plodné dny a ovulace · Global Health","Odhadněte den ovulace a plodné dny podle prvního dne poslední menstruace a délky cyklu. Výsledek je orientační.","Ovulační kalkulačka","https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator","index, follow","yes","34","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|PostalAddress|PropertyValue|Question|WebSite","40","not_applicable","not_applicable"
"2026-09-02T16:58:18.446Z","https://www.myglobalhealth.online/czechia/en","200","Online Doctor in the Czech Republic | Registered Doctors","Consult doctors registered in the Czech Republic by video. Choose a service and a live appointment; prescriptions and documents depend on clinical assessment.","Online medical care in the Czech Republic","https://www.myglobalhealth.online/czechia/en","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","63","not_applicable","yes"
"2026-09-02T16:58:19.193Z","https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha","200","English-Speaking Doctor in Prague | Online Consultation","Book an online consultation with a Czech-registered, English-speaking doctor. See scope, live availability and when in-person or urgent care is needed.","English-speaking online doctor in Prague","https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","49","not_applicable","not_applicable"
