"URL","page type","primary keyword","secondary keywords","original title","optimized title","original meta description","optimized meta description","description optimized","bio optimized","FAQs optimized","deslop completed","factual verification completed","clinical review required","implementation status","reason for anything left unchanged","live H1","HTTP status","canonical","hreflang_pt_PT","indexable","locale_pt_PT","structured data","structured data types","CTA accuracy","live reviewed at"
"https://www.myglobalhealth.online/portugal/pt","market hub","global health","my global health | global health online | global health company | global health care","Médico Online Portugal | Clínicos e Especialistas Registados","Global Health Portugal | Cuidados médicos online","Consulte hoje um médico registado por videochamada — clínica geral, atestados médicos, referenciações para especialistas. Mesmo dia em Portugal.","Conheça os cuidados médicos online da Global Health em Portugal. Consulte os serviços disponíveis, os médicos e os passos para marcar uma consulta.","no","not applicable","not applicable","yes","yes","yes","live verified 2026-09-02","Approved title and meta description applied one record at a time and independently verified. H1, visible clinical copy, FAQs, links, prices, booking and availability data were retained.","Cuidados médicos online em Portugal","200","yes","yes","yes","yes","yes","Answer | BreadcrumbList | ContactPoint | Country | FAQPage | ImageObject | ListItem | MedicalOrganization | Organization | PostalAddress | PropertyValue | Question | WebSite","yes","2026-09-02"
"https://www.myglobalhealth.online/portugal/pt/about","static page","Global Health Portugal","telemedicina Global Health | serviços Global Health Portugal","Sobre a Global Health Portugal | Médicos online","Sobre a Global Health Portugal | Médicos online","Global Health Portugal: consultas online por videochamada com médicos inscritos na Ordem dos Médicos, em Português / Inglês. O que oferecemos e quem somos.","Global Health Portugal: consultas online por videochamada com médicos inscritos na Ordem dos Médicos, em Português / Inglês. O que oferecemos e quem somos.","no","not applicable","not applicable","yes","yes","no","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Sobre a Global Health Portugal","200","yes","yes","yes","yes","yes","Answer | BreadcrumbList | ContactPoint | Country | FAQPage | ImageObject | ListItem | MedicalOrganization | Organization | PostalAddress | PropertyValue | Question | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog","static page","guias de saúde Portugal","artigos de saúde em português | informação de saúde Portugal","Guias de saúde de médicos registados em Portugal","Guias de saúde de médicos registados em Portugal","Guias de saúde baseados em evidências para Portugal, escritos e revistos pela nossa equipa médica. Sem anúncios.","Guias de saúde baseados em evidências para Portugal, escritos e revistos pela nossa equipa médica. Sem anúncios.","no","not applicable","not applicable","yes","yes","no","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Guias de saúde de médicos registados.","200","yes","yes","yes","yes","yes","BreadcrumbList | ContactPoint | Country | ImageObject | ListItem | MedicalOrganization | PostalAddress | PropertyValue | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao","health article","atestado médico carta condução grupos 1 e 2","atestado médico para condução | grupos de carta de condução","Atestado médico carta condução: grupos 1 e 2 · Global Health","Atestado médico carta condução: grupos 1 e 2 · Global Health","Atestado médico da carta em Portugal: categorias dos Grupos 1 e 2, avaliação psicológica, envio eletrónico ao IMT e limites da consulta.","Atestado médico da carta em Portugal: categorias dos Grupos 1 e 2, avaliação psicológica, envio eletrónico ao IMT e limites da consulta.","no","not applicable","no","yes","no","yes","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Atestado médico para carta de condução: Grupo 1, Grupo 2 e envio ao IMT","200","yes","yes","yes","yes","yes","Answer | Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Question | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/autodeclaracao-de-doenca-ou-baixa-medica","health article","autodeclaração de doença ou baixa médica","autodeclaração de doença SNS 24 | diferença entre baixa e autodeclaração","Autodeclaração de doença ou baixa médica? (2026)","Autodeclaração de doença ou baixa médica? (2026)","Autodeclaração de doença ou baixa médica: quem emite cada uma, como se submete na Segurança Social Direta e qual dá direito a subsídio de doença.","Autodeclaração de doença ou baixa médica: quem emite cada uma, como se submete na Segurança Social Direta e qual dá direito a subsídio de doença.","no","not applicable","no","yes","no","yes","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Autodeclaração de doença ou baixa médica: qual precisa e quando","200","yes","yes","yes","yes","yes","Answer | Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Question | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular","health article","baixa médica quanto se recebe","subsídio de doença cálculo | valor da baixa médica","Baixa médica: quanto se recebe em 2026 · Global Health","Baixa médica: quanto se recebe em 2026 · Global Health","Veja as taxas de 55% a 75%, a fórmula da remuneração de referência, os dias de espera e um exemplo de subsídio de doença em 2026.","Veja as taxas de 55% a 75%, a fórmula da remuneração de referência, os dias de espera e um exemplo de subsídio de doença em 2026.","no","not applicable","no","yes","no","yes","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Baixa médica: quanto se recebe e como é calculada","200","yes","yes","yes","yes","yes","Answer | Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Question | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/compreendendo-a-hipercolesterolemia","health article","hipercolesterolemia Portugal","colesterol elevado | sintomas e risco cardiovascular","Hipercolesterolemia em Portugal: Causas, Sintomas e Tratamentos","Hipercolesterolemia em Portugal: Causas, Sintomas e Tratamentos","O colesterol alto afecta cerca de 1 em cada 2 portugueses adultos, mas não causa sintomas até surgir um enfarte ou AVC. Conheça as causas, os sinais de alerta e os tratamentos actuais (estatinas, inibidores de PCSK9, inclisiran) — escrito por um médico registado na Ordem dos Médicos.","O colesterol alto afecta cerca de 1 em cada 2 portugueses adultos, mas não causa sintomas até surgir um enfarte ou AVC. Conheça as causas, os sinais de alerta e os tratamentos actuais (estatinas, inibidores de PCSK9, inclisiran) — escrito por um médico registado na Ordem dos Médicos.","no","not applicable","no","yes","no","yes","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Compreendendo a hipercolesterolemia","200","yes","yes","yes","yes","yes","Answer | Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Question | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/consulta-do-viajante-quando-marcar","health article","consulta do viajante quando marcar","quando fazer consulta do viajante | preparação de saúde para viajar","Consulta do viajante: onde marcar e o que levar","Consulta do viajante: onde marcar e o que levar","Consulta do viajante: o que é avaliado, onde se faz, que documentos levar, o papel dos Centros de Vacinação Internacional e o que a consulta online faz.","Consulta do viajante: o que é avaliado, onde se faz, que documentos levar, o papel dos Centros de Vacinação Internacional e o que a consulta online faz.","no","not applicable","no","yes","no","yes","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Consulta do viajante: onde se faz, quando marcar e o que levar","200","yes","yes","yes","yes","yes","Answer | Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Question | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/diabetes-a-doenca-silenciosa","health article","diabetes doença silenciosa","sinais de diabetes | prevenção da diabetes","Diabetes em Portugal: Causas, Sintomas, Tratamentos e o Futuro dos Cuidados","Diabetes em Portugal: Causas, Sintomas, Tratamentos e o Futuro dos Cuidados","Guia completo sobre diabetes em Portugal — causas, sinais e sintomas, tratamentos actuais incluindo agonistas GLP-1 e inibidores SGLT2, a importância das consultas regulares e os desenvolvimentos futuros. Escrito pelo Dr. Tiago Miguel Figueira, Ordem dos Médicos n.º 77986.","Guia completo sobre diabetes em Portugal — causas, sinais e sintomas, tratamentos actuais incluindo agonistas GLP-1 e inibidores SGLT2, a importância das consultas regulares e os desenvolvimentos futuros. Escrito pelo Dr. Tiago Miguel Figueira, Ordem dos Médicos n.º 77986.","no","not applicable","no","yes","no","yes","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Diabetes a Doença silenciosa","200","yes","yes","yes","yes","yes","Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/blog/doenca-mao-pe-boca-sinais-e-tratamento","health article","doença mão-pé-boca","sintomas de mão-pé-boca | contágio da doença mão-pé-boca","Doença mão-pé-boca: sinais e tratamento · Global Health","Doença mão-pé-boca: sinais e tratamento · Global Health","Guia alinhado com o HSE sobre doença mão-pé-boca em crianças na Irlanda: sintomas, tratamento, sinais de urgência e prevenção do contágio.","Guia sobre doença mão-pé-boca em crianças: sintomas, tratamento, sinais de urgência e prevenção do contágio.","no","not applicable","no","yes","no","yes","drafted; blocked pending clinical or credential review","Current live copy was reviewed and a safer draft prepared, but publication is blocked until the required clinical, credential or official-source approval is recorded.","Doença mão-pé-boca: Sinais e tratamento","200","yes","yes","yes","yes","yes","Article | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | ImageObject | ListItem | MedicalOrganization | MedicalWebPage | Organization | Person | PostalAddress | PropertyValue | Thing | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/book","static page","marcar consulta online","agendar consulta pela internet | marcação de consulta Portugal","Marque a sua consulta — Portugal · Global Health","Marque a sua consulta — Portugal · Global Health","Clínica médica em Portugal. Escolha um serviço, clínico, hora e dados do doente.","Clínica médica em Portugal. Escolha um serviço, clínico, hora e dados do doente.","no","not applicable","not applicable","yes","yes","no","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Marque a sua consulta","200","yes","yes","yes","yes","yes","BreadcrumbList | ContactPoint | Country | ImageObject | ListItem | MedicalOrganization | PostalAddress | PropertyValue | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/careers","static page","carreiras Global Health","trabalhar na Global Health | oportunidades Global Health","Carreiras na Global Health Portugal","Carreiras na Global Health Portugal","Junte-se à Global Health em Portugal. Trabalhamos com médicos registados, equipas de apoio clínico e de tecnologia em toda a Europa e no Brasil. Veja como candidatar-se.","Junte-se à Global Health em Portugal. Trabalhamos com médicos registados, equipas de apoio clínico e de tecnologia em toda a Europa e no Brasil. Veja como candidatar-se.","no","not applicable","not applicable","yes","yes","no","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Carreiras na Global Health","200","yes","yes","yes","yes","yes","BreadcrumbList | ContactPoint | Country | ImageObject | ListItem | MedicalOrganization | PostalAddress | PropertyValue | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/contact","static page","contactos Global Health Portugal","contactar Global Health | apoio Global Health Portugal","Contactos | Médico Online Sintra | Global Health","Contactos | Médico Online Sintra | Global Health","Contacte a Global Health: +351 919 990 810, info@myglobalhealth.online. Consultas online com médicos inscritos na Ordem dos Médicos. Sede em Sintra.","Contacte a Global Health: +351 919 990 810, info@myglobalhealth.online. Consultas online com médicos inscritos na Ordem dos Médicos. Sede em Sintra.","no","not applicable","not applicable","yes","yes","no","reviewed; unchanged","Current copy remains relevant; the measured status, canonical, pt-PT hreflang/locale, robots, structured data and CTA checks passed on 2026-09-01.","Contactos — Global Health Portugal","200","yes","yes","yes","yes","yes","Answer | BreadcrumbList | ContactPoint | Country | FAQPage | ImageObject | ListItem | MedicalOrganization | Organization | PostalAddress | PropertyValue | Question | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/doctors","static page","médicos em Portugal","médicos online Portugal | equipa médica Global Health","Médicos e Especialistas em Portugal | Global Health","Médicos Online em Portugal | Global Health","Consulte médicos e especialistas registados na Ordem dos Médicos disponíveis online em Portugal. Clínica geral, oncologia, cardiologia, psiquiatria e mais. Marque no mesmo dia.","Conheça médicos e especialistas disponíveis para consulta online em Portugal e consulte as credenciais apresentadas em cada perfil.","no","not applicable","not applicable","yes","no","yes","drafted; blocked pending clinical or credential review","Current live copy was reviewed and a safer draft prepared, but publication is blocked until the required clinical, credential or official-source approval is recorded.","Médicos que realmente atendem.","200","yes","yes","yes","yes","yes","Answer | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ItemList | ListItem | MedicalOrganization | Organization | Person | PostalAddress | PropertyValue | Question | WebSite","yes","2026-09-01"
"https://www.myglobalhealth.online/portugal/pt/doctors/beatriz-carvalho","doctor profile","beatriz carvalho","beatriz carvalho Portugal | perfil beatriz carvalho","Beatriz Carvalho — Psicóloga Clínica | OPP 31618","Beatriz Carvalho — Psicóloga Clínica | OPP 31618","Agende uma sessão com Beatriz Carvalho — Psicóloga Clínica registada na OPP (nº 31618). TCC · Intervenção em crise · Neuropsicologia · Reprodução medicamente assistida · Português e inglês. Consulta no mesmo dia.","Agende uma sessão com Beatriz Carvalho — Psicóloga Clínica registada na OPP (nº 31618). TCC · Intervenção em crise · Neuropsicologia · Reprodução medicamente assistida · Português e inglês.","no","no","no","yes","no","yes","drafted; blocked pending clinical or credential review","Current live copy was reviewed and a safer draft prepared, but publication is blocked until the required clinical, credential or official-source approval is recorded.","Beatriz Carvalho","200","yes","yes","yes","yes","yes","Answer | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | FAQPage | ImageObject | ListItem | MedicalOrganization | Organization | Person | PostalAddress | PropertyValue | Question | WebSite","yes","2026-09-01"
