item,where_seen,risk,note
pagePath (406 rows scanned),ga4_page_performance_window2_all.json,none,"0 raw email matches (pattern-scanned, 0 found)"
pagePath (406 rows scanned),ga4_page_performance_window2_all.json,none,"0 raw UUID matches (pattern-scanned, 0 found)"
pagePath (406 rows scanned),ga4_page_performance_window2_all.json,none,"0 query strings present in pagePath (pattern-scanned, 0 found) - GA4 dimension excludes query/hash by design (sanitizePagePath, see track-code-review.md)"
pagePath (406 rows scanned),ga4_page_performance_window2_all.json,none,"0 token=/key=/auth= style params (pattern-scanned, 0 found)"
"pagePath placeholder routes (3 rows: /verify/certificate/:id, /api/account/invoices/:id/pdf, /so/tr/:id/c)","ga4_page_performance_window2_all.json, ga4_ecommerce_landing_page_window2_all.json",low - by design,"Literal ':id' etc. is the sanitizer's redaction output (analytics-routes.ts isOpaqueSegment/NAMED_REDACTIONS), not an unredacted real identifier. No real booking/order/certificate id observed in any GA4 dimension pulled this session."
hostName values in page_performance: ['www.myglobalhealth.online'],ga4_page_performance_window2_all.json,none (production only in this pull),Only www.myglobalhealth.online present in this channel=all pull.
"hostName values in ecommerce landing_page pull (channel=all, both windows)","ga4_ecommerce_landing_page_window1_all.json, ga4_ecommerce_landing_page_window2_all.json",data-quality (not PII),"Non-production hosts present: localhost, myglobalhealth.up.railway.app alongside www.myglobalhealth.online. Dev/staging traffic is landing in the production GA4 property; recommend a hostName filter or a separate staging stream."
doctor-name URL segments (e.g. /doctors/dr-...),multiple landing_page and page_performance files,none,"Public professional directory content (published, crawlable, identical for every visitor) - not patient/visitor PII. Consistent with analytics-routes.ts comment distinguishing content identifiers from person identifiers."
site search terms,ga4_site_search_window2_all.json,none,"rowCount=0; siteSearchActivity.status=none - no measured site-search terms this window, nothing to scan."
page titles,N/A,not checkable via this tool,"get_google_analytics_page_performance returns hostName+pagePath dimensions only, no pageTitle dimension - titles were not scannable from GA4 data this session."
