target_url,page_status,page_type,parent_hub,primary_keyword,secondary_keywords,supporting_questions,intent,funnel_stage,current_title,recommended_title,current_meta_description,recommended_meta_description,current_h1,recommended_h1,canonical,indexability,schema,primary_cta,internal_links_in,internal_links_out,recommended_action,priority,clinical_review,implementation_status
https://www.myglobalhealth.online/ireland/en/services/acute-medical-consultation,Live 200; in sitemap,commercial service,/ireland/en,online doctor ireland,gp online appointment|online doctor appointment|online gp ireland|consulting doctor online|doctor online appointment,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,See a Doctor Online in Ireland | Same-Day Appointments,See a Doctor Online in Ireland | Same-Day Appointments,"Connect with an Irish-registered doctor today via secure video call. Same-day appointments available for acute symptoms, chronic queries, certificates, and more.","Connect with an Irish-registered doctor today via secure video call. Same-day appointments available for acute symptoms, chronic queries, certificates, and more.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/acute-medical-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,54,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/aesthetic-medicine-consultation,Live 200; in sitemap,commercial service,/ireland/en,aesthetic medicine consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Aesthetic Medicine Consultation Ireland | Pre & Post Procedure Care,Aesthetic Medicine Consultation Ireland | Pre & Post Procedure Care,Pre-procedure advice and post-procedure assessment for aesthetic medicine. Our Irish-registered doctors provide confidential pre-procedure advice and post-procedure assessment via secure video call.,Pre-procedure advice and post-procedure assessment for aesthetic medicine. Our Irish-registered doctors provide confidential pre-procedure advice and post-procedure assessment via secure video call.,Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/aesthetic-medicine-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,47,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/cardiology-specialist-consultation,Live 200; in sitemap,commercial service,/ireland/en,online cardiologist ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Cardiology Specialist Consultation Ireland | Online Cardiologist,Cardiology Specialist Consultation Ireland | Online Cardiologist,"Speak with an IMC-registered cardiologist online. Cardiovascular risk assessment, heart condition management, ECG review, and second opinions via secure video call. Book today.","Speak with an IMC-registered cardiologist online. Cardiovascular risk assessment, heart condition management, ECG review, and second opinions via secure video call. Book today.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/cardiology-specialist-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,47,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation,Live 200; in sitemap,commercial service,/ireland/en,chronic disease consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Chronic Disease Consultation Ireland | Ongoing Care Online,Chronic Disease Consultation Ireland | Ongoing Care Online,Ongoing management for long-term conditions. Our IMC-registered Family Medicine specialists provide ongoing chronic disease care via secure video call. Same-day and scheduled appointments available.,Ongoing management for long-term conditions. Our IMC-registered Family Medicine specialists provide ongoing chronic disease care via secure video call. Same-day and scheduled appointments available.,Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/chronic-disease-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,52,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation,Live 200; in sitemap,commercial service,/ireland/en,hair loss consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Hair Loss Consultation Ireland | Online Doctor Assessment,Hair Loss Consultation Ireland | Online Doctor Assessment,Assessment for hair loss and thinning hair. Our Irish-registered doctors assess the underlying cause and advise on evidence-based treatment options. Same-day appointments available.,Assessment for hair loss and thinning hair. Our Irish-registered doctors assess the underlying cause and advise on evidence-based treatment options. Same-day appointments available.,Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/hair-loss-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,50,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation,Live 200; in sitemap,commercial service,/ireland/en,online men's health consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Men's Health Consultation Ireland | Confidential Online Doctor,Men's Health Consultation Ireland | Confidential Online Doctor,"Confidential men's health assessment with an Irish-registered doctor. Erectile dysfunction, testosterone, libido, and sexual health — assessed and managed via secure video call.","Confidential men's health assessment with an Irish-registered doctor. Erectile dysfunction, testosterone, libido, and sexual health — assessed and managed via secure video call.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/mens-health-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,51,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation,Live 200; in sitemap,commercial service,/ireland/en,online mental health consultation,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Mental Health Consultation Ireland | GP Assessment Online,Mental Health Consultation Ireland | GP Assessment Online,"Confidential support for anxiety, low mood, or feeling overwhelmed. Our Irish-registered GPs provide confidential mental health assessments via secure video call. Same-day appointments available in Ireland.","Confidential support for anxiety, low mood, or feeling overwhelmed. Our Irish-registered GPs provide confidential mental health assessments via secure video call. Same-day appointments available in Ireland.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,151,48,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P0,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment,Live 200; in sitemap,commercial service,/ireland/en,online pain assessment ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Musculoskeletal & Pain Assessment Ireland | Online Doctor,Musculoskeletal & Pain Assessment Ireland | Online Doctor,"Assessment for back pain, joint pain, sciatica, and soft tissue injury. Our Irish-registered doctors assess musculoskeletal and pain conditions via secure video call. Same-day appointments available.","Assessment for back pain, joint pain, sciatica, and soft tissue injury. Our Irish-registered doctors assess musculoskeletal and pain conditions via secure video call. Same-day appointments available.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,51,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation,Live 200; in sitemap,commercial service,/ireland/en,online paediatric consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Paediatric GP Consultation Ireland | Online Doctor for Children,Paediatric GP Consultation Ireland | Online Doctor for Children,"Speak with an Irish-registered GP about your child's health today. Same-day paediatric GP consultations for infants, children, and teenagers via secure video call.","Speak with an Irish-registered GP about your child's health today. Same-day paediatric GP consultations for infants, children, and teenagers via secure video call.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/paediatric-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,51,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/referral-and-investigations,Live 200; in sitemap,commercial service,/ireland/en,online doctor referral ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,GP Referral & Medical Tests Ireland | Online Doctor Same Day,GP Referral & Medical Tests Ireland | Online Doctor Same Day,"Specialist referrals, blood tests, MRI, and scan requests in Ireland. Our Irish-registered doctors assess your concern and coordinate investigations and referrals same day.","Specialist referrals, blood tests, MRI, and scan requests in Ireland. Our Irish-registered doctors assess your concern and coordinate investigations and referrals same day.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/referral-and-investigations,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,425,48,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P0,Yes,No public change in this batch
