"source_batch","seed_keyword","provider_source","keyword","search_volume","keyword_difficulty","cpc_eur","competition","intent","trend","collected_at"
"pt_kw_seed_pilot","médico online","related","dr online","3600","0","1.86","0.69","navigational","[{""year"":2026,""month"":7,""searchVolume"":3600},{""year"":2026,""month"":6,""searchVolume"":3600},{""year"":2026,""month"":5,""searchVolume"":3600},{""year"":2026,""month"":4,""searchVolume"":3600},{""year"":2026,""month"":3,""searchVolume"":3600},{""year"":2026,""month"":2,""searchVolume"":2900},{""year"":2026,""month"":1,""searchVolume"":3600},{""year"":2025,""month"":12,""searchVolume"":3600},{""year"":2025,""month"":11,""searchVolume"":2900},{""year"":2025,""month"":10,""searchVolume"":3600},{""year"":2025,""month"":9,""searchVolume"":2900},{""year"":2025,""month"":8,""searchVolume"":2900}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","atestado médico","2900","0","2.51","0.5","informational","[{""year"":2026,""month"":7,""searchVolume"":1600},{""year"":2026,""month"":6,""searchVolume"":2400},{""year"":2026,""month"":5,""searchVolume"":2400},{""year"":2026,""month"":4,""searchVolume"":2400},{""year"":2026,""month"":3,""searchVolume"":12100},{""year"":2026,""month"":2,""searchVolume"":1900},{""year"":2026,""month"":1,""searchVolume"":2900},{""year"":2025,""month"":12,""searchVolume"":1900},{""year"":2025,""month"":11,""searchVolume"":1900},{""year"":2025,""month"":10,""searchVolume"":2400},{""year"":2025,""month"":9,""searchVolume"":2400},{""year"":2025,""month"":8,""searchVolume"":1900}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","marcar consulta online centro saúde","2400","8","1.71","0.17","transactional","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":880},{""year"":2026,""month"":5,""searchVolume"":1300},{""year"":2026,""month"":4,""searchVolume"":1600},{""year"":2026,""month"":3,""searchVolume"":1900},{""year"":2026,""month"":2,""searchVolume"":1900},{""year"":2026,""month"":1,""searchVolume"":2400},{""year"":2025,""month"":12,""searchVolume"":1900},{""year"":2025,""month"":11,""searchVolume"":1900},{""year"":2025,""month"":10,""searchVolume"":3600},{""year"":2025,""month"":9,""searchVolume"":4400},{""year"":2025,""month"":8,""searchVolume"":2900}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","novas regras atestado multiusos","1900","0","","0.01","informational","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":1300},{""year"":2026,""month"":5,""searchVolume"":1900},{""year"":2026,""month"":4,""searchVolume"":2400},{""year"":2026,""month"":3,""searchVolume"":1900},{""year"":2026,""month"":2,""searchVolume"":1900},{""year"":2026,""month"":1,""searchVolume"":2400},{""year"":2025,""month"":12,""searchVolume"":1300},{""year"":2025,""month"":11,""searchVolume"":1600},{""year"":2025,""month"":10,""searchVolume"":2400},{""year"":2025,""month"":9,""searchVolume"":2400},{""year"":2025,""month"":8,""searchVolume"":1900}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","lista de doenças para atestado multiusos","1900","0","","0.01","informational","[{""year"":2026,""month"":7,""searchVolume"":1600},{""year"":2026,""month"":6,""searchVolume"":1600},{""year"":2026,""month"":5,""searchVolume"":2400},{""year"":2026,""month"":4,""searchVolume"":2400},{""year"":2026,""month"":3,""searchVolume"":1900},{""year"":2026,""month"":2,""searchVolume"":1900},{""year"":2026,""month"":1,""searchVolume"":2400},{""year"":2025,""month"":12,""searchVolume"":1600},{""year"":2025,""month"":11,""searchVolume"":2400},{""year"":2025,""month"":10,""searchVolume"":2400},{""year"":2025,""month"":9,""searchVolume"":2400},{""year"":2025,""month"":8,""searchVolume"":1900}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","sns marcação de consulta","1000","12","2.22","0.02","navigational","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":880},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":1000},{""year"":2026,""month"":3,""searchVolume"":1000},{""year"":2026,""month"":2,""searchVolume"":880},{""year"":2026,""month"":1,""searchVolume"":1000},{""year"":2025,""month"":12,""searchVolume"":720},{""year"":2025,""month"":11,""searchVolume"":720},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":1300},{""year"":2025,""month"":8,""searchVolume"":1600}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","médico online","880","0","4.24","0.79","informational","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":880},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":880},{""year"":2026,""month"":3,""searchVolume"":880},{""year"":2026,""month"":2,""searchVolume"":720},{""year"":2026,""month"":1,""searchVolume"":1000},{""year"":2025,""month"":12,""searchVolume"":1000},{""year"":2025,""month"":11,""searchVolume"":720},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":880},{""year"":2025,""month"":8,""searchVolume"":1000}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","multicare consulta online","880","23","1.74","0.21","navigational","[{""year"":2026,""month"":7,""searchVolume"":720},{""year"":2026,""month"":6,""searchVolume"":720},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":880},{""year"":2026,""month"":3,""searchVolume"":1000},{""year"":2026,""month"":2,""searchVolume"":880},{""year"":2026,""month"":1,""searchVolume"":1000},{""year"":2025,""month"":12,""searchVolume"":880},{""year"":2025,""month"":11,""searchVolume"":1000},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":1000},{""year"":2025,""month"":8,""searchVolume"":1000}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","dr online portugal","880","0","2.62","0.78","navigational","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":720},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":880},{""year"":2026,""month"":3,""searchVolume"":720},{""year"":2026,""month"":2,""searchVolume"":720},{""year"":2026,""month"":1,""searchVolume"":880},{""year"":2025,""month"":12,""searchVolume"":720},{""year"":2025,""month"":11,""searchVolume"":590},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":880},{""year"":2025,""month"":8,""searchVolume"":880}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","consulta online","720","10","4.27","0.75","informational","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":720},{""year"":2026,""month"":5,""searchVolume"":720},{""year"":2026,""month"":4,""searchVolume"":880},{""year"":2026,""month"":3,""searchVolume"":880},{""year"":2026,""month"":2,""searchVolume"":590},{""year"":2026,""month"":1,""searchVolume"":880},{""year"":2025,""month"":12,""searchVolume"":880},{""year"":2025,""month"":11,""searchVolume"":590},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":720},{""year"":2025,""month"":8,""searchVolume"":590}]","2026-08-31"
