page_or_file,topic,risk_level,claims_requiring_review,source_status,reviewer_required,publish_status,notes
/ireland/en/services/sick-certificate-ireland,Sick certificate eligibility,High,"Eligibility, employer acceptance, timing, limitations",Existing live content; revalidation required before edits,Irish-registered clinician + legal/compliance,Published; changes gated,Never guarantee issuance
/ireland/en/blog/sick-certificate-ireland-employee-rights,Employment and sick-leave guidance,High,"Employee rights, statutory leave, certification",Official Irish sources required,Clinician + legal/editorial,Published; refresh gated,Check current Irish law
/ireland/en/blog/illness-benefit-ireland-how-to-claim,Illness Benefit,High,"Eligibility, waiting days, application process",Department of Social Protection sources required,Legal/editorial + clinician where medical,Published; refresh candidate,Current facts only
/ireland/en/lab-tests,Home blood tests,High,"Available tests, sample method, turnaround, prices, accreditation",Runtime catalogue and supplier evidence required,Clinician + commercial owner,Published; frozen until ~2026-09-08,Historical seed contains stale broad claims
/ireland/en/services/mental-health-consultation,Mental-health GP assessment,High,"Scope, suitability, escalation, emergency wording",Official Irish guidance required,Irish-registered clinician,Published; changes gated,Keep distinct from therapy and psychiatry
/ireland/en/services/psychiatry-specialist-consultation,Psychiatry,High,"Scope, suitability, medication and crisis guidance",Official Irish guidance required,Psychiatrist/clinical director,Published; changes gated,High-risk YMYL
/ireland/en/services/weight-management-consultation,Medical weight management,High,"GLP-1 eligibility, contraindications, outcomes, prescribing",Current SmPC/regulatory and clinical sources required,Prescribing clinician + compliance,Published; medication copy gated,No outcome or prescription guarantees
/ireland/en/tools/bmi-calculator,BMI interpretation,Medium,"Ranges, limitations, next steps",Official guidance required,Clinician,Published; support-content changes gated,BMI is not a diagnosis
/ireland/en/tools/blood-pressure-chart,Blood pressure ranges,High,"Thresholds, urgent escalation, measurement technique",Official Irish/European guidance required,Clinician,Published; P0 review candidate,Do not provide personalised advice
seo/ireland/content-briefs/*,All proposed medical content,High,All substantive medical claims,Sources specified in each brief,Named consenting clinician,Draft only until reviewed,No fabricated author or review date
