"cluster_id","parent_topic","keyword","normalised_keyword","country","language","keyword_source","source_competitor","seed_keyword","intent","funnel_stage","recommended_page_type","search_volume","keyword_difficulty","competition","cpc_eur","trend","serp_features","dronline_position","dronline_url","knok_position","knok_url","best_competitor","best_competitor_position","competitor_estimated_traffic","target_position","target_url","target_impressions","target_clicks","target_ctr","keyword_gap","business_fit","service_fit","clinical_risk","serp_fit","attainability","opportunity_score","recommended_action","proposed_target_url","priority","data_source","collected_at","notes"
"medical-certificates","medical certificates","preciso de um atestado médico urgente","preciso de um atestado médico urgente","Portugal","pt-PT","gsc_query|gsc_query_page|openseo_seed","","atestado médico online|consulta médica online|médico online","transactional","conversion","service landing page","40","4","0.64","2.06","[{""year"":2026,""month"":7,""searchVolume"":20},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":10},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":30},{""year"":2026,""month"":1,""searchVolume"":70},{""year"":2025,""month"":12,""searchVolume"":50},{""year"":2025,""month"":11,""searchVolume"":40},{""year"":2025,""month"":10,""searchVolume"":40},{""year"":2025,""month"":9,""searchVolume"":50},{""year"":2025,""month"":8,""searchVolume"":50}]","","","","","","","","","15.333333333333334","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","24","0","0","no","5","active-service","3","5","5","85","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","P0","gsc_query|gsc_query_page|openseo_seed","2026-08-31",""
"cardiology","cardiology","consulta cardio online","consulta cardio online","Portugal","pt-PT","gsc_query|gsc_query_page","","","transactional","conversion","service landing page","","","","","","","","","","","","","","18.9","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","10","0","0","no","5","active-service","2","5","4","79","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","P0","gsc_query|gsc_query_page","2026-08-31",""
"online-doctor","online doctor","online doctor portugal","online doctor portugal","Portugal","en-PT","gsc_query|gsc_query_page","","","transactional","conversion","market/service landing page","","","","","","","","","","","","","","17.6","https://www.myglobalhealth.online/portugal/pt","15","0","0","no","5","active-service","2","5","4","79","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P0","gsc_query|gsc_query_page","2026-08-31",""
"medical-certificates","medical certificates","atestado online","atestado online","Portugal","pt-PT","gsc_query|gsc_query_page","","","transactional","conversion","service landing page","","","","","","","","","","","","","","10","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","9","0","0","no","5","active-service","3","5","4","76","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","P0","gsc_query|gsc_query_page","2026-08-31",""
"medical-certificates","medical certificates","atestado médico online","atestado médico online","Portugal","pt-PT","gsc_query|gsc_query_page|openseo_seed","","atestado médico online","informational","awareness","service landing page","","0","","","[{""year"":2026,""month"":6,""searchVolume"":0},{""year"":2026,""month"":5,""searchVolume"":0},{""year"":2026,""month"":4,""searchVolume"":0},{""year"":2026,""month"":3,""searchVolume"":0},{""year"":2026,""month"":2,""searchVolume"":0},{""year"":2026,""month"":1,""searchVolume"":0},{""year"":2025,""month"":12,""searchVolume"":0},{""year"":2025,""month"":11,""searchVolume"":0},{""year"":2025,""month"":10,""searchVolume"":0},{""year"":2025,""month"":9,""searchVolume"":0},{""year"":2025,""month"":8,""searchVolume"":0},{""year"":2025,""month"":7,""searchVolume"":0}]","","","","","","","","","18.52777777777778","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","36","1","0.027777777777777776","no","5","active-service","3","5","5","74","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","P0","gsc_query|gsc_query_page|openseo_seed","2026-08-31",""
"online-doctor","online doctor","clinica","clinica","Portugal","pt-PT","gsc_query|gsc_query_page","","","informational","awareness","market/service landing page","","","","","","","","","","","","","","14.25","https://www.myglobalhealth.online/portugal/pt","20","0","0","no","5","active-service","2","5","4","71","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P0","gsc_query|gsc_query_page","2026-08-31",""
"online-doctor","online doctor","medicos registados","medicos registados","Portugal","pt-PT","gsc_query|gsc_query_page","","","informational","awareness","market/service landing page","","","","","","","","","","","","","","10.25","https://www.myglobalhealth.online/portugal/pt","8","0","0","no","5","active-service","2","5","4","71","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P0","gsc_query|gsc_query_page","2026-08-31",""
"health-tools","health tools","tabela de medição de tensão arterial","tabela de medição de tensão arterial","Portugal","pt-PT","gsc_query|gsc_query_page","","","informational","awareness","tool","","","","","","","","","","","","","","10.294117647058824","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","17","0","0","no","5","existing-tool","2","5","4","71","optimize_existing","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","P0","gsc_query|gsc_query_page","2026-08-31",""
"health-tools","health tools","calculadora tensão arterial","calculadora tensão arterial","Portugal","pt-PT","gsc_query|gsc_query_page","","","informational","awareness","tool","","","","","","","","","","","","","","7","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","7","0","0","no","5","existing-tool","2","5","4","68","optimize_existing","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","P0","gsc_query|gsc_query_page","2026-08-31",""
"online-doctor","online doctor","clinic","clinic","Portugal","en-PT","gsc_query|gsc_query_page","","","informational","awareness","market/service landing page","","","","","","","","","","","","","","8.083333333333332","https://www.myglobalhealth.online/portugal/pt","12","0","0","no","5","active-service","2","5","4","68","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P0","gsc_query|gsc_query_page","2026-08-31",""
