asset,asset_type,review_domain,reason,claim_guardrail,official_source,priority,reviewer_requirement,status,reviewer_name,reviewer_doctor_id,reviewed_at,approved_sha256,native_reviewer_name,native_reviewer_id,native_reviewed_at
/czechia/cs/gp-consultation-online,service page,remote primary care,"scope, suitability, escalation and prescribing","Assessment and documents only when medically indicated; no diagnosis or availability guarantee",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P0,Czech-licensed physician,super_admin_override,,,,25d91b2b9a49c7e02356cf676a1b2b5a067d9f4672f8cf59652c9c5c938b3f56,,,
/czechia/cs/services/neschopenka-online,service page,eNeschopenka,"eligibility, clinician decision and workflow","Never guarantee issue; urgent symptoms divert to 155/112",https://www.cssz.gov.cz/web/eneschopenka,P0,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,9d4b1ad095dab37b716d794301ca0607fab21940391da7f43df72020b91d0a0e,,,
/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,blog,eNeschopenka process,"employer, employee and ČSSZ process can change","Separate administrative guidance from medical assessment",https://www.cssz.gov.cz/web/eneschopenka/nejcastejsi-dotazy,P0,physician plus regulatory editor,pending,,,,,,,
/czechia/cs/blog/vypocet-nemocenske-2026-co-plati-zamestnavatel-a-co-cssz,blog,sick-pay rules,"dated benefit/payment rules","Date-stamp and cite ČSSZ; do not present calculator as entitlement decision",https://www.cssz.gov.cz/web/eneschopenka/zakladni-informace-pro-zamestnance-a-osvc,P1,regulatory editor,pending,,,,,,,
/czechia/cs/services/obnoveni-lecby,service page,ePrescription,"renewal criteria, medicine exclusions and identity","Clinician review required; never promise prescription",https://www.epreskripce.cz/,P0,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,a02d12a3e9aada7f106233841bc55ec6b268805561660020734306e054ff5106,,,
/czechia/cs/services/detsky-lekar-online,service page,paediatrics,"age limits, guardian consent and red flags","State when remote review is unsuitable and when to seek urgent care",https://www.nzip.cz/clanek/205-zdravotnicka-zachranna-sluzba,P1,Czech paediatric clinician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,5d57b8ffee81a02abc056f96f85f44866a00b04dc04009f20aa055abbd3535f6,,,
/czechia/cs/services/kozni-konzultace-praha,service page,dermatology,"image limits, diagnostic uncertainty and escalation","Do not guarantee diagnosis from photographs",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P1,Czech dermatologist or reviewing physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T10:30:00+02:00,c7f821b4f7479c9d42e8d278e921b49fef9d051ee45b2197a942ed040a8dbe2c,,,
/czechia/cs/services/doporuceni-a-vysetreni,service page,referrals/eRequests,"what may be recommended or issued after assessment","Do not guarantee referral or test request",https://www.nzip.cz/rejstrikovy-pojem/124,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,8648605d7acb0394f845dcc0e596ba0efe32c5ff7fc7d3b5b24800215f5117d2,,,
/czechia/cs/services/druhy-nazor-praha,service page,second opinion,"record requirements and limits of remote review","Clarify that review does not replace emergency or necessary physical examination",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P2,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,5a2451b476dd53d3589bce4e2a6e6976b22757537b45849f88188b6c47cda45f,,,
/czechia/en/services/lekar-online-praha,service page,expat care,"scope, local escalation, language and registration claims","Verify named clinician/ČLK details and avoid blanket 24/7 promise",https://www.clkcr.cz/seznam-lekaru?do%5BswitchLang%5D=1&filterLekarLang=de,P0,Czech-licensed physician plus native English editor,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,927535ef4097410386c86210e22d67e025276a5cea4c6f92f2cd4843d441413c,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00
/czechia/cs/blog/lekar-online-24-7-co-vyresi,blog,remote-care limits,"availability and capability wording","No guaranteed response or resolution; show emergency diversion",https://www.nzip.cz/clanek/228-pohotovost,P0,Czech-licensed physician,super_admin_override,,,,33e7cf81a17f2f0214d1a5e47c02a37006281277103ab4e1acc692ea42c30c2b,,,
/czechia/cs/tools/blood-pressure-chart,tool,cardiovascular interpretation,"thresholds and action guidance","Educational only; urgent symptoms require emergency pathway",https://www.nzip.cz/clanek/205-zdravotnicka-zachranna-sluzba,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,c9a146cf178ca5244bec2369576fe95b578683aed26d3a6ede4e239cc73045df,,,
/czechia/cs,home page,remote primary care,"service scope, availability, prescribing and document wording","Live availability only; outcomes and documents depend on clinical assessment",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P0,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,d90d535034ae74104b8b80fcacaf078a895bbf72b4a97caaf640882fcfe4a42d,,,
/czechia/cs/blog/diabetes-ticha-nemoc,blog,diabetes education,"symptom, risk and prevention wording","Educational content only; do not diagnose or replace individual assessment",https://www.who.int/news-room/fact-sheets/detail/diabetes,P2,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,ed99eff99cdc660305034f64ee57c12f559ebf4b24bcb412ec480b08f8d1092c,,,
/czechia/cs/doctors,doctor directory,clinical governance,"roster, registration, service and availability wording","Show only verified current clinicians and live availability",https://www.lkcr.cz/seznam-lekaru,P0,clinical governance owner,approved,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00,3b1b1060ac2a52e375fd5612fa9ee1c6c865c6bffe114dd97e9706dbb8eb29d1,,,
/czechia/cs/doctors/dr-ahmed-maklad,doctor profile,credential and scope verification,"registration, qualifications, languages and availability","No unverified credential, specialty or same-day claim",https://www.lkcr.cz/seznam-lekaru,P0,profile subject or credential verifier plus clinical governance owner,approved,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00,76c2be8e3b2bd35faed3337065508d6b12cdad40afecd08a909d39e74fa8afab,,,
/czechia/cs/doctors/khoiamul-islam,doctor profile,credential and scope verification,"registration, qualifications, languages, markets and availability","No unverified credential, market, specialty or same-day claim",https://www.lkcr.cz/seznam-lekaru,P0,profile subject or credential verifier plus clinical governance owner,approved,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00,e2475158582766e165f464cea802cf552c27da2a2b64f646c6f23f02e669c750,,,
/czechia/cs/doctors/mudr-romana-pavlu,doctor profile,credential and scope verification,"registration, qualifications, languages and availability","No unverified credential, specialty or same-day claim",https://www.lkcr.cz/seznam-lekaru,P0,profile subject or credential verifier plus clinical governance owner,approved,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00,0ab19e7a044a69f6c10c8ec3f0c1976046c6c2ad77167a07869a22291d2c7e6a,,,
/czechia/cs/doctors/mudr-vojtech-cerny,doctor profile,credential and scope verification,"registration, qualifications, languages and availability","No unverified credential, specialty or same-day claim",https://www.lkcr.cz/seznam-lekaru,P0,profile subject or credential verifier plus clinical governance owner,approved,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00,4c5287d32803b18180bee9b7d999ef57bcbb6373998b6a7d1bab9a7f01872152,,,
/czechia/cs/doctors/mudr-yasmin-holz,doctor profile,credential and scope verification,"registration, qualifications, languages and availability","No unverified credential, specialty or same-day claim",https://www.lkcr.cz/seznam-lekaru,P0,profile subject or credential verifier plus clinical governance owner,approved,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00,a3ae35b795888ddd2924cf9e81def6bb3a0b71d74b498791c0ad8c3f8322f033,,,
/czechia/cs/services/bolesti-pohyboveho-aparatu,service page,musculoskeletal assessment,"remote examination limits, red flags and referral wording","No diagnosis, imaging, referral or document guarantee",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,63e6cf523562c476d8e23515c2a09f31b4b3347cb88194b04ac2ac113bed9733,,,
