"url","page_type","primary_keyword","secondary_keywords","original_title","optimized_title","original_meta_description","optimized_meta_description","original_h1","optimized_h1","optimized_visible_description","description_optimized","bio_optimized","faqs_optimized","deslop_completed","clinical_review_required","implementation_status","reason_for_anything_left_unchanged","technical_seo_verification","cta_and_internal_link_review","fact_comparison"
"https://www.myglobalhealth.online/czechia/cs","home","online lékař Česko","online lékař|lékař online Česko","Online lékař Česko | Registrovaní lékaři a specialisté","Online lékař v Česku | Registrovaní lékaři","Promluvte si ještě dnes s registrovaným lékařem přes videohovor — praktický lékař, potvrzení, odeslání ke specialistovi. Tentýž den, Česko.","Online konzultace s lékaři registrovanými v Česku. Vyberte službu a volný termín; další postup vždy závisí na klinickém posouzení.","Online lékařská péče v Česku","Online lékařská péče v Česku","Vyberte službu, zkontrolujte aktuální termíny a objednejte se k lékaři registrovanému v Česku. Dostupnost a výsledek konzultace nelze slíbit předem.","yes","not applicable","no","yes","yes","live_verified_2026-09-01","Stávající FAQ odpovídají obecným procesním otázkám; nové otázky by bez další poptávky jen opakovaly služby.","200; self-canonical; index/follow; self-hreflang; FAQ and organization schema present","Keep service and doctor-directory links; booking CTA must use live availability and lose same-day wording.","Verified organization and registration facts retained; unsupported timing promise removed."
"https://www.myglobalhealth.online/czechia/cs/about","standalone","Global Health Česko","o Global Health|online zdravotní péče Česko","O Global Health Česko | Lékaři online · Global Health","O Global Health Česko | Online lékařská péče","Global Health Česko: online konzultace videohovorem s lékaři registrovanými u Česká lékařská komora, v jazycích čeština / angličtina. Co nabízíme a kdo jsme.","Global Health Česko nabízí videokonzultace s lékaři registrovanými u České lékařské komory. Zjistěte, kdo jsme a jak služba funguje.","O Global Health Česko","O Global Health Česko","","no","not applicable","no","yes","no","live_verified_2026-09-01","Trust-page body and FAQs remain unchanged because keyword evidence does not justify a broader rewrite.","200; self-canonical; index/follow; self-hreflang; FAQ and organization schema present","Existing links to contact, services and booking remain relevant; no commercial anchor added.","Only Czech grammar and metadata wording changed; organization facts retained."
"https://www.myglobalhealth.online/czechia/cs/blog","blog-hub","zdravotní články Česko","zdravotní průvodce|články od lékařů","Zdravotní příručky od registrovaných lékařů – Česko","Zdravotní články od registrovaných lékařů | Česko","Zdravotní příručky založené na důkazech pro Česko, které napsal a zkontroloval náš lékařský tým.","Zdravotní články pro Česko od registrovaných lékařů. Praktické informace, zdroje a jasné upozornění, kdy je potřeba osobní péče.","Zdravotní příručky od registrovaných lékařů.","Zdravotní články od registrovaných lékařů","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Hub description remains generated from the published article set; no unsupported category copy added.","200; self-canonical; index/follow; self-hreflang; breadcrumb schema present","Keep descriptive article anchors; do not route informational queries directly to booking.","No article or clinical fact changed."
"https://www.myglobalhealth.online/czechia/cs/blog/diabetes-ticha-nemoc","blog-post","diabetes příznaky","cukrovka příznaky|léčba diabetu","Diabetes (cukrovka) v ČR: Příčiny, příznaky, léčba a budoucnost péče","Diabetes v Česku: příznaky, léčba a prevence","Průvodce diabetem v České republice — příčiny, příznaky, současná léčba včetně GLP-1 a SGLT2, důležitost pravidelných kontrol a perspektivy budoucí léčby. Napsáno MUDr. Ahmedem Makladem, ČLK č. 117 668 619 8.","Přehled příznaků, rizik, léčby a prevence diabetu v Česku. Článek napsal MUDr. Ahmed Maklad, registrovaný u ČLK č. 1176686198.","Diabetes: Tichá nemoc","Diabetes: příznaky, léčba a prevence","","no","not applicable","not applicable","yes","yes","live_verified_2026-09-01","The dated physician review approved the metadata update; the clinical article body and attribution remain unchanged because no measured gap supports expansion.","200; self-canonical; index/follow; self-hreflang; Article and MedicalWebPage schema present","Keep contextual medical-consultation link; remove generic urgency from promotional CTA in a later reviewed batch.","Only metadata compressed; named author and ČLK number retained."
"https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi","blog-post","co vyřeší lékař online 24/7","kdy online lékař nestačí|jak funguje online konzultace","Lékař online 24/7: co vyřeší a co ne (2026) · Global Health","Lékař online 24/7: co lze řešit a kdy nestačí","Co lze bezpečně vyřešit online konzultací s lékařem, co vyžaduje vyšetření v ordinaci, kdy volat 155 a proč online lékař nenahrazuje registraci u praktika.","Zjistěte, co lze bezpečně probrat s lékařem online, jak konzultace probíhá a kdy je nutné osobní nebo akutní vyšetření.","Lékař online 24/7: co konzultace na dálku vyřeší a co ne","Co vyřeší lékař online a kdy nestačí","","no","not applicable","no","yes","yes","measurement_hold_until_2026-09-08","Title, H1, body and FAQs are held with the GP owner until the registered 2026-09-08 query-to-page measurement gate.","200; self-canonical; index/follow; self-hreflang; Article, MedicalWebPage and FAQ schema present","Maintain a contextual GP link; do not let this explainer own the commercial practical-GP query.","No live copy changed during the hold."
"https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka","blog-post","jak funguje eNeschopenka","eNeschopenka|jak funguje neschopenka|ČSSZ neschopenka","Neschopenka: jak funguje eNeschopenka (2026) · Global Health","Neschopenka: jak funguje eNeschopenka (2026) · Global Health","Jak funguje elektronická neschopenka: kdo ji smí vystavit, jak se o ní dozví zaměstnavatel, pravidla vycházek a kdy lze neschopenku vystavit zpětně.","Jak funguje elektronická neschopenka: kdo ji smí vystavit, jak se o ní dozví zaměstnavatel, pravidla vycházek a kdy lze neschopenku vystavit zpětně.","Neschopenka: jak funguje eNeschopenka, vycházky a výplata nemocenské","Neschopenka: jak funguje eNeschopenka, vycházky a výplata nemocenské","","no","not applicable","no","yes","yes","reviewed_no_change","The page already owns informational process intent, cites official sources, rejects guarantees and links to the service; doctor relation fields require separate attribution verification before any rewrite.","200; self-canonical; index/follow; self-hreflang; Article, MedicalWebPage and FAQ schema present","Reciprocal intent-specific link to the service is already present; keep process-first anchor text.","No factual or copy change proposed."
"https://www.myglobalhealth.online/czechia/cs/blog/vypocet-nemocenske-2026-co-plati-zamestnavatel-a-co-cssz","blog-post","výpočet nemocenské 2026","nemocenská zaměstnavatel|nemocenská ČSSZ","Výpočet nemocenské 2026: zaměstnavatel a ČSSZ","Výpočet nemocenské 2026: zaměstnavatel a ČSSZ","Výpočet nemocenské 2026: náhrada mzdy v prvních 14 dnech, dávka ČSSZ od 15. dne, redukční hranice a orientační postup.","Výpočet nemocenské 2026: náhrada mzdy v prvních 14 dnech, dávka ČSSZ od 15. dne, redukční hranice a orientační postup.","Výpočet nemocenské 2026: zaměstnavatel a ČSSZ","Výpočet nemocenské 2026: zaměstnavatel a ČSSZ","","no","not applicable","no","yes","yes","reviewed_no_change","Current title, description and H1 already match the measured calculation intent; regulatory numbers require dated review, not SEO expansion.","200; self-canonical; index/follow; self-hreflang; Article, MedicalWebPage and FAQ schema present","Existing link to the eNeschopenka explainer is correct; booking language remains secondary and qualified.","No factual or copy change proposed."
"https://www.myglobalhealth.online/czechia/cs/book","standalone","objednat online konzultaci","rezervace lékaře online|online objednání lékaře","Objednejte si konzultaci — Czechia · Global Health","Objednat online konzultaci | Global Health Česko","Czechia lékařská klinika. Vyberte si službu, lékaře, čas a údaje pacienta.","Objednejte online konzultaci v Česku. Vyberte službu, lékaře a dostupný termín a poté bezpečně doplňte údaje pacienta.","Objednejte si konzultaci","Objednejte si online konzultaci","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","The booking flow and form copy remain unchanged because they are operational UI, not keyword content.","200; self-canonical; index/follow; self-hreflang; breadcrumb schema present","CTA is the booking flow itself and displays live service and doctor availability.","Only locale wording and metadata changed; no booking fact changed."
"https://www.myglobalhealth.online/czechia/cs/careers","standalone","kariéra Global Health","práce lékař Česko|volná místa Global Health","Kariéra v Global Health Česko","Kariéra v Global Health Česko","Připojte se ke Global Health v Česko. Spolupracujeme s registrovanými lékaři, klinickou podporou a technologickými týmy po celé Evropě a v Brazílii. Zjistěte, jak se ucházet o práci.","Připojte se ke Global Health v Česku. Spolupracujeme s registrovanými lékaři, klinickou podporou a technologickými týmy v Evropě a Brazílii.","Kariéra v Global Health","Kariéra v Global Health","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Job listings and application instructions remain owned by recruitment data; no unsupported vacancy keyword was inserted.","200; self-canonical; index/follow; self-hreflang; breadcrumb schema present","Keep role-specific application links and avoid medical booking anchors.","Only Czech grammar and metadata length changed."
"https://www.myglobalhealth.online/czechia/cs/contact","standalone","kontakt Global Health Česko","telefon Global Health|e-mail Global Health","Kontakt | Online lékař Praha | Global Health","Kontakt | Global Health Česko","Kontaktujte Global Health: +420 608 353 716, info@myglobalhealth.online. Online konzultace s registrovanými lékaři, sídlo v Praze 1.","Kontaktujte Global Health Česko telefonicky na +420 608 353 716 nebo e-mailem na info@myglobalhealth.online. Provozní údaje a sídlo najdete na stránce.","Kontakt — Global Health Česko","Kontakt | Global Health Česko","","no","not applicable","no","yes","no","live_verified_2026-09-01","Contact body and FAQ remain unchanged because live contact details, not keyword expansion, are authoritative.","200; self-canonical; index/follow; self-hreflang; FAQ and organization schema present","Keep direct phone, email, legal and help links; remove the unrelated Prague commercial phrase from the title.","Displayed phone, email and location facts retained."
"https://www.myglobalhealth.online/czechia/cs/doctors","doctor-directory","online lékaři Česko","lékaři Global Health|ČLK lékař","Lékaři, kteří skutečně zvedají. — Czechia · Global Health","Online lékaři v Česku | Ověřené profily","Každý lékař níže je licencovaný v Czechia, ověřený pro online péči a hodnocený pacienty po každé konzultaci.","Prohlédněte si profily lékařů registrovaných v Česku. Ověřte registraci, jazyky a aktuální možnost online rezervace.","Lékaři, kteří skutečně zvedají.","Online lékaři v Česku","Vyberte si z ověřených profilů lékařů registrovaných v Česku. U každého najdete jazyky, registrační údaje a aktuální možnost rezervace.","yes","not applicable","no","yes","yes","source_pinned_guarded_draft_pending_clinical_review","Directory FAQs remain unchanged; availability must come from live profile calendars rather than a new blanket claim.","200; self-canonical; index/follow; self-hreflang; ItemList, Person and FAQ schema present","Profile anchors keep clinician names; replace directory same-day promotional copy with live-availability wording.","Roster and registration facts retained; blanket availability claim removed."
