domain,brand,competitor_type,analysis_status,organic_traffic_estimate,organic_keyword_count,current_backlinks_filtered,current_referring_domains_filtered,backlink_rank,backlink_spam_score,live_serp_query_count,live_best_rank,live_average_rank,strategic_note,metric_scope,retrieved_at
doktoronline.cz,DoktorOnline,telehealth/legacy,Seed; weak current Czech organic footprint,3,1,215,191,0,58,0,,,Consumer telemedicine relevance but only 1 estimated keyword.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
ulekare.cz,uLékaře,health publisher + telehealth,Seed; deep reviewed,35584,12946,389,240,48,36,7,6,15,Large editorial footprint; not a like-for-like provider.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
meddi.com,MEDDI,telehealth app/provider,Seed; deep reviewed,177,19,122,50,45,24,7,3,5.285714285714286,Direct commercial competitor for online-doctor terms.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
euc.cz,EUC,clinic network + telehealth,Seed; deep reviewed,334335,13307,688140,2247,63,2,14,2,10,Institutional ecosystem; online care partly gated to existing patients/programs.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
znamylekar.cz,ZnámýLékař,doctor marketplace,Seed; deep reviewed,92140,19104,481,210,22,41,9,3,11.9,SEO scale and reviews moat; not care-delivery owner.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
canadian.cz,Canadian Medical,private clinic network + virtual clinic,Seed; deep reviewed,24270,1855,123035,235,49,0,7,4,10.875,Premium trust and expat relevance; membership-led.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
konzultacelekare.cz,KonzultaceLékaře.cz,online consultation marketplace,Discovered; deep reviewed,,,43,39,0,55,9,1,7.5,Best pure transactional comparator; transparent physician pricing.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
zpmvcr.cz,ZP MV ČR,health insurer/authority,Discovered; SERP authority,,,426,240,32,30,11,2,6.7272727272727275,"Authority/information competitor, not business substitute.",OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
praktickylekar.online,PraktickýLékař.online,HCP media/education,Discovered; deep reviewed,,,39,37,10,53,4,1,6,"SERP noise; explicitly for healthcare professionals, not patient acquisition.",OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31
epediatr.cz,ePediatr,online pediatric care,Discovered; SERP reviewed,,,42,40,0,54,7,1,6.888888888888889,Direct pediatric query competitor.,OpenSEO 2203/cs domain estimates; backlinks hideSpam=true/domain scope,2026-08-31

