"keyword","cluster_id","exclusion_reason","source","collected_at"
"emprego médico clinica geral","family-medicine","non-patient employment intent","openseo_seed","2026-08-31"
"a receita do amor","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"albendazol portugal sem receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"amigurumi harry potter receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"amor não tem receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"analise do poema receita de ano novo slideshare","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"aviar receita significado","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"bifanas de vendas novas receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"bilharacos receita original","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"bolinhos de chuva receita portuguesa","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cac receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cafir receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"calculo de medicamento por peso","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cálculo de medicamento por peso","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"certidão antecedentes criminais receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"certidão da receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cerveja amanteigada harry potter receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cialis sem receita portugal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"classificador receita 2019","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cnd receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cnpj receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cnpj receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"comentario sobre o poema receita de ano novo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"como conseguir uma receita médica online grátis","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"comprar cialis sem receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"comprar medicamentos sem receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta cnpj receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta cnpj receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta cpf receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta cpf receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta do cpf receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta receita federal cnpj","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consulta receita federal cpf","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consultar cnpj na receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consultar cnpj receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consultar cpf receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consultas cnpj receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"consumer receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cpf receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"cpf receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"dados receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"download irpf receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"e-cac receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
