"url","locale","type","evidence","ownership","editorial_label","disposition"
"https://www.myglobalhealth.online/brazil/en","en","home","medical appointment (12 impressions) | doctor global (8 impressions) | most popular health websites brazil (7 impressions)","navigation/support","Online medical care in Brazil","verify further"
"https://www.myglobalhealth.online/brazil/en/about","en","about","help global brazil (5 impressions) | help global brazil atestado (2 impressions) | clinic global health (1 impressions)","navigation/support","About Global Health Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/blog","en","blog","medical appointment (2 impressions)","navigation/support","Health Guides from Registered Doctors.","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/blog/diabetes-the-silent-disease","en","article","diabetes in brazil (1 impressions)","informational","Diabetes: The Silent Disease","hold"
"https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c","en","article","attendance medical certificate (2 impressions) | sim (2 impressions) | absence certificate (1 impressions)","informational","Does an Attendance Certificate Excuse an Absence? The Difference from a Medical Certificate and What the CLT Guarantees","hold"
"https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil","en","article","da hapvida (1 impressions) | hemato (1 impressions) | request a test (1 impressions)","informational","Requesting laboratory tests in Brazil: how the medical request works","hold"
"https://www.myglobalhealth.online/brazil/en/blog/medical-review-policy","en","article","","informational","How we write and review medical content","hold"
"https://www.myglobalhealth.online/brazil/en/blog/online-medical-certificate-brazil","en","article","posso pedir atestado (1 impressions)","informational","Online medical certificate in Brazil: when it counts and what it must contain","hold"
"https://www.myglobalhealth.online/brazil/en/book","en","book","","navigation/support","","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/careers","en","careers","medical line (1 impressions)","navigation/support","Careers at Global Health","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/contact","en","contact","help global brazil login (9 impressions) | clinic global health (3 impressions) | help global brazil (2 impressions)","navigation/support","Contact Global Health Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/doctors","en","doctors","doctor visit crm pharma (3 impressions)","navigation/support","Doctors who actually pick up.","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/doctors/dr-renato-sarmento","en","doctor","","navigation/support","Dr. Renato Sarmento","change"
"https://www.myglobalhealth.online/brazil/en/dr-renato","en","dr-renato","","navigation/support","Online consultation with your family doctor","verify further"
"https://www.myglobalhealth.online/brazil/en/faq","en","faq","help global brazil (1 impressions)","navigation/support","Questions, answered without the marketing speak.","verify further"
"https://www.myglobalhealth.online/brazil/en/gp-consultation-online","en","gp-consultation-online","","navigation/support","Online GP Consultation in Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/legal","en","legal","","navigation/support","Legal information.","hold"
"https://www.myglobalhealth.online/brazil/en/legal/complaints-procedure","en","legal","","navigation/support","Complaints Procedure","hold"
"https://www.myglobalhealth.online/brazil/en/legal/cookie-policy","en","legal","","navigation/support","Cookie Policy","hold"
"https://www.myglobalhealth.online/brazil/en/legal/medical-disclaimer","en","legal","","navigation/support","Aviso Médico","hold"
"https://www.myglobalhealth.online/brazil/en/legal/privacy-policy","en","legal","","navigation/support","Privacy Policy","hold"
