"retrieved_at","url","status","title","meta_description","h1","canonical","robots","self_hreflang","hreflang_count","schema_types","internal_link_count"
"2026-09-01T18:56:09.376Z","https://www.myglobalhealth.online/czechia/cs/services/neschopenka-online","200","Online neschopenka | Posouzení lékařem","Online konzultace k posouzení pracovní neschopnosti. Lékař rozhodne podle zdravotního stavu; vystavení eNeschopenky není automatické.","Online posouzení pracovní neschopnosti","https://www.myglobalhealth.online/czechia/cs/services/neschopenka-online","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","65"
"2026-09-01T18:56:09.381Z","https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby","200","Obnovení receptu online | Posouzení léčby lékařem","Online konzultace k pokračování zavedené léčby. Lékař posoudí dokumentaci, bezpečnost a další postup; vystavení eReceptu není automatické.","Obnovení léčby a receptu online","https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","62"
"2026-09-01T18:56:09.411Z","https://www.myglobalhealth.online/czechia/cs/services/doporuceni-a-vysetreni","200","Žádanka a doporučení online | Posouzení lékařem","Proberte s lékařem potřebu vyšetření nebo doporučení ke specialistovi. Vystavení závisí na klinickém posouzení a není automatické.","Doporučení a vyšetření po online konzultaci","https://www.myglobalhealth.online/czechia/cs/services/doporuceni-a-vysetreni","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","61"
"2026-09-01T18:56:09.374Z","https://www.myglobalhealth.online/czechia/cs/services/druhy-nazor-praha","200","Druhý názor lékaře | Online konzultace","Nezávislé posouzení dostupných lékařských zpráv a léčebného plánu. Druhý názor nenahrazuje akutní péči ani nutné osobní vyšetření.","Druhý názor lékaře online","https://www.myglobalhealth.online/czechia/cs/services/druhy-nazor-praha","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","61"
"2026-09-01T18:56:09.338Z","https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart","200","Krevní tlak: kalkulačka a tabulka hodnot","Zkontrolujte orientační kategorii krevního tlaku, správný postup měření a situace, kdy je vhodná konzultace nebo akutní pomoc.","Kalkulačka a tabulka krevního tlaku","https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart","index, follow","yes","34","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|PostalAddress|PropertyValue|Question|WebSite","61"
"2026-09-01T18:56:09.358Z","https://www.myglobalhealth.online/czechia/cs","200","Online lékař v Česku | Registrovaní lékaři","Online konzultace s lékaři registrovanými v Česku. Vyberte službu a volný termín; další postup vždy závisí na klinickém posouzení.","Online lékařská péče v Česku","https://www.myglobalhealth.online/czechia/cs","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ImageObject|ListItem|MedicalOrganization|Organization|PostalAddress|PropertyValue|Question|WebSite","96"
"2026-09-01T18:56:09.330Z","https://www.myglobalhealth.online/czechia/cs/blog/diabetes-ticha-nemoc","200","Diabetes v Česku: příznaky, léčba a prevence","Přehled příznaků, rizik, léčby a prevence diabetu v Česku. Článek napsal MUDr. Ahmed Maklad, registrovaný u ČLK č. 1176686198.","Diabetes: příznaky, léčba a prevence","https://www.myglobalhealth.online/czechia/cs/blog/diabetes-ticha-nemoc","index, follow","yes","7","Article|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|ImageObject|ListItem|MedicalOrganization|MedicalWebPage|Organization|Person|PostalAddress|PropertyValue|Thing|WebSite","60"
"2026-09-01T18:56:09.402Z","https://www.myglobalhealth.online/czechia/cs/services/bolesti-pohyboveho-aparatu","200","Bolesti zad a kloubů | Online konzultace","Online konzultace bolesti zad, kloubů, svalů nebo pohybových obtíží. Lékař posoudí, zda je vhodný postup na dálku, nebo osobní vyšetření.","Bolesti zad a kloubů: online konzultace","https://www.myglobalhealth.online/czechia/cs/services/bolesti-pohyboveho-aparatu","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","61"
"2026-09-01T18:56:09.350Z","https://www.myglobalhealth.online/czechia/cs/services/chronicka-onemocneni","200","Chronická onemocnění | Online kontrola léčby","Online kontrola stabilního chronického onemocnění jako doplněk pravidelné péče. Lékař posoudí průběh, léčbu a potřebu dalšího vyšetření.","Chronická onemocnění: online kontrola léčby","https://www.myglobalhealth.online/czechia/cs/services/chronicka-onemocneni","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Organization|Person|PostalAddress|PropertyValue|Question|WebSite","58"
"2026-09-01T18:56:09.343Z","https://www.myglobalhealth.online/czechia/cs/services/kontrola-vahy-online","200","Hubnutí s lékařem | Online konzultace","Online konzultace k bezpečnému řízení hmotnosti. Lékař zhodnotí zdravotní stav, dosavadní postup a vhodná vyšetření; léčbu nelze slíbit předem.","Hubnutí s lékařem online","https://www.myglobalhealth.online/czechia/cs/services/kontrola-vahy-online","index, follow","yes","7","Answer|BreadcrumbList|ContactPoint|Country|EducationalOccupationalCredential|FAQPage|ImageObject|ListItem|MedicalOrganization|MedicalProcedure|MedicalWebPage|Offer|Organization|Person|PostalAddress|PropertyValue|QuantitativeValue|Question|ReserveAction|Service|WebSite","63"
