referring_domain,source_url,competitor_target_url,link_type,relevance,authority_metric,traffic_metric,our_existing_relationship,proposed_target_asset,outreach_angle,effort,risk,priority,notes
irishtimes.com,https://www.irishtimes.com/health/your-wellness/2022/08/09/high-blood-pressure-a-key-risk-factor-for-circulatory-disease/,https://webdoctor.ie/,Editorial dofollow,High,Domain rank 78,Unavailable,Unknown,/ireland/en/tools/blood-pressure-chart,"Offer a clinician-reviewed Ireland-specific data note or expert comment, not a replacement-demand email",High,Editorial relationship required,P1,Legitimate Irish publication; pitch must be newsworthy
mixcloud.com,https://www.mixcloud.com/1032DublinCityFM/interview-with-dr-diane-bennis-gp-with-webdoctorie-24th-january-2023/,http://webdoctor.ie/,"Interview citation, nofollow",Medium,Domain rank 84,Unavailable,Unknown,Verified clinician profile or public-health resource,"Offer an available, consented clinician for a timely radio topic",Medium,Clinician consent,P2,Brand exposure may matter more than link equity
businessplus.ie,https://businessplus.ie/media-plus/webdoctor-ie-spanish/,http://webdoctor.ie/,Editorial nofollow,Medium,Domain rank 62,Unavailable,Unknown,Multilingual telemedicine evidence page,Pitch original data about multilingual healthcare access in Ireland,High,Claims and data governance,P2,Requires original dataset and approval
rsvplive.ie,https://www.rsvplive.ie/life/health/best-weight-loss-diet-follow-34544778,http://webdoctor.ie/,Editorial nofollow,Medium,Domain rank 55,Unavailable,Unknown,/ireland/en/services/weight-management-consultation,"Offer a clinician comment on safe, evidence-based weight management",Medium,High YMYL / media approval,P2,No promotional medication claims
thinkbusiness.ie,https://www.thinkbusiness.ie/articles/irish-businesses-festival-ready-2026/,https://webdoctor.ie/,Editorial dofollow,Medium,Domain rank 45,Unavailable,Unknown,Employer health / sick-leave research asset,Create original employer-health data or an operational guide for Irish SMEs,High,Legal review,P2,Needs a genuine business angle
careplus.ie,https://www.careplus.ie/online-gp,http://webdoctor.ie/,Commercial partnership dofollow,High,Domain rank 37,Unavailable,Unknown,/ireland/en/gp-consultation-online,Explore a genuine pharmacy referral partnership only if commercial terms and patient pathways align,High,Commercial/clinical governance,P2,Do not pursue as a link-only arrangement
staywell.ie,https://www.staywell.ie/online-gp,http://webdoctor.ie/,Commercial partnership dofollow,Medium,Domain rank 25,Unavailable,Unknown,/ireland/en/gp-consultation-online,Explore a genuine benefits or care-navigation partnership,High,Commercial review,P3,"Relationship first, link second"
stratuspharmacy.ie,https://www.stratuspharmacy.ie/c/online-doctor/223,http://webdoctor.ie/,Commercial directory/partner,Medium,Domain rank 30; spam score 25,Unavailable,Unknown,/ireland/en/gp-consultation-online,Only pursue if there is a real pharmacy service relationship,High,Elevated spam / commercial risk,P3,Not a generic directory submission
careplus.ie,,,Partnership prospect,High,Unavailable,Unavailable,Unknown,/ireland/en/lab-tests,Co-create a patient-safe home-test handling guide if operationally true,High,Clinical/commercial,P3,Requires actual relationship
hse.ie,,,"Authority source, not outreach target",High,Unavailable,Unavailable,None,Clinician-reviewed patient guides,Cite relevant official guidance accurately; do not solicit links as the primary tactic,Low,Government outreach inappropriate,P3,"Source strategy, not a promised backlink"
irishheart.ie,,,Non-profit/resource prospect,High,Unavailable,Unavailable,Unknown,/ireland/en/tools/blood-pressure-chart,Offer an independently useful update or original anonymised data only if it fills a real resource gap,High,Partnership and medical review,P2,Verify current resource policies before outreach
irishcollegeofgps.ie,,,Professional body prospect,High,Unavailable,Unavailable,Unknown,Clinical governance/editorial policy page,"Participate through genuine professional contribution, not link requests",High,Professional approval,P3,No cold bulk outreach
Unavailable,,,Broken-link replacement,Medium,Unavailable,Unavailable,Unknown,Relevant clinician-reviewed Ireland guide,Run a separate broken-link crawl before any outreach; no qualifying broken competitor URL was established in this batch,Medium,Evidence required,P3,"Placeholder documents an unavailable metric, not a fabricated prospect"
