coupling_id,file,line,expression,match_token,context_kind,enclosing_symbol,route_or_template,markets_named,language_ambiguity,is_test
CC-0001,backend/scripts/applied/patch-brazil-doctors-content.ts,2,* Patch Brazil /brazil/pt/doctors (DOCTORS_INDEX) page content + Dr. Renato,Brazil,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0002,backend/scripts/applied/patch-brazil-doctors-content.ts,4,"* (""Brazil doctors SEO.docx"" + ""GlobalHealth_Brazil_DoctorsPage_Brief.docx"").",Brazil,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0003,backend/scripts/applied/patch-brazil-doctors-content.ts,23,*     (Spain-specific vocabulary that doesn't apply to Brazil's CRM/CFM system).,Spain,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),es|br,no,no
CC-0004,backend/scripts/applied/patch-brazil-doctors-content.ts,23,*     (Spain-specific vocabulary that doesn't apply to Brazil's CRM/CFM system).,Brazil,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),es|br,no,no
CC-0005,backend/scripts/applied/patch-brazil-doctors-content.ts,32,"*     Brazil specifically. Hardcoding a single ""en_GB"" alternate would break",Brazil,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0006,backend/scripts/applied/patch-brazil-doctors-content.ts,37,*     pt-locale market (Portugal included) with no per-country override slot,Portugal,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),pt,no,no
CC-0007,backend/scripts/applied/patch-brazil-doctors-content.ts,39,*     overrides). Fixing them site-wide would change Portugal's copy too;,Portugal,other,,backend/scripts/applied/patch-brazil-doctors-content.ts (script),pt,no,no
CC-0008,backend/scripts/applied/patch-brazil-doctors-content.ts,52,"// ── Doctor profile content (doc: ""Brazil doctors SEO.docx"") ────────────────",Brazil,other,note,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0009,backend/scripts/applied/patch-brazil-doctors-content.ts,134,"const PAGE_SEO_TITLE_EN = ""CRM-Registered Doctors | Online Consultations in Brazil | Global Health"";",Brazil,other,PAGE_SEO_TITLE_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0010,backend/scripts/applied/patch-brazil-doctors-content.ts,136,"""See CRM/CFM-registered doctors available online in Brazil. Family medicine, Palliative Care and telemedicine. Book same-day."";",Brazil,other,PAGE_SEO_DESCRIPTION_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0011,backend/scripts/applied/patch-brazil-doctors-content.ts,184,"question: ""Can Global Health Brazil doctors issue medical certificates and prescriptions?"",",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0012,backend/scripts/applied/patch-brazil-doctors-content.ts,186,"""Yes. CRM-registered doctors on the Global Health platform can issue medical certificates, prescriptions and referrals where clinically indicated, at the treating doctor's professional discretion foll",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0013,backend/scripts/applied/patch-brazil-doctors-content.ts,189,"question: ""Is telemedicine regulated in Brazil?"",",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0014,backend/scripts/applied/patch-brazil-doctors-content.ts,191,"""Yes. Telemedicine in Brazil is regulated by the Conselho Federal de Medicina (CFM) through CFM Resolution No. 2,314/2022, which sets the criteria for medical teleconsultation in the country. All Glob",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0015,backend/scripts/applied/patch-brazil-doctors-content.ts,191,"""Yes. Telemedicine in Brazil is regulated by the Conselho Federal de Medicina (CFM) through CFM Resolution No. 2,314/2022, which sets the criteria for medical teleconsultation in the country. All Glob",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0016,backend/scripts/applied/patch-brazil-doctors-content.ts,194,"question: ""Can I consult a Global Health Brazil doctor while outside Brazil?"",",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0017,backend/scripts/applied/patch-brazil-doctors-content.ts,194,"question: ""Can I consult a Global Health Brazil doctor while outside Brazil?"",",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0018,backend/scripts/applied/patch-brazil-doctors-content.ts,196,"""Yes. Global Health Brazil doctors can see Brazilian patients living abroad or travelling, as long as the doctor is CRM-registered and the consultation follows CFM teleconsultation rules. Dr. Renato S",Brazil,other,NEW_FAQ_EN,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0019,backend/scripts/applied/patch-brazil-doctors-content.ts,217,"// ES translation-quality fix: ""colegiado/colegiación"" is Spain's medical-",Spain,other,NEW_FAQ_ES,backend/scripts/applied/patch-brazil-doctors-content.ts (script),es,no,no
CC-0020,backend/scripts/applied/patch-brazil-doctors-content.ts,218,// college vocabulary (matches es:es on the Spain page) and doesn't apply to,Spain,other,NEW_FAQ_ES,backend/scripts/applied/patch-brazil-doctors-content.ts (script),es,no,no
CC-0021,backend/scripts/applied/patch-brazil-doctors-content.ts,219,"// Brazil's CRM/CFM system — this is Brazil's own ES page, so editing here",Brazil,other,NEW_FAQ_ES,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
CC-0022,backend/scripts/applied/patch-brazil-doctors-content.ts,219,"// Brazil's CRM/CFM system — this is Brazil's own ES page, so editing here",Brazil,other,NEW_FAQ_ES,backend/scripts/applied/patch-brazil-doctors-content.ts (script),br,no,no
