observed_at,target_country,language,query_cluster,query,competitor_domain,competitor_type,ranking_url,serp_position,intent,content_gap,trust_gap,local_gap,provider,device,location,evidence
2026-09-15,ireland,en,sick-certificate,sick cert online,smartscripts.ie,business-telemedicine,https://smartscripts.ie/sick-note-online-ireland/,1,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,gethealthcare.ie,business-telemedicine,https://gethealthcare.ie/online-medical-certificates/sick-certificate,3,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,www.medhub.ie,business-telemedicine,https://www.medhub.ie/online-sick-certificate-in-ireland,4,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,www.gpsicknote.ie,business-telemedicine,https://www.gpsicknote.ie/,6,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,rossfamilypractice.ie,serp-hospital-group,https://rossfamilypractice.ie/sick-certs/,7,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,doconcall.ie,business-telemedicine,https://doconcall.ie/,8,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,doctor365.ie,business-telemedicine,https://doctor365.ie/service/sick-certificate-and-doctors-note/,9,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,gethealthcare.ie,business-telemedicine,https://gethealthcare.ie/,10,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,www.walshmedicalpractice.ie,business-telemedicine,https://www.walshmedicalpractice.ie/illness-certs,11,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,sick cert online,doconcall.ie,business-telemedicine,https://doconcall.ie/sick-note-ireland-guide/,13,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
