"keyword","locale","market","location_code","owner_url","source","search_volume","keyword_difficulty","intent","cpc","priority","notes"
"calculator calorii","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator cate calorii trebuie sa mananci pe zi","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator de calorii","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator deficit caloric femei","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calcul calorii","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calcul saptamani sarcina","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/due-date-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator calorii deficit","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator calorii online","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator calorii zilnice","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator deficit caloric gratis","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"calculator kalorii","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"praktischer arzt in der nähe","de","Romania","2642","https://www.myglobalhealth.online/romania/de","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"scrisoare medicală","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/blog/scrisoare-medicala-cine-o-elibereaza","GSC visible query | research_focused","880","0","informational","0.04","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"112/54 blood pressure","en","Romania","2642","https://www.myglobalhealth.online/romania/en/blog/low-blood-pressure-why-it-happens-what-to-do-right-away-and-when-not-to-wait","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"112/60 blood pressure female","en","Romania","2642","https://www.myglobalhealth.online/romania/en/blog/low-blood-pressure-why-it-happens-what-to-do-right-away-and-when-not-to-wait","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"126/94 blood pressure","en","Romania","2642","https://www.myglobalhealth.online/romania/en/blog/normal-blood-pressure-a-practical-guide-by-age-without-misleading-tables","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"132/84 blood pressure","en","Romania","2642","https://www.myglobalhealth.online/romania/en/blog/normal-blood-pressure-a-practical-guide-by-age-without-misleading-tables","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"132/84 blutdruck","de","Romania","2642","https://www.myglobalhealth.online/romania/de/blog/normaler-blutdruck-hilfreicher-leitfaden-nach-alter-ohne-irrefuhrende-tabellen","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"adhd adulti romania","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/adhd-test","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"adhd diagnostic","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/adhd-test","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"adhd test adulti","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/adhd-test","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"afla daca esti insarcinata online","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/due-date-calculator","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"appointment doctor","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"arztbrief","de","Romania","2642","https://www.myglobalhealth.online/romania/de/blog/arztbrief-rumaenien","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"ask a doctor online","en","Romania","2642","https://www.myglobalhealth.online/romania/en","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"asrs v1.1 romana","ro","Romania","2642","https://www.myglobalhealth.online/romania/ro/tools/adhd-test","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"best doctor online","en","Romania","2642","https://www.myglobalhealth.online/romania/en","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"best online doctor","en","Romania","2642","https://www.myglobalhealth.online/romania/en","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"blood pressure 152/78","en","Romania","2642","https://www.myglobalhealth.online/romania/en/blog/normal-blood-pressure-a-practical-guide-by-age-without-misleading-tables","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"blood pressure 30/50","en","Romania","2642","https://www.myglobalhealth.online/romania/en/blog/normal-blood-pressure-a-practical-guide-by-age-without-misleading-tables","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
"blood pressure in romanian","en","Romania","2642","https://www.myglobalhealth.online/romania/en/tools/blood-pressure-chart","GSC visible query","","","","","P2","Observed owner; query language may differ from page locale. Confirm intent before rewriting."
