keyword,normalized_keyword,ascii_variant,sources,seeds,search_volume,keyword_difficulty,gsc_clicks,gsc_impressions,gsc_position,ranking_url,cluster,status,notes
mudr libor hlavatý,mudr libor hlavatý,mudr libor hlavaty,gsc,,,,1,61,18.016393442622952,,other target demand,excluded-low-fit,
promluvte si s lékařem,promluvte si s lékařem,promluvte si s lekarem,gsc,,,,0,59,8.47457627118644,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,online GP and doctor,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs/gp-consultation-online | https://www.myglobalhealth.online/czechia/cs
libor hlavatý,libor hlavatý,libor hlavaty,gsc,,,,0,54,8.851851851851851,,other target demand,excluded-low-fit,
global health,global health,global health,gsc,,30,,18,48,9.1875,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs | https://www.myglobalhealth.online/czechia/cs/book
mudr hlavatý české budějovice,mudr hlavatý české budějovice,mudr hlavaty ceske budejovice,gsc,,70,0,0,45,10.022222222222222,,other target demand,excluded-low-fit,
diabetes,diabetes,diabetes,gsc,,1900,17,0,35,36.885714285714286,https://www.myglobalhealth.online/czechia/es/blog/diabetes-ticha-nemoc,chronic disease,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/es/blog/diabetes-ticha-nemoc | https://www.myglobalhealth.online/czechia/pt/blog/diabetes-ticha-nemoc
diabetes mellitus,diabetes mellitus,diabetes mellitus,gsc,,1900,3,0,23,47.56521739130435,https://www.myglobalhealth.online/czechia/pt/blog/diabetes-ticha-nemoc,chronic disease,excluded-low-fit,
test vitamín b12,test vitamín b12,test vitamin b12,gsc,,,,0,23,12.565217391304348,,other target demand,excluded-low-fit,
index nadváhy,index nadváhy,index nadvahy,gsc,,,,0,17,39.705882352941174,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
vyšetření střevního mikrobiomu,vyšetření střevního mikrobiomu,vysetreni strevniho mikrobiomu,gsc,,,13,0,17,33.64705882352941,,referrals and investigations,excluded-low-fit,
regulace hmotnosti,regulace hmotnosti,regulace hmotnosti,gsc,,,,0,15,25.2,https://www.myglobalhealth.online/czechia/cs/services/kontrola-vahy-online,other target demand,excluded-low-fit,
v kolikátém týdnu se rodí,v kolikátém týdnu se rodí,v kolikatem tydnu se rodi,gsc,,40,,0,15,11.2,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
kontrola hmotnosti,kontrola hmotnosti,kontrola hmotnosti,gsc,,,,0,12,24.583333333333332,https://www.myglobalhealth.online/czechia/cs/services/kontrola-vahy-online,other target demand,excluded-low-fit,
my health,my health,my health,gsc,,,,0,11,8,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
výpočet termínu porodu,výpočet termínu porodu,vypocet terminu porodu,gsc,,1000,0,0,11,48.90909090909091,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
global medical,global medical,global medical,gsc,,,,0,10,4.4,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
poradenství v oblasti regulace hmotnosti,poradenství v oblasti regulace hmotnosti,poradenstvi v oblasti regulace hmotnosti,gsc,,,,0,10,44.9,,other target demand,excluded-low-fit,
vojtěch černý,vojtěch černý,vojtech cerny,gsc,,,,0,10,23.5,,other target demand,excluded-low-fit,
plodné dny,plodné dny,plodne dny,gsc,,1000,0,0,9,48.44444444444444,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
domácí test na cholesterol,domácí test na cholesterol,domaci test na cholesterol,gsc,,,0,0,8,29.625,,other target demand,excluded-low-fit,
globalhealth,globalhealth,globalhealth,gsc,,,,4,8,1.625,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs | https://www.myglobalhealth.online/czechia/cs/about
online healthy,online healthy,online healthy,gsc,,,,0,8,4.125,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
plodné dny kalkulačka,plodné dny kalkulačka,plodne dny kalkulacka,gsc,,880,0,0,8,35.625,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
plodné dny výpočet,plodné dny výpočet,plodne dny vypocet,gsc,,590,0,0,8,43.25,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
termin porodu,termin porodu,termin porodu,gsc,,590,0,0,8,37.75,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
termín porodu,termín porodu,termin porodu,gsc,,880,0,0,8,38.125,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
výpočet porodu,výpočet porodu,vypocet porodu,gsc,,480,0,0,8,45.5,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
mudr hlavatý libor,mudr hlavatý libor,mudr hlavaty libor,gsc,,,,0,7,11.571428571428571,,other target demand,excluded-low-fit,
ahmed maklad,ahmed maklad,ahmed maklad,gsc,,,,3,6,1.1666666666666667,https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad,other target demand,excluded-low-fit,
domácí test alergie na laktózu,domácí test alergie na laktózu,domaci test alergie na laktozu,gsc,,390,0,0,6,28.833333333333332,,other target demand,excluded-low-fit,
kalkulačka váhy,kalkulačka váhy,kalkulacka vahy,gsc|target-ranked,,210,21,0,6,30,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
plodne dny,plodne dny,plodne dny,gsc,,590,0,0,6,48.5,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
amh test,amh test,amh test,gsc,,,0,0,5,34.4,,other target demand,excluded-low-fit,
ano,ano,ano,gsc,,12100,27,3,5,2.4,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,other target demand,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs/gp-consultation-online | https://www.myglobalhealth.online/czechia/cs/services/cestovni-medicina-praha | https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online
kalkulačka plodnosti,kalkulačka plodnosti,kalkulacka plodnosti,gsc,,70,0,0,5,36.2,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
konzultace s lékařem,konzultace s lékařem,konzultace s lekarem,gsc,,,18,0,5,15.2,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,online GP and doctor,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs/gp-consultation-online | https://www.myglobalhealth.online/czechia/cs/services/lekar-online-praha
lékaři online 24,lékaři online 24,lekari online 24,gsc|research:related,lékař na telefonu|lékař online|praktický lékař online,110,6,0,5,20,https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi,online GP and doctor,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi | https://www.myglobalhealth.online/czechia/cs
mudr. libor hlavatý,mudr. libor hlavatý,mudr. libor hlavaty,gsc,,,,0,5,11.8,,other target demand,excluded-low-fit,
výpočet plodné dny,výpočet plodné dny,vypocet plodne dny,gsc,,140,0,0,5,38.6,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
centro medico,centro medico,centro medico,gsc,,,,0,4,10.5,,other target demand,excluded-low-fit,
dabup,dabup,dabup,gsc,,,,0,4,2.5,,other target demand,excluded-low-fit,
datum porodu,datum porodu,datum porodu,gsc|target-ranked,,210,0,0,4,40.5,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
domaci test na laktozu,domaci test na laktozu,domaci test na laktozu,gsc,,,,0,4,21.5,,other target demand,excluded-low-fit,
global health doctor,global health doctor,global health doctor,gsc,,,,3,4,2,,online GP and doctor,excluded-low-fit,
health,health,health,gsc,,3600,43,0,4,10.75,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
