path,in_applied_dir,last_commit_date,referenced_from_runtime,class,change_visible_in_production,recommended_action,note
backend/scripts/apply-portugal-snippet-trim-approval.ts,no,2026-09-04,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/apply-romania-editorial.mjs,no,2026-09-13,no,applied_one_off,yes,move_to_applied,/romania/ro/ hero 'Ingrijire medicala online in Romania' and RO tool copy live 2026-09-15 | One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/apply-romania-seo.mjs,no,2026-09-14,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/apply-spain-seo.mjs,no,2026-09-15,no,applied_one_off,yes,move_to_applied,/spain/es/* titles are market-specific (e.g. /spain/es/about 'Sobre Global Health Espana') 2026-09-15 | One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/apply-spain-sick-leave-pages.mjs,no,2026-09-14,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/backfill-brazil-missing-locales.ts,no,2026-07-23,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/brazil-blog-content.mjs,no,2026-09-15,no,applied_one_off,unknown,needs_owner_check,Country-named writer with no apply/patch prefix - confirm whether it is a one-shot or a re-runnable runner
backend/scripts/brazil-lgpd-law-name.mjs,no,2026-09-15,no,applied_one_off,yes,needs_owner_check,/brazil/en/legal serves 'LGPD' (was GDPR/RGPD) 2026-09-15 | Country-named writer with no apply/patch prefix - confirm whether it is a one-shot or a re-runnable runner
backend/scripts/brazil-page-content.mjs,no,2026-09-15,no,applied_one_off,unknown,needs_owner_check,Country-named writer with no apply/patch prefix - confirm whether it is a one-shot or a re-runnable runner
backend/scripts/brazil-plan-content.mjs,no,2026-09-15,no,applied_one_off,yes,needs_owner_check,/brazil/pt/pricing renders live R$150 / R$250 / R$300 plans 2026-09-15 | Country-named writer with no apply/patch prefix - confirm whether it is a one-shot or a re-runnable runner
backend/scripts/brazil-seo-storage.mjs,no,2026-09-13,no,reusable_runner,unknown,keep_as_runner,Dry-run / rehearsal / storage helper - re-run before the next batch in that market
backend/scripts/draft-ireland-service-translations-openai.ts,no,2026-07-11,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/enrich-ireland-health-landing-pages.ts,no,2026-08-26,no,applied_one_off,yes,move_to_applied,/ireland/en/health/arabic-speaking-doctor and /ireland/en/health/expat-healthcare both 200 2026-09-15 | One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/humanize-ireland-public-copy.ts,no,2026-08-26,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/import-brazil-disclaimer.ts,no,2026-07-10,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/import-brazil-service-content.ts,no,2026-07-10,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
backend/scripts/import-brazil-service-links.ts,no,2026-07-10,no,applied_one_off,unknown,move_to_applied,One-shot DB write; move to backend/scripts/applied/ once the effect is verified in production
