"domain","competitor_type","organic_traffic_estimate","organic_keyword_count","pilot_serp_keyword_overlap","pilot_serp_visibility","pilot_serp_average_position","backlinks","referring_domains","domain_rank","target_spam_score","strategy_summary","data_note"
"myglobalhealth.online","target","52","15","","","","567","68","43","2","Multi-market telemedicine; 23 active Portugal services; current weakness is non-brand authority and localized CMS leakage.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"dronline.pt","digital care","12654","601","8","3.8999999999999995","16","600","516","25","0","Portugal-first online medical/certificate landing pages with strong exact-service intent capture.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"knok.pt","digital care","639","33","","","","152","60","24","13","B2B/platform-led telehealth presence; smaller direct consumer footprint in this bounded Portugal corpus.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"consultas-online.pt","digital care","31","24","2","0.1","18.5","13","2","13","10","Small exact-match domain with limited portfolio and authority.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"cuf.pt","hospital network","1519045","21250","4","1.65","7.25","","","","","Large hospital authority; specialty and teleconsultation coverage.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"hospitaldaluz.pt","hospital network","1023495","17592","5","2.1","8","","","","","Large hospital authority; specialty/service pages dominate YMYL SERPs.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"lusiadas.pt","hospital network","655555","14028","3","0.5","12.666666666666666","","","","","Large provider network with broad location and specialty coverage.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"medis.pt","insurer","142668","6890","5","2.4499999999999997","13.6","","","","","Insurer ecosystem; app/benefit-led online-doctor experience.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"medicinaonline.multicare.pt","insurer","455","23","3","2.2","3.6666666666666665","","","","","Insurer-member online medicine subdomain with focused transactional visibility.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"mediconanet.pt","digital care","5436","684","8","3.55","8.25","","","","","Digital-first online care, prescriptions, certificates and consultations.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
"teleconsultaportugal.com","digital care","1867","310","4","2.55","6.25","","","","","Focused teleconsultation landing pages and commercial-intent coverage.","OpenSEO/DataForSEO snapshot 2026-08-31; estimates are directional, not analytics."
