"url","locale","page_type","faq_gap","embedded_questions","action","reason","priority","draft"
"https://www.myglobalhealth.online/romania/cs","cs","home","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/about","cs","about","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog","cs","blog","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","cs","article","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/book","cs","book","not a service/profile gap","","retain pending targeted editorial review","Booking route has a client-rendered shell; assess indexability and user flow separately. Not a keyword landing page.","P2",""
"https://www.myglobalhealth.online/romania/cs/careers","cs","careers","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/contact","cs","contact","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/doctors","cs","doctors","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/doctors/dr-alexandra-palaga","cs","doctor","present","0","draft ready","Correct booking language/availability; narrow pediatric emergency scope; fix Palaga name typo where present. Other credential claims retained pending evidence.","P1","content-briefs/doctor-drafts.json"
"https://www.myglobalhealth.online/romania/cs/doctors/dr-andreea-lorena-bica","cs","doctor","present","0","draft ready","Correct booking language/availability; narrow pediatric emergency scope; fix Palaga name typo where present. Other credential claims retained pending evidence.","P1","content-briefs/doctor-drafts.json"
"https://www.myglobalhealth.online/romania/cs/doctors/dr-robert-gabriel-brindus","cs","doctor","present","0","draft ready","Correct booking language/availability; narrow pediatric emergency scope; fix Palaga name typo where present. Other credential claims retained pending evidence.","P1","content-briefs/doctor-drafts.json"
"https://www.myglobalhealth.online/romania/cs/gp-consultation-online","cs","gp-consultation-online","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/lab-tests","cs","lab-tests","not a service/profile gap","","retain pending targeted editorial review","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","P2",""
"https://www.myglobalhealth.online/romania/cs/legal","cs","legal","not a service/profile gap","","retain pending targeted editorial review","Preserve legal body and intentional noindex variants; translated headings and legal accuracy require separate field-level decisions.","P2",""
"https://www.myglobalhealth.online/romania/cs/legal/complaints-procedure","cs","legal","not a service/profile gap","","retain pending targeted editorial review","Preserve legal body and intentional noindex variants; translated headings and legal accuracy require separate field-level decisions.","P2",""
