item_id,source_section,source_line,status_as_recorded,due_date,one_line,old_link
SEO-EDITORIAL-001,§5,903,ALL SIX PARENTS PUBLIC — REVIEW FLAGS STILL OPEN,,6 Week2 blog parents PUBLISHED but clinicalReview/nativeEditorReview still required on non-Czech checklists; reconcile genuine human review before restoring reviewer attribution (see §27.24 L41).,docs/plans/seo-control-state.md#L903
SEO-SEMRUSH-003,§5 / §27.24,956,LOCAL FIX UPDATED — DEPLOY PENDING,,5 non-English Ireland home titles/descriptions are source-complete but still need frontend deployment before live; re-run SEMrush after deploy+recrawl (§27.24 L52).,docs/plans/seo-control-state.md#L956
old-§27.23-czechia-13-guarded-candidates,§27.23,70,13 guarded candidates pending; 3 holds,,13 Czech dermatology-adjacent hashes conditionally eligible pending specialist/native-English/governance review; 3 holds and clinical register 19/37 pending.,docs/plans/seo-control-state.md#L70
old-§27.22-portugal-register-blocked,§27.22,146,blocked_pending_review (28/28),,All 28 Portugal clinical-register rows blocked_pending_review; 16 doctor profiles pending official fact verification; no metadata/bio/FAQ published.,docs/plans/seo-control-state.md#L146
old-§27.22-portugal-pricing-recrawl,§27.22 / §44,168,recrawl pending (pricing route),,"Portugal pricing route correction awaiting Google recrawl (07-19 stored crawl predates fix); the companion FAQ recrawl closed 2026-09-08 (§44 L8306), pricing not confirmed recrawled.",docs/plans/seo-control-state.md#L168
old-§27.22-portugal-dr-tiago-identity,§27.22,154,blocked — reviewer specialty/identity mismatch,,"Dr Tiago's Portugal doctor row has no active specialty relation, and official OM registration 77986 lists surname FALEIRO, missing from the production identity; clinical register stays closed.",docs/plans/seo-control-state.md#L154
old-§27.21-czechia-drafts-pending,§27.21,188,"14 drafts pending, 3 holds",,14 source-pinned Czech clinical drafts remain pending specialist/native-English/governance review; 3 measurement holds still binding.,docs/plans/seo-control-state.md#L188
CZ-CLINICAL-REGISTER-STATE,§27.20 / §41.3,222,37 rows: 31 approved / 3 pending / 3 live_unreviewed_debt,,Czech register: 2 eNeschopenka/sick-pay articles plus the sitewide forms/analytics privacy scope have no payload at all (§41.3 L7981); only neschopenka/treatment-renewal FAQs have exact replacements.,docs/plans/seo-control-state.md#L222
old-§27.19-czechia-14-eligible-blocked,§27.19,265,blocked by pending review,,14 eligible Czech recommendations stay source-pinned and blocked by pending specialist/native-English/governance review; 3 GP/24-7/travel holds and 2 reviewed-no-change articles remain binding.,docs/plans/seo-control-state.md#L265
old-§27.18-eneschopenka-doctor-mismatch,§27.18,303,needs source verification,,Published eNeschopenka article's public API record shows a doctor-relation mismatch against the visible author/reviewer attribution; needs source verification before any CMS correction.,docs/plans/seo-control-state.md#L303
CZ-SEO-001-GATE-REREAD,§27.16 / §52.2,351,confounded; re-read after post-09-02 crawl confirmed,,GP-consultation gate confounded by the 09-02 republish; §52.2 (2026-09-10) found Google had not crawled the republished page (last crawl 08-24) — re-read after a post-09-02 crawl.,docs/plans/seo-control-state.md#L351
old-§27.16-blog-doctor-link-deploy-verify,§27.16,346,deployment verification pending,,Locale-aware doctor-profile link fix for non-English blog articles (blog-post-page.tsx) implemented locally; deployment verification remains pending.,docs/plans/seo-control-state.md#L346
old-§27.15-booking-availability-prod-migration,§27.15,390,local implementation only,,"Booking-availability visibility work is a local implementation record only; production migration, live checks, critical e2e proof and two-week GSC observation remain open.",docs/plans/seo-control-state.md#L390
SEO-EDITORIAL-001-CALENDAR-0930,§27.2,455,calendar gate,2026-09-30,Measure country FAQs and legacy consolidation; run the first meaningful 30-day editorial review; scale only pages with clear query ownership.,docs/plans/seo-control-state.md#L455
SEO-EDITORIAL-001-CALENDAR-1113,§27.2,456,calendar gate,2026-11-13,Recheck Brazil/Romania generic commercial SERP walls and the first editorial cohort's 60-90 day evidence.,docs/plans/seo-control-state.md#L456
WATCH-/ireland/sick-leave,§6,1893,WAIT FOR GOOGLE — unmoved,,308 target correct in production; Google's stored crawl (2026-07-05) still predates the 2026-07-30 fix.,docs/plans/seo-control-state.md#L1893
WATCH-/ireland/es/health/sick-cert-online,§6,1894,WAIT FOR GOOGLE — unmoved,,308 target correct in production; Google's stored crawl (2026-07-25) still predates the 2026-08-09 fix.,docs/plans/seo-control-state.md#L1894
