"cluster_id","target_url","url_status","primary_keywords","secondary_keywords","keyword_count","p0_keyword_count","p1_keyword_count","measured_search_volume_sum","gsc_impressions","recommended_action","clinical_review_required","notes"
"target-brand","https://www.myglobalhealth.online/portugal/pt","existing","global health | my global health","global health company | global health online | global health testing | global health care | global health center | the global health | global health and medicine | global health foyer | global health medical center","11","1","0","0","159","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"online-doctor","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","existing","médico online | consulta médica online | teleconsulta | consulta online | online doctor portugal","clinica | medicos registados | clinic | clinica global | clinica health care | marcação de consulta online | marcação de consulta | e consulta | consulta clínico geral | medico online","270","6","36","86710","716","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"family-medicine","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","existing","médico de família online | medicina geral e familiar","pedir médico de família online | médico de família | médica clinica geral | medico familia | medico de familia | preço consulta medicina geral e familiar | bom médico de clínica geral | lista de utentes por médico de família | gp doctor | clinica geral","18","0","0","2560","7","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"sick-leave","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","existing","baixa médica online | pedir baixa médica online","pedir baixa online | pedir baixa médica 3 dias | pedir baixa médica | interromper baixa médica online | baixa psicológica paga a 100 portugal | baixa profissional e paga a 100 | prazo entrega baixa medica entidade patronal | baixa por assistência a cônjuge e paga | baixa profissional e paga à 100 | baixa médica a 100 para doentes oncológicos","191","0","6","61240","6","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"driving-medical-certificate","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","existing","atestado médico para carta de condução | atestado médico online para carta de condução","renovação carta de condução online | atestado médico para renovar carta de condução | sns atestado médico para carta de condução | impresso para atestado médico carta de condução | renovação carta condução idade | renovação carta condução 60 anos | renovação carta de marinheiro | preço atestado médico para carta de condução | atestado médico carta de condução | atestado medico para carta de condução","80","0","0","20530","170","Retain page; authority/link earning before another on-page experiment.","yes",""
"medical-certificates","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","existing","atestado médico online | certificados médicos online","preciso de um atestado médico urgente | atestado online | atestado medico online | atestados medicos online | conseguir atestado medico online | atestado médico online grátis | atestado medico | atestado médico | atestados medicos | atestado","82","3","4","24850","203","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"prescription-renewal","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","existing","receita médica online | renovação de receita","prescrição médica eletronica | receita medica | pedir receitas medicas online | pedir receita medica online | receita medica online | pedir receita online | prescrição | prescrição médica | prescrições médicas | receitas medicas","43","0","0","11080","0","Optimize only after clinician/compliance review.","yes",""
"traveller-health","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","existing","consulta do viajante | consulta do viajante online","consulta viajante | consulta viajante online | marcar consulta do viajante online | marcar consulta viajante | consulta do viajante preço | preço consulta do viajante | onde marcar consulta do viajante | consulta viajante cabo verde | consulta do viajante oeiras | consulta do viajante cabo verde","42","0","8","11290","110","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"referrals-and-tests","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","existing","referenciação médica | consulta de referenciação","análise clínica | exame medico | referenciação hospitalar | referenciação primeira consulta hospitalar | referenciação exemplos | processos de referenciação | o que é referenciação | ficha de referenciação educação especial | exame médico poupatempo | exame médico periódico trabalho","39","0","0","12880","0","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"cardiology","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","existing","cardiologista online | consulta cardiologia online","consulta cardio online | tensao arterial | consulta cardiologista | consulta de cardiologia online | medico online cardiologista | medicos cardiologista online | cardiologista consulta online | consulta online cardiologista | valores da tensão arterial | valores tensão arterial normal","30","1","0","6640","45","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"oncology","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-oncologia","existing","oncologista online | consulta oncologia online","cancros de pele | consulta de oncologia | medico oncologista | cancer de mama queda de cabelo | medico oncologista o que é | oncologia médica fisiopatogenia e tratamento pdf | oncologista é medico de que | oncologista é médico de que | perda de cabelo cancer | presente para médico oncologista","27","0","0","3750","2","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"pediatrics","https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","existing","pediatra online | consulta pediatria online","pediatra consulta | consulta com pediatra online | medico pediatra online | médico pediatra online | consulta online pediatra | medico online pediatra | médico pediatra online gratuito","7","0","1","260","0","Optimize/consolidate the existing URL; no new URL approved.","yes","Also review /services/consulta-de-pediatria for distinct booking intent before any consolidation."
"psychology","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psicologia","existing","psicólogo online | consulta de psicologia online","consulta de psicologia por videochamada | gravidez psicológica homem | tratamento psicológico | como marcar consulta psicologia sns | preço consulta psicologia trofa saúde | consulta de psicologia preço | consulta psicologia porto | consultas psicologia centro de saúde | saúde prime psicologia","9","0","0","30","2","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"psychiatry","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psiquiatria","existing","psiquiatra online | consulta de psiquiatria online","consulta online de psiquiatria | consulta online psiquiatria | consulta de psiquiatria por videochamada | consulta psiquiatra | consulta psiquiatria | consulta psiquiatria feminina | preço consulta psiquiatra | consulta psiquiatra online | consulta psiquiatra preço | consulta psiquiatria sns","15","0","2","50","25","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"mental-health","https://www.myglobalhealth.online/portugal/pt/services/saude-mental","existing","consulta saúde mental | saúde mental online","tdah | tdah o q é | saude mental definição | adhd o'que e | ansiedade e estresse | lei da saúde mental | legislação saude mental | dorial saúde mental | tdah teste online | teste tdah online","64","0","0","23900","7","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"weight-management","https://www.myglobalhealth.online/portugal/pt/services/perda-de-peso","existing","consulta médica para perda de peso | perda de peso com médico","imc | calcular imc | perda de peso | calculadora de imc online | calculadora online imc | calcular imc online | calculo online imc | imc calcular online | imc online | massa muscular ideal mulher","60","0","0","36920","58","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"dermatology","https://www.myglobalhealth.online/portugal/pt/services/consulta-dermatologia","existing","dermatologista online | consulta dermatologia online","consulta online de dermatologia | micose pele | micoses na pele | ulcera na pele | úlcera na pele | ulcera pele | úlcera pele | ulceração na pele | úlceras na pele | dermatologia cabelo","24","0","1","3190","18","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"hair-loss","https://www.myglobalhealth.online/portugal/pt/services/consulta-queda-de-cabelo","existing","médico para queda de cabelo | consulta queda de cabelo","consulta cabelo | para queda de cabelo | melhor tratamento para queda de cabelo | queda de cabelo | minoxidil para queda de cabelo feminino | queda de cabelo suplementação | queda de cabelo quais as causas | queda de cabelo o que causa | queda de cabelo causa | causas queda de cabelo","296","0","1","19160","0","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"smoking-cessation","https://www.myglobalhealth.online/portugal/pt/services/deixar-de-fumar","existing","deixar de fumar | consulta cessação tabágica","consulta cessação tabágica dgs | consulta cessação tabágica coimbra | consulta cessação tabágica lisboa | consulta cessação tabágica porto","5","0","0","40","0","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"pain-management","https://www.myglobalhealth.online/portugal/pt/services/gestao-da-dor","existing","gestão da dor | consulta gestão da dor","","0","0","0","0","0","Retain active service; collect focused demand before content expansion.","yes",""
"womens-health","https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","existing","saúde da mulher online | consulta saúde da mulher","consulta menopausa | teste de gravidez | gravidez ectópica | testosterona mulher | periodo fertil mulher | testosterona em mulher | metodos contraceptivos mulher | métodos contraceptivos mulher | saúde da mulher | ginecomastia homem","29","0","1","22290","14","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"mens-health","https://www.myglobalhealth.online/portugal/pt/services/saude-do-homem","existing","saúde do homem online | consulta saúde do homem","exame prostata | exame de próstata | testosterona homem | prostata homem | próstata homem | viagra faz mal a saúde do homem | mulher tem testosterona | niveis de testosterona no homem | nível de testosterona no homem | saúde homem","10","0","0","3150","0","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"second-opinion","https://www.myglobalhealth.online/portugal/pt/services/segunda-opiniao-medica","existing","segunda opinião médica | segunda opinião médica online","segunda opinião médica lei","3","0","0","20","0","Optimize/consolidate the existing URL; no new URL approved.","yes",""
"health-tools","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","existing","calculadora tensão arterial | tabela tensão arterial","tabela de medição de tensão arterial | tabela registo tensão arterial | pressao arterial tabela | tabela da pressão arterial | pressão arterial baixa tabela | pressão arterial tabela | pressão arterial tabela idade portugal | registo tensão arterial | tabela de pressão arterial | tabela de tensão arterial","16","3","0","520","54","Optimize/consolidate the existing URL; no new URL approved.","yes","No location variants."
