"priority","market","action","source","destination","anchor","placement"
"P0","Czechia","repair","https://www.myglobalhealth.online/czechia/cs/blog/diabetes-ticha-nemoc","https://www.myglobalhealth.online/czechia/cs/services/chronicka-onemocneni","Konzultace chronického onemocnění","Replace the broken legacy diabetes-consultation CTA in the follow-up section. Describe general chronic-disease review, not a diabetologist appointment."
"P0","Brazil","repair","https://www.myglobalhealth.online/brazil/pt/blog/diabetes-doenca-silenciosa","https://www.myglobalhealth.online/brazil/pt/services/doencas-cronicas-online","Acompanhamento de doenças crônicas","Replace the broken /br/clinica-geral body CTA; a separate bottom CTA already reaches this correct service."
"P0","Portugal","repair","https://www.myglobalhealth.online/portugal/pt/health/hipertensao","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","Consulta de Cardiologia","Use the canonical URL for the existing cardiology link; remove the separate 404 hypertension-consultation offer unless an equivalent staffed service is confirmed."
"P0","Portugal","repair","https://www.myglobalhealth.online/portugal/pt/health/hipertensao","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","Consulta de Medicina Geral e Familiar","Replace the existing family-and-general-medicine redirect URL with its observed final canonical destination."
"P1","Spain","retarget","https://www.myglobalhealth.online/spain/es/blog/baja-laboral-por-ansiedad-como-funciona","https://www.myglobalhealth.online/spain/es/services/salud-mental-online","Consulta de salud mental","Retarget only the existing mental-health-labelled CTA, currently pointing to justificante-medico-online. Keep document links accurate and preserve the public/mutua sick-leave explanation. Confirm appointment supply and applicable Spain review holds before publication."
"P1","Romania","add","https://www.myglobalhealth.online/romania/ro","https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator","Calculator de calorii","Add one useful-tools resource link near weight-management information; retain the existing service CTA."
"P1","Spain","add","https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart","https://www.myglobalhealth.online/spain/es/blog/tension-arterial-normal-tabla-edad-sexo","Qué significan los valores de tensión arterial","Add beneath the explanation of results. The article already links back to the tool."
"P1","Spain","add","https://www.myglobalhealth.online/spain/es/blog/como-bajar-la-tension-que-funciona-segun-la-evidencia","https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart","Consultar la tabla de tensión arterial","Add in the measurement/interpretation section; keep emergency instructions prominent."
"P1","Portugal","add","https://www.myglobalhealth.online/portugal/pt/health/hipertensao","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","Tabela de tensão arterial","Add beside the paragraph about understanding readings. Repair the broken service link on this page first."
"P2","Portugal","add","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","https://www.myglobalhealth.online/portugal/pt/health/hipertensao","Acompanhamento da hipertensão","Add a reading-resource link alongside the existing care choices after repairing the guide's dead service link."
"P2","Brazil","add","https://www.myglobalhealth.online/brazil/pt","https://www.myglobalhealth.online/brazil/pt/tools/calorie-calculator","Calculadora de calorias","Add a useful-tools resource beside weight-management information. Keep the care link; do not market calculations as personalised medical advice."
"P2","Czechia","add","https://www.myglobalhealth.online/czechia/cs","https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart","Tabulka krevního tlaku","Add a useful-tools resource beside chronic-care information, without another sitewide footer list."
"P2","Ireland","reposition","https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim","https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing","Illness Benefit payment rates and timing","This link already exists in related articles. Place one descriptive link where the claim guide discusses payments; do not describe this as a missing link or add repeated CTAs."
