"url","locale","disposition","reason","proposed_title"
"https://www.myglobalhealth.online/brazil/en","en","verify further","Registados and specialist claim require exact homepage source revision","Online Doctor Brazil | Registered GPs & Specialists"
"https://www.myglobalhealth.online/brazil/en/blog/diabetes-the-silent-disease","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Diabetes in Brazil: Causes, Symptoms & Treatments 2026"
"https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Attendance Certificate and Absences: What the Law Says"
"https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Laboratory test requests in Brazil: how they work"
"https://www.myglobalhealth.online/brazil/en/blog/medical-review-policy","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Medical Review Policy — Global Health Brazil"
"https://www.myglobalhealth.online/brazil/en/blog/online-medical-certificate-brazil","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Online medical certificate in Brazil: is it valid?"
"https://www.myglobalhealth.online/brazil/en/doctors/dr-renato-sarmento","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Dr. Renato Sarmento — Family and Community Medicine"
"https://www.myglobalhealth.online/brazil/en/dr-renato","en","verify further","Dedicated clinician landing page requires separate storage ownership and content review","Online consultation with a family doctor"
"https://www.myglobalhealth.online/brazil/en/faq","en","verify further","Existing authored FAQ integration; document signing/Atesta operational fact unresolved","Frequently asked questions — Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Legal information. · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal/complaints-procedure","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Complaints Procedure · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal/cookie-policy","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Cookie Policy · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal/medical-disclaimer","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Aviso Médico · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal/privacy-policy","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Privacy Policy · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal/refund-policy","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Refund Policy · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/legal/terms-of-service","en","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Terms and Conditions · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/pricing","en","verify further","Plan offer and individual consultation pricing must be reconciled with business scope","Choose your monthly plan · Brazil · Global Health"
"https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Medical certificate assessment | Global Health Brazil"
"https://www.myglobalhealth.online/brazil/en/services/consulta-clinica-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Medical Consultation Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/consulta-pele-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Skin Consultation Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/controle-peso-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Weight Management Brazil | Medical Evaluation"
"https://www.myglobalhealth.online/brazil/en/services/doencas-cronicas-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Chronic Diseases Online Brazil | Medical Follow-up"
"https://www.myglobalhealth.online/brazil/en/services/musculoesqueletico-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Muscle and Joint Pain Online Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/parar-de-fumar-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Quit Smoking Online Brazil | Medical Support"
"https://www.myglobalhealth.online/brazil/en/services/pediatria-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Child health: family doctor online | Brazil"
"https://www.myglobalhealth.online/brazil/en/services/queda-cabelo-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Hair Loss Online Brazil | Medical Evaluation"
"https://www.myglobalhealth.online/brazil/en/services/renovacao-receita-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Prescription Renewal Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/saude-da-mulher-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Women's Health Online Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/saude-do-homem-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Men's Health Online Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/saude-idoso-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Senior Health Online Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/saude-mental-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Mental Health Brazil | Anxiety and Depression | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/saude-sexual-ist-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Sexual Health and STIs Online Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/saude-viagem-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Travel Health Brazil | Medical Consultation Before Traveling"
"https://www.myglobalhealth.online/brazil/en/services/segunda-opiniao-medica","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Medical Second Opinion Brazil | General Practitioner"
"https://www.myglobalhealth.online/brazil/en/services/solicitacao-exames-online","en","change","Remove unsupported availability/document promises; exact packet requires clinical review","Online Test Request Brazil"
"https://www.myglobalhealth.online/brazil/es","es","verify further","Registados and specialist claim require exact homepage source revision","Médico Online Brasil | Médicos y Especialistas Colegiados"
"https://www.myglobalhealth.online/brazil/es/blog/certificado-medico-online-brasil","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Certificado médico online en Brasil: ¿es válido?"
"https://www.myglobalhealth.online/brazil/es/blog/diabetes-la-enfermedad-silenciosa-3","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Diabetes en Brasil: Causas, Síntomas y Tratamientos"
"https://www.myglobalhealth.online/brazil/es/blog/el-certificado-de-asistencia-justifica-la-falta-la-diferencia-con-el-certificado","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","¿El certificado de asistencia justifica la falta? La ley"
"https://www.myglobalhealth.online/brazil/es/blog/medical-review-policy","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Política de Revisión Médica — Global Health Brasil"
"https://www.myglobalhealth.online/brazil/es/blog/solicitud-analisis-laboratorio-brasil","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Solicitud de análisis en Brasil: cómo funciona"
"https://www.myglobalhealth.online/brazil/es/doctors/dr-renato-sarmento","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Dr. Renato Sarmento — Medicina de Familia y Comunidad"
"https://www.myglobalhealth.online/brazil/es/dr-renato","es","verify further","Dedicated clinician landing page requires separate storage ownership and content review","Consulta en línea con un médico de familia"
"https://www.myglobalhealth.online/brazil/es/faq","es","verify further","Existing authored FAQ integration; document signing/Atesta operational fact unresolved","Preguntas frecuentes — Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Información legal. · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal/complaints-procedure","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Procedimiento de Reclamaciones · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal/cookie-policy","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Cookie Policy · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal/medical-disclaimer","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Aviso Médico · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal/privacy-policy","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Política de Privacidad · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal/refund-policy","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Política de Reembolso · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/legal/terms-of-service","es","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Términos y Condiciones · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/pricing","es","verify further","Plan offer and individual consultation pricing must be reconciled with business scope","Elija su plan mensual · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Valoración para certificado médico | Global Health Brasil"
"https://www.myglobalhealth.online/brazil/es/services/consulta-clinica-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Consulta Médica Online Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/consulta-pele-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Consulta de Piel Online Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/controle-peso-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Control de Peso Online Brasil | Evaluación Médica"
"https://www.myglobalhealth.online/brazil/es/services/doencas-cronicas-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Enfermedades Crónicas Online Brasil | Seguimiento Médico"
"https://www.myglobalhealth.online/brazil/es/services/musculoesqueletico-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Dolor Muscular y Articular Online Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/parar-de-fumar-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Dejar de Fumar Online Brasil | Apoyo Médico"
"https://www.myglobalhealth.online/brazil/es/services/pediatria-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud infantil: médico de familia online | Brasil"
"https://www.myglobalhealth.online/brazil/es/services/queda-cabelo-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Caída de Cabello Online Brasil | Evaluación Médica"
"https://www.myglobalhealth.online/brazil/es/services/renovacao-receita-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Renovación de Receta en Línea Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/saude-da-mulher-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud de la Mujer Online Brasil | Clínico General"
"https://www.myglobalhealth.online/brazil/es/services/saude-do-homem-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud del Hombre en Línea Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/saude-idoso-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud del Adulto Mayor Online Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/saude-mental-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud Mental Online Brasil | Ansiedad y Depresión | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/saude-sexual-ist-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud Sexual e ITS Online Brasil | Médico General"
"https://www.myglobalhealth.online/brazil/es/services/saude-viagem-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Salud de Viaje Online Brasil | Consulta Médica Antes de Viajar"
"https://www.myglobalhealth.online/brazil/es/services/segunda-opiniao-medica","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Segunda Opinión Médica Online Brasil | Clínico General"
"https://www.myglobalhealth.online/brazil/es/services/solicitacao-exames-online","es","change","Remove unsupported availability/document promises; exact packet requires clinical review","Solicitud de Exámenes Online Brasil | Pedido de Exámenes"
"https://www.myglobalhealth.online/brazil/pt","pt","verify further","Registados and specialist claim require exact homepage source revision","Médico Online Brasil | Clínicos e Especialistas Registados"
"https://www.myglobalhealth.online/brazil/pt/blog/atestado-de-comparecimento-abona-falta-diferenca-atestado-medico","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Atestado de comparecimento abona falta? O que diz a CLT"
"https://www.myglobalhealth.online/brazil/pt/blog/atestado-medico-online-validade","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Atestado médico online: validade e o que deve conter"
"https://www.myglobalhealth.online/brazil/pt/blog/diabetes-doenca-silenciosa","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Diabetes no Brasil: Causas, Sintomas e Tratamentos 2026"
"https://www.myglobalhealth.online/brazil/pt/blog/medical-review-policy","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Política de Revisão Médica — Global Health Brasil"
"https://www.myglobalhealth.online/brazil/pt/blog/solicitacao-de-exames-laboratoriais-online","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Solicitação de exames laboratoriais: como funciona"
"https://www.myglobalhealth.online/brazil/pt/doctors/dr-renato-sarmento","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Dr. Renato Sarmento — Médico de Família | CRM-SP 170.837"
"https://www.myglobalhealth.online/brazil/pt/dr-renato","pt","verify further","Dedicated clinician landing page requires separate storage ownership and content review","Consulta online com médico de família · Global Health Brasil"
"https://www.myglobalhealth.online/brazil/pt/faq","pt","verify further","Existing authored FAQ integration; document signing/Atesta operational fact unresolved","Perguntas frequentes — Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Informação legal. · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal/complaints-procedure","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Procedimento de Reclamações · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal/cookie-policy","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Cookie Policy · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal/medical-disclaimer","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Aviso Médico · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal/privacy-policy","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Política de Privacidade · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal/refund-policy","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Política de Reembolso · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/legal/terms-of-service","pt","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","Termos e Condições · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/pricing","pt","verify further","Plan offer and individual consultation pricing must be reconciled with business scope","Escolha o seu plano mensal · Brasil · Global Health"
"https://www.myglobalhealth.online/brazil/pt/services/atestado-medico-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Atestado médico: avaliação online | Global Health Brasil"
"https://www.myglobalhealth.online/brazil/pt/services/consulta-clinica-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Consulta Médica Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/consulta-pele-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Consulta de Pele Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/controle-peso-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Controle de Peso Online Brasil | Avaliação Médica"
"https://www.myglobalhealth.online/brazil/pt/services/doencas-cronicas-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Doenças Crônicas Online Brasil | Acompanhamento Médico"
"https://www.myglobalhealth.online/brazil/pt/services/musculoesqueletico-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Dor Muscular e Articular Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/parar-de-fumar-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Parar de Fumar Online Brasil | Apoio Médico"
"https://www.myglobalhealth.online/brazil/pt/services/pediatria-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde da criança: médico de família online | Brasil"
"https://www.myglobalhealth.online/brazil/pt/services/queda-cabelo-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Queda de Cabelo Online Brasil | Avaliação Médica"
"https://www.myglobalhealth.online/brazil/pt/services/renovacao-receita-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Renovação de Receita Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/saude-da-mulher-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde da Mulher Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/saude-do-homem-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde do Homem Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/saude-idoso-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde do Idoso Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/saude-mental-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde Mental Online Brasil | Ansiedade e Depressão | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/saude-sexual-ist-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde Sexual e IST Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/saude-viagem-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Saúde de Viagem Online Brasil | Consulta Médica Antes de Viajar"
"https://www.myglobalhealth.online/brazil/pt/services/segunda-opiniao-medica","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Segunda Opinião Médica Online Brasil | Clínico Geral"
"https://www.myglobalhealth.online/brazil/pt/services/solicitacao-exames-online","pt","change","Remove unsupported availability/document promises; exact packet requires clinical review","Solicitação de Exames Online Brasil | Pedido de Exames"
