"prospect_url","domain","source","domain_rank","spam_score","priority","reason","contact_path","outreach_status"
"https://start-up.ro/pandemia-a-adus-cresteri-de-10-ori-pentru-platformele-de-telemedicina/","start-up.ro","OpenSEO competitor backlinks: medic.chat","75","0","review individually","Romanian telemedicine coverage; pitch verified service/language facts","not established; inspect editorial/contact page before outreach","not contacted"
"https://www.doctorulzilei.ro/melanomul-alunita-care-poate-duce-la-cancer-ce-este-regula-abcde/","www.doctorulzilei.ro","OpenSEO competitor backlinks: medic.chat","73","0","review individually","Health publisher; only a clinician-reviewed educational contribution","not established; inspect editorial/contact page before outreach","not contacted"
"https://www.cbinsights.com/company/medic-chat","www.cbinsights.com","OpenSEO competitor backlinks: medic.chat","64","0","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://kingranks.com/making-your-network-marketing-work-like-clockwork/","kingranks.com","OpenSEO competitor backlinks: medic.chat","62","40","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://prospeo.io/t/milligram-customers","prospeo.io","OpenSEO competitor backlinks: medic.chat","46","0","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://drnassar.ro/metode-eficiente-pentru-reducerea-durerii-dentare/","drnassar.ro","OpenSEO competitor backlinks: medic.chat","39","0","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://daisye.pages.dev/08/qcZTSYLAmQ","daisye.pages.dev","OpenSEO competitor backlinks: medic.chat","26","25","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://global-ranks.pages.dev/44/qcZTSYLAmQ","global-ranks.pages.dev","OpenSEO competitor backlinks: medic.chat","25","35","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://oppalerts.com/AI-Search-Visibility/cosmetic-surgery-clinics/postpartum-refresh-mom/top-backlink-sources/","oppalerts.com","OpenSEO competitor backlinks: medic.chat","21","0","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://global-website.pages.dev/11/xfVGrmGzrb","global-website.pages.dev","OpenSEO competitor backlinks: medic.chat","21","35","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://clinicamed.ro/ultrasonografie--ecografie-.php","clinicamed.ro","OpenSEO competitor backlinks: medic.chat","19","0","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://global-websites.pages.dev/44/qcZTSYLAmQ","global-websites.pages.dev","OpenSEO competitor backlinks: medic.chat","14","35","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://www.hellotender.eu/ro/companie/medic-chat-bucharest","www.hellotender.eu","OpenSEO competitor backlinks: medic.chat","8","5","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://buyseolinks.site/most-visited-site-265/","buyseolinks.site","OpenSEO competitor backlinks: medic.chat","4","35","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
"https://www.acquire.co.in/domains/174766/3fa6120bec13df5e3da7d3cfde45261b/","www.acquire.co.in","OpenSEO competitor backlinks: medic.chat","0","20","exclude/deprioritize","No verified relevant editorial placement opportunity","not established; inspect editorial/contact page before outreach","not contacted"
