proposal_id,url_id,url,target_country,language,field,current_value,proposed_value,rationale,clinical_gate,native_review_needed,source_field,status
CP-0001,U000302,https://www.myglobalhealth.online/brazil/en,Brazil,en,body_section,"Choose a service, select an open time, and speak with licensed clinicians registered with national medical councils across Europe.","Choose a service, pick an open time, and speak with a doctor registered with the Conselho Regional de Medicina (CRM) in your state, under the Conselho Federal de Medicina.","Hero on a Brazil URL tells the visitor the doctors are registered in Europe. The same page FAQ and /brazil/pt already name the CRM/CFM. 544 impressions W1, 0 clicks.",no,no,"CMS page-content record HOME/br/en, heroSubtitle",proposed
CP-0002,U000302,https://www.myglobalhealth.online/brazil/en,Brazil,en,faq,"Consultations are available in multiple languages, subject to clinician availability. You can select a doctor by language when booking.","Consultations for patients in Brazil are held in Portuguese and in English. Each doctor profile lists the languages that doctor consults in, and you can filter the booking calendar by language before you reserve a time.","The vaguest languages answer in the estate. /brazil/en/contact already states Portuguese/English, so the specific answer is already true and verifiable.",no,no,"CMS page-content record HOME/br/en, faq[] ""Which languages are available?""",proposed
CP-0003,U000318,https://www.myglobalhealth.online/brazil/en/doctors,Brazil,en,body_section,"Reviewed on Doctify45,332+ consultations","(remove both counters until the owner supplies a source, or replace with a figure the page can cite, e.g. ""Doctify-reviewed clinicians"" only if the Doctify profile is linked)","Two unsourced trust claims sit beside ""1 licensed clinician available""; a 45,332 consultation count on a one-doctor market page is the kind of claim an E-E-A-T reviewer will discount.",no,no,frontend/lib/content/country-doctors-copy.ts trust ribbon (Brazil doctors index),proposed
CP-0004,U000481,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart,Brazil,pt,title,Pressão Arterial Normal Brasil | Tabela de Valores,Tabela de Pressão Arterial: onde se encaixa a sua medida,"Queries are ""tabela de pressao arterial"" / ""tabela pressao arterial por idade"" at p8-15 with 0 clicks from 94 impressions. The current title leads with an abstract label; the proposed one promises the comparison the searcher is making.",no,no,frontend/locales/pt/tools.json blood-pressure-chart.seoTitle (+ market override in lib/tools/market-copy.ts),proposed
CP-0005,U000973,https://www.myglobalhealth.online/czechia/en/doctors/dr-ahmed-maklad,Czechia,en,title,Dr. Ahmed Maklad | Online Doctor Ireland — Global Health · Czechia,MUDr. Ahmed Maklad | Online Doctor in Czechia · Global Health,"A Czechia URL whose title, meta and body all say Ireland. Market mismatch is the strongest signal of a stale record on this page.",no,no,"CMS doctor record dr-ahmed-maklad (cz-en), seoTitle",proposed
CP-0006,U000973,https://www.myglobalhealth.online/czechia/en/doctors/dr-ahmed-maklad,Czechia,en,meta_description,Masaryk University graduate and surgical resident with GP experience across Europe and Egypt. Consultations in English and Arabic. Same-day appointments available. telemedicine. Serving patients across Ireland through Global Health.,"MUDr. Ahmed Maklad, General Medicine graduate of Masaryk University in Brno, registered in Czechia. Consultations in English, Arabic and Czech by secure video. Check available times before you book.","Current meta names the wrong market, contains a stray fragment (""Same-day appointments available. telemedicine."") and calls Masaryk ""one of Europe's most internationally recognised medical schools"" in the body - an unverifiable ranking claim. Proposed keeps only checkable facts.",no,no,"CMS doctor record dr-ahmed-maklad (cz-en), seoDescription + bio",proposed
CP-0007,HOME-CZ,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,body_section,Registrováno v Czechia,Registrováno v Česku,"The English country slug renders inside Czech trust copy on the best-converting market home in the set (124 impressions / 8 clicks). Same defect in de (""Zugelassen in Czechia"") and on Romania/Spain.",no,yes,"frontend/app/[country]/[lang]/page.tsx trust ribbon - country label must use the localised country name, not the route slug",proposed
CP-0008,U000876,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Czechia,cs,meta_description,"Zkontrolujte orientační kategorii krevního tlaku, správný postup měření a situace, kdy je vhodná konzultace nebo akutní pomoc.","Zadejte horní a dolní hodnotu a hned uvidíte, do které kategorie podle ESC/ESH patří - a které hodnoty potřebují péči ještě dnes.","Strongest tool position in the estate (avg 4, 540 top-15 impressions) but only 3.7% CTR. The current meta describes the page; the proposed one describes what the reader does and gets, and names the source guideline.",no,yes,frontend/locales/cs/tools.json blood-pressure-chart.seoDescription,proposed
CP-0009,HOME-IE,https://www.myglobalhealth.online/ireland/en,Ireland,en,body_section,13Consultation languages,13 Languages our Ireland doctors speak,"The tile count comes from getGpLanguages(code,""marketing"") - languages the Ireland GP pool speaks - but the label reads as a site-wide promise and contradicts the FAQ answer directly below it. Relabelling keeps the count true and removes the contradiction.",no,no,"frontend/locales/en/home.json:73 trust.languagesSpoken (label only; count stays from getGpLanguages, frontend/app/[country]/[lang]/page.tsx:437)",proposed
CP-0010,HOME-IE,https://www.myglobalhealth.online/ireland/en,Ireland,en,faq,"Consultations at Global Health are available in six languages, English, Portuguese, Spanish, Czech, Romanian, and German, so you can speak with a doctor in the language you are most comfortable with, subject to clinician availability at the time you book.","Global Health is available in six site languages - English, Portuguese, Spanish, Czech, Romanian and German - and the doctors seeing patients in Ireland consult in a wider set between them. Each doctor profile lists the languages that doctor consults in, and you can filter the booking calendar by language, so you can check availability before you reserve a time.","Two true statements about different things (""six site languages"" vs ""13 languages the Ireland GPs speak"") currently read as a contradiction on the same screen. The proposed answer separates the two scopes and keeps both counts accurate; no number is invented.",no,no,"CMS page-content record HOME/ie/en, faq[] ""Which languages are available?""",proposed
CP-0011,U001951,https://www.myglobalhealth.online/ireland/en/doctors/dr-raafat-ibrahim,Ireland,en,body_section,"Dr Raafat Ibrahim is a Consultant Paediatrician with over 30 years of clinical experience across Ireland, the UK and the Middle East, one of the most experienced paediatric clinicians available through online consultation anywhere in the world.","Dr Raafat Ibrahim is a Consultant Paediatrician with over 30 years of clinical experience across Ireland, the UK and the Middle East.","The trailing clause is an unverifiable claim of superiority on a named clinician profile - the kind of comparative advertising medical regulators treat as misleading. Everything that persuades (30 years, FRCPCH, MRCP(UK), the two diplomas, IMC registration) survives the cut.",yes,no,"CMS doctor record dr-raafat-ibrahim (ie-en), bio",proposed
CP-0012,U002043,https://www.myglobalhealth.online/ireland/en/tools/calorie-calculator,Ireland,en,title,Calorie Calculator Ireland | Daily Calorie Needs,"Calorie Calculator: maintain, lose or gain - all three targets",319 of 340 impressions sit at positions 9-11 and the page earned one click. The title duplicates the H1 and leads with the country token; the proposed title promises the thing the page uniquely shows in one screen.,no,no,frontend/locales/en/tools.json calorie-calculator.seoTitle,proposed
CP-0013,U002930,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,meta_description,"Hable con un médico colegiado en la Ordem dos Médicos hoy, por videollamada segura. Consultas disponibles el mismo día para síntomas agudos y cuestiones clínicas. Reserve ya. También aceptamos Medicare para este servicio.","Hable hoy con un médico colegiado en la Ordem dos Médicos, por videollamada segura. Citas el mismo día para síntomas agudos y dudas clínicas, desde cualquier punto de Portugal.","233 impressions and 0 clicks, with ""cita medico"" at position 6. The Medicare sentence takes the last third of the snippet and, to a Spanish-language reader, reads as the US programme rather than the Portuguese health card. Move the payment fact into the body where it can be named unambiguously.",no,yes,"CMS service record consulta-medica (pt-es), seoDescription",proposed
CP-0014,U002832,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia,Portugal,en,body_section,Our cardiologists are registered with the Cardiology College of the Portuguese Medical Association — the highest level of specialist cardiovascular qualification in Portugal,"Our cardiologists are registered with the Ordem dos Médicos and its Colégio de Cardiologia, the specialist college for cardiology in Portugal","Naming the college is a verifiable credential; ranking it as ""the highest level"" is an unsourced superiority claim on a page selling a EUR-priced specialist consultation. 136 impressions at p28-32.",yes,no,"CMS service record consulta-cardiologia (pt-en), body/intro",proposed
CP-0015,U002711,https://www.myglobalhealth.online/portugal/de/doctors/dr-ruben-pereira,Portugal,de,meta_description,"Konsultieren Sie Dr. Rúben Pereira, Spezialist für Psychiatrie und Sportmedizin, mit fundierter wissenschaftlicher Ausbildung. Online-Sprechstunde bei Global Health","Dr. Rúben Pereira, Arzt in der Facharztweiterbildung Psychiatrie an der Unidade Local de Saúde, bietet allgemeinmedizinische Online-Sprechstunden bei Global Health an. Konsultation auf Portugiesisch und Englisch.",The meta calls him a specialist while the body of the same page says he is an Assistenzarzt in psychiatry specialist training and the title says Allgemeinmedizin - three different credential claims on one page. The proposed text matches the body.,yes,yes,"CMS doctor record dr-ruben-pereira (pt-de), seoDescription",proposed
CP-0016,U003052,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart,Portugal,pt,title,Tabela de Tensão Arterial: Valores | Portugal,Tabela de Tensão Arterial: compare a sua leitura (valores ESC/ESH),"The top queries are ""tabela de registo tensao arterial"" (p8) and ""tabela registo tensao arterial"" (p2) - people looking for a sheet to record readings in. 167 of 201 impressions are top-15 with 2 clicks. The title should say plainly what this chart does; if a printable record sheet is added, say so - do not imply one that does not exist.",no,yes,frontend/locales/pt/tools.json blood-pressure-chart.seoTitle,proposed
CP-0017,HOME-RO,https://www.myglobalhealth.online/romania/ro,Romania,ro,body_section,"Alegeți un serviciu, selectați un interval orar și discutați cu medici autorizați înregistrați la colegiile medicale naționale din toată Europa.","Alegeți un serviciu, selectați un interval orar și discutați cu medici înregistrați la Colegiul Medicilor din România.","The Romanian home still carries the generic pan-market hero line instead of naming the Romanian regulator, which the page FAQ already does. 196 impressions, 0 clicks.",no,yes,"CMS page-content record HOME/ro/ro, heroSubtitle",proposed
CP-0018,U003803,https://www.myglobalhealth.online/romania/en,Romania,en,body_section,"Choose a service, select an open time, and speak with licensed clinicians registered with national medical councils across Europe.","Choose a service, pick an open time, and speak with a doctor registered with the Colegiul Medicilor din România.","Same generic hero on the English Romania home, which carries 349 impressions at p10-17 for booking-intent queries. Naming the regulator is the single clearest trust signal a first-time visitor can check.",no,no,"CMS page-content record HOME/ro/en, heroSubtitle",proposed
