"url","locale","page_type","discovery","status","disposition","reason","keyword_evidence","current_clicks","current_impressions","existing_title","proposed_title","existing_description","proposed_description","existing_h1","proposed_h1","native_faqs","embedded_faq_sections","schema_faqs","source_fingerprint","review_status","implementation_status","canonical","robots"
"https://www.myglobalhealth.online/brazil/en","en","home","sitemap","200","verify further","Registados and specialist claim require exact homepage source revision","medical appointment (12 impressions) | doctor global (8 impressions) | most popular health websites brazil (7 impressions)","3","967","Online Doctor Brazil | Registered GPs & Specialists","Online Doctor Brazil | Registered GPs & Specialists","See a registered doctor online today — GP consultations, medical certificates, specialist referrals. Same-day video appointments in Brazil.","See a registered doctor online today — GP consultations, medical certificates, specialist referrals. Same-day video appointments in Brazil.","Online medical care in Brazil","Online medical care in Brazil","6","not separately parsed","5","fe06bc47251bf85d1bbbe6a3403aa0670c9095a2dc602e50e46806be204d18bd","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en","index, follow"
"https://www.myglobalhealth.online/brazil/en/about","en","about","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","help global brazil (5 impressions) | help global brazil atestado (2 impressions) | clinic global health (1 impressions)","0","45","About Global Health Brazil | Online Doctors · Global Health","About Global Health Brazil | Online Doctors · Global Health","Global Health Brazil: online video consultations with doctors registered with Conselho Federal de Medicina, in Portuguese / English. What we offer and who we are.","Global Health Brazil: online video consultations with doctors registered with Conselho Federal de Medicina, in Portuguese / English. What we offer and who we are.","About Global Health Brazil","About Global Health Brazil","4","not separately parsed","4","bb0255ac1e9c7e787bc68413e5ef3f5fe9a12a7acb516f271a6bab864de0aa44","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/about","index, follow"
"https://www.myglobalhealth.online/brazil/en/blog","en","blog","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","medical appointment (2 impressions)","0","12","Health Guides from Registered Doctors in Brazil","Health Guides from Registered Doctors in Brazil","Evidence-based health guides for Brazil, written and reviewed by our medical team. No ads, no fluff.","Evidence-based health guides for Brazil, written and reviewed by our medical team. No ads, no fluff.","Health Guides from Registered Doctors.","Health Guides from Registered Doctors.","0","not separately parsed","0","e2716c86c64869986732df7215b1fcdecbf20f5476ca409cd586e61d186b0ee4","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/blog","index, follow"
"https://www.myglobalhealth.online/brazil/en/blog/diabetes-the-silent-disease","en","article","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","diabetes in brazil (1 impressions)","0","32","Diabetes in Brazil: Causes, Symptoms & Treatments 2026","Diabetes in Brazil: Causes, Symptoms & Treatments 2026","Complete guide to diabetes in Brazil: causes, symptoms, GLP-1 and SGLT2 treatments, and essential care tips. Written by a specialist physician.","Complete guide to diabetes in Brazil: causes, symptoms, GLP-1 and SGLT2 treatments, and essential care tips. Written by a specialist physician.","Diabetes: The Silent Disease","Diabetes: The Silent Disease","7","not separately parsed","7","5be50ae8aef978cd4efa508ef91052c490e5e5d10b38bed1c9c9f55c4a79aa16","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/blog/diabetes-the-silent-disease","index, follow"
"https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c","en","article","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","attendance medical certificate (2 impressions) | sim (2 impressions) | absence certificate (1 impressions)","2","753","Attendance Certificate and Absences: What the Law Says","Attendance Certificate and Absences: What the Law Says","The difference between an attendance certificate and a medical certificate, when the CLT guarantees an absence, what the certificate must include, and what a doctor can state.","The difference between an attendance certificate and a medical certificate, when the CLT guarantees an absence, what the certificate must include, and what a doctor can state.","Does an Attendance Certificate Excuse an Absence? The Difference from a Medical Certificate and What the CLT Guarantees","Does an Attendance Certificate Excuse an Absence? The Difference from a Medical Certificate and What the CLT Guarantees","4","not separately parsed","4","445b7f0e6b1f3b86dde2c325f3ccce241944ca7c448898b9b4a52ad04703e693","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c","index, follow"
"https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil","en","article","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","da hapvida (1 impressions) | hemato (1 impressions) | request a test (1 impressions)","1","120","Laboratory test requests in Brazil: how they work","Laboratory test requests in Brazil: how they work","Requesting laboratory tests in Brazil: what the medical request must contain, how a digitally signed PDF works and when tests are done without a request.","Requesting laboratory tests in Brazil: what the medical request must contain, how a digitally signed PDF works and when tests are done without a request.","Requesting laboratory tests in Brazil: how the medical request works","Requesting laboratory tests in Brazil: how the medical request works","6","not separately parsed","6","a4a1ed462a451c673e35b589b34e9e9f690647a63a4e8ec5144eb8583879014c","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil","index, follow"
"https://www.myglobalhealth.online/brazil/en/blog/medical-review-policy","en","article","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","4","Medical Review Policy — Global Health Brazil","Medical Review Policy — Global Health Brazil","How Global Health writes, reviews and updates the health articles published for Brazil: who writes them, which registered physician signs them off, and the editorial standards we hold ourselves to.","How Global Health writes, reviews and updates the health articles published for Brazil: who writes them, which registered physician signs them off, and the editorial standards we hold ourselves to.","How we write and review medical content","How we write and review medical content","0","not separately parsed","0","b47429eb5cdfdb039cb272cb01177f5eadb954aff9e526ad2ebdac6c2c2ed0e2","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/blog/medical-review-policy","index, follow"
"https://www.myglobalhealth.online/brazil/en/blog/online-medical-certificate-brazil","en","article","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","posso pedir atestado (1 impressions)","0","15","Online medical certificate in Brazil: is it valid?","Online medical certificate in Brazil: is it valid?","Online medical certificate in Brazil: when it counts at work, what it must contain, how employers check the digital signature and when it does not apply.","Online medical certificate in Brazil: when it counts at work, what it must contain, how employers check the digital signature and when it does not apply.","Online medical certificate in Brazil: when it counts and what it must contain","Online medical certificate in Brazil: when it counts and what it must contain","6","not separately parsed","6","46dba0ead6ab832f292ad1c86f6607c2084ad609261e61733dde552e56af15b5","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/blog/online-medical-certificate-brazil","index, follow"
"https://www.myglobalhealth.online/brazil/en/book","en","book","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","","0","3","Book your consultation — Brazil · Global Health","Book your consultation — Brazil · Global Health","Brazil medical clinic. Choose a service, clinician, time, and patient details.","Brazil medical clinic. Choose a service, clinician, time, and patient details.","","","0","not separately parsed","0","f48f0df36d1c3b0db9f82765f096efcdd43b1875e4afd836d5a28e1cfbe958f2","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/book","index, follow"
"https://www.myglobalhealth.online/brazil/en/careers","en","careers","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","medical line (1 impressions)","2","19","Careers at Global Health Brazil","Careers at Global Health Brazil","Join Global Health in Brazil. We work with registered doctors, clinical support and technology teams across Europe and Brazil. See how to apply.","Join Global Health in Brazil. We work with registered doctors, clinical support and technology teams across Europe and Brazil. See how to apply.","Careers at Global Health","Careers at Global Health","0","not separately parsed","0","cfe47f6737fbdfae7a257240c348bfd52861bfffd627f64ae1f662904e059f46","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/careers","index, follow"
