issue_id,template_fix_id,category,target_country,language,url_or_template,finding,evidence_date,evidence_type,priority,impact_1_5,confidence_0_1,effort_1_5,coupling_ids_closed,proposed_fix,approval_needed,acceptance_test,rollback,follow_up_measurement_window
CPL-001,TF-01,Country coupling,All,All,/{country}/{lang} (home) - all six markets,"The country home page's hero and SEO copy comes from a code module (frontend/lib/content/country-home-copy.ts) whose lookup keys mix upper- and lower-case country codes, and whose CMS-vs-code precedence is decided by two inline literals (preferIrelandExtras = code === ""ie""; preferSeoExtras adds code === ""br""). The EXTRAS map is case-normalised so its Ireland entries work; the BUNDLE map is NOT, so six blocks of reviewed Ireland copy (team H2 'Named doctors.', 'No anonymous rotas.', stats-band labels, how-it-works bodies, final CTA) render nothing on production today.",2026-09-15,code + production,P1,4,0.95,3,CC-3279|CC-3284|CC-3288|CC-3299|CC-3562|CC-3563|CC-3583,"One per-country home-copy record (PageContent HOME rows, or lib/content/countries/<code>.json behind one loader) plus a Country.homeCopySource field ('cms_first'|'code_first') replacing both inline literals. Lowercase the lookup key at construction and type it, so a mis-cased key is a compile error rather than silent nothing.",owner,curl /ireland/en and assert the page contains 'Named doctors.' and 'No anonymous rotas.'; curl each of the six market homes and assert H1 and <title> are unchanged from the 2026-09-15 baseline recorded in country_coupling.csv; grep the repo for 'preferIrelandExtras' and expect zero hits.,Revert the loader commit; EXTRAS/BUNDLE literals are untouched by the fix so the previous render returns immediately.,"14 days - GSC impressions/CTR for the six market home URLs, plus a Search Console query check on 'online doctor ireland'."
CPL-002,TF-02,Country coupling,All,All,"/{country}/{lang}, /services/{slug}, /doctors/{slug} - all markets except br","The localized country name (common.countryNames[code], present for all six codes in every locale bundle) is used only when code === ""br"". Every other market prints the English DB seed name inside localized copy: /czechia/cs/doctors/dr-ahmed-maklad serves '<title>MUDr. Ahmed Maklad | Prakticky lekar online v Cesku - Czechia</title>' and /czechia/cs/services/obnoveni-lecby contains 'Czechia' twice in otherwise-Czech copy. In doctor-profile-page.tsx the correct generic expression already sits five lines below the Brazil-gated one.",2026-09-15,code + production,P1,4,0.95,1,CC-3297|CC-3306|CC-3322|CC-3329|CC-3405|CC-3637,"Delete the `code === ""br"" ?` ternary at all four sites and always use `common.countryNames?.[code] ?? config.name`. Pass `country={code}` unconditionally to VerifiedProfessionals and let its market table decide (it already has BR_PT_COPY and PT_PT_COPY).",developer,"curl /czechia/cs/doctors/dr-ahmed-maklad and assert the title ends '- Cesko', not '- Czechia'; curl /czechia/cs/services/obnoveni-lecby and assert zero occurrences of 'Czechia'; assert /brazil/pt and /ireland/en are byte-identical in their country tokens to the 2026-09-15 baseline.",One-line revert per site; no data migration.,28 days - GSC impressions for /czechia/cs/doctors/* and /czechia/cs/services/*; watch for a title-rewrite drop in the 'Czechia' brand queries.
CPL-003,TF-03,Country coupling,All,All,"/{country}/{lang}/{about,blog,book,careers,contact,faq,legal,legal/[type],press,pricing} - all six markets","Three modules with three different signatures and three different gating conventions do the same job: ireland-static-page-seo.ts (3 pages x 6 locales, gated externally by `code === ""ie""`), czechia-static-page-seo.ts (10 page keys, cs only, self-gated), portugal-static-page-seo.ts (2 page keys, pt only, self-gated). Spain, Romania and Brazil have no market SEO for any of these page families and render the generic i18n template: /spain/es/pricing is 'Elija su plan mensual - Espana - Global Health' against Ireland's 'Online GP Membership Plans Ireland | Monthly Care'. A fourth market wanting owned copy needs a fourth module plus edits to up to 11 templates.",2026-09-15,code + production,P1,4,0.9,3,CC-3155|CC-3157|CC-3168|CC-3174|CC-3214|CC-3256|CC-3271|CC-3276|CC-3309|CC-3317|CC-3318|CC-3436|CC-3590|CC-3648|CC-3667,"One `staticPageSeo(code, locale, pageKey)` over a single nested record (or the existing PageContent CMS rows keyed by a STATIC page type). Replace 11 named imports with one; delete the three modules once their content is migrated. Also drop the `code === ""pt"" &&` prefix on pricing/page.tsx line 44 - isCountryFeatureEnabled(config, 'subscriptions') is already the rule.",owner,"curl the 60 (6 markets x 10 page families) static URLs and diff <title>/H1 against the 2026-09-15 baseline: Ireland, Czechia and Portugal must be byte-identical; Spain, Romania and Brazil may only change where new copy was deliberately authored. frontend/tests/unit/ireland-core-page-seo.test.ts and czechia-core-page-seo.test.ts must pass unchanged.",Keep the three modules in place behind the new loader for one release; reverting is deleting the loader call.,"28 days - GSC impressions and average position for the 60 static URLs, split by market."
CPL-004,TF-04,Country coupling,All,All,frontend/lib/i18n/load-locale.ts - every public route in every market,"The market editorial layer (pt-BR wording for Brazil, Spain's sick-leave wording, Romania's editorial copy) is wired as three named JSON imports, three booleans, a three-arm cache-key ternary and a three-arm merge ternary. Ireland, Czechia and Portugal have no way to carry a market layer at all, and a helper named brazilOnly() is called at ~20 sites to opt pages into one market's layer. A seventh market silently shares the shared-locale cache entry until someone edits the cacheKey line.",2026-09-15,code + production,P1,4,0.9,2,CC-3833|CC-3839|CC-3849|CC-3852,"lib/i18n/market-overrides/<code>.json auto-discovered by one index file. cacheKey becomes `overrides[country] ? `${locale}:${country}` : locale`; the merge becomes one deepMergeLocale(shared, overrides[country]?.[locale]). Delete brazilOnly() and express per-page opt-in as a namespace list if it is still wanted.",developer,"node scripts/check-locale-keys.mjs passes; curl /brazil/pt, /spain/es, /romania/ro and assert the override strings recorded on 2026-09-15 are still present; curl /portugal/pt and /ireland/en and assert nothing changed (they have no override file).",Restore the three imports and the ternary chain; the JSON payloads are unchanged by the migration.,"14 days - GA4 pageviews and GSC impressions per market; the risk is a merge-order regression, which shows as copy changes, not ranking changes."
CPL-005,TF-05,Country coupling,All,All,"/{country}/{lang}/tools/{slug} - all six markets, 8 tools","Tool market copy is a good data-driven table (MARKET_COPY keyed by code then locale) fed by a bad source layout: three named JSON imports (cz, pt, ro) plus ~1,300 lines of inline Brazilian-Portuguese TypeScript in the same 2,600-line file. Ireland has no entry and renders the shared English copy. Adding a market means editing the file, not adding a file.",2026-09-15,code + production,P3,2,0.9,2,CC-3956|CC-3957,lib/tools/market-copy/<code>.json plus a generated index; MARKET_COPY becomes derived rather than hand-written. Move the BR_PT_* blocks into br.json unchanged.,developer,"curl all 34 market/locale tool pages for bmi-calculator and blood-pressure-chart and assert <title>/H1 are byte-identical to the 2026-09-15 baseline (verified: Brazil 'Calculadora IMC Brasil', Romania 'Calculator IMC Romania', Ireland 'BMI Calculator Ireland').","Restore the single file from git; pure refactor, no behaviour change intended.",None needed if titles are byte-identical; otherwise 14 days of GSC impressions on /tools/*.
CPL-006,TF-06,Country coupling,All,All,"Admin CMS write path (services, service FAQs, service links, doctors, doctor market profiles, doctor FAQs) - all six markets","backend/src/content/romania-clinical-review.ts is an 81KB module whose exported entry point, reviewedRomaniaTransaction(), wraps every admin CMS write in the product and enforces clinical approval for Romania, Spain AND Brazil from three hardcoded const registries of state hashes. Ireland, Czechia and Portugal CMS writes are ungated. Approval evidence - including one entry reading 'verbal, reported by the owner' - lives in source code with no admin surface. Separately, Czech clinically approved doctor FAQs live in a frontend constant (czechia-approved-doctor-faqs.ts) keyed by doctor slug, and return an EMPTY FAQ list if any approved id is missing from the DB.",2026-09-15,code + production,P0,5,0.9,4,CC-2675|CC-2714|CC-2736|CC-3588,"Rename the function to reviewedClinicalTransaction; add Country.clinicalApprovalMode ('off'|'shadow'|'enforce') and a ClinicalApproval table (countryCode, entityKey, stateSha256, reviewerDoctorId, reviewedAt, evidence) that the admin can read. Migrate the three const registries and the Czech FAQ replacements into it. DoctorFaq gains approvedAt/approvedBy.",clinical,backend/src/routes/authz-matrix.test.ts passes; a scripted admin edit to a Romania service is still rejected with RomaniaClinicalApprovalRequiredError (renamed) before migration and its successor after; an edit to an Ireland service is rejected once Ireland is set to 'enforce' and allowed at 'off'; /czechia/cs/doctors/dr-ahmed-maklad still serves 'Jak si rezervovat konzultaci s MUDr. Makladem?'.,Ship behind clinicalApprovalMode='shadow' first (same pattern as MEDICAL_ACCESS_ENFORCE); flipping back to 'shadow' restores today's behaviour for the three gated markets and no new gate for the other three.,One full admin editing cycle (about 30 days) - count rejected writes per market and confirm no false rejections.
CPL-007,TF-07,Country coupling,All,All,"Payments and invoicing - backend/src/lib/stripe/client.ts, backend/src/modules/invoices/*","Money routing is decided by inline country literals: a switch selects the Stripe account (ie/pt/cz; everything else falls through to Ireland), a literal array ['ie','pt','cz'] enumerates webhook secrets, `countryCode !== ""pt""` gates MB Way/Multibanco, and `countryCode === ""pt""` appears three times in one file to skip platform invoicing. Every one of these rules is legitimate; none is data. A seventh market silently bills through the Ireland Stripe entity and its webhooks fail signature verification with no error naming the cause.",2026-09-15,code + production,P1,4,0.9,3,CC-2778|CC-2781|CC-2791|CC-2793|CC-2895|CC-2915,"Country.stripeAccountKey, Country.checkoutPaymentMethods (string[]) and Country.invoiceIssuer ('platform'|'external') on the Country record; account config read from STRIPE_SECRET_KEY_<CODE> / STRIPE_WEBHOOK_SECRET_<CODE> with an Ireland fallback; an issuer registry selects pt-invoicexpress. Delete the switches and the three repeated PT guards.",owner,A sandbox checkout in each of the six markets routes to the same Stripe account as today (assert on the account id in the session); a PT sandbox checkout still offers mb_way + multibanco and issues no platform invoice; getConfiguredWebhookSecrets() returns the same set.,"Keep the switches as the fallback path for one release, selected only when the Country field is null.",One full payout cycle - reconcile per-market settlement against the admin commission-payout report.
CPL-008,TF-08,Country coupling,All,All,/{country}/{lang}/consult/{slug} booking form; GA4 booking events,"The booking form decides identity-document collection with `country.startsWith(""brazil"") || countryCode === ""cz""` (two comparison styles in adjacent lines - one on the URL slug, one on the code), labels the tax-ID field from a five-country if-chain that omits Czechia, and decides the address state field with `country === ""br""`. The same five-country tax-ID table exists again on the backend (patient-country-tax-ids.ts). GA4's `market` dimension is a sixth hardcoded literal map in lib/analytics/booking.ts, so a new market emits no market value at all.",2026-09-15,code + production,P2,3,0.9,2,CC-3184|CC-3192|CC-3206|CC-3416|CC-3452,"Country.requiresIdentityDocument, Country.identityDocumentLabel, Country.taxIdLabel, Country.addressFields (string[]) on the Country record - one source read by both the form and the invoice path. For analytics, reuse countrySlug(code) from lib/routing/country-slug.ts instead of the literal map.",owner,Open the booking form in all six markets and assert the identity/tax/address fields match the 2026-09-15 screenshots; submit a Brazil booking without a CPF and assert the same validation message; fire a booking event in each market and assert the GA4 `market` parameter equals the country slug.,Revert the four Country fields to their defaults; the literals stay in place behind them for one release.,"14 days - GA4 booking-event counts by `market`, plus booking-form abandonment rate per market."
CPL-009,TF-09,Country coupling,All,All,"Home, /doctors, /contact, /book, /services/{slug}, footer trust bar - all six markets","Market copy that the shared template cannot carry is scattered across nine mechanisms: a Brazil-only book-page spread, a one-sentence Czech module (country-gp-copy.ts), a Portugal-only meta-description suppression whose comment states the real rule is 'clinically approved verbatim' not 'Portugal', a Brazil-only trust-bar phrase table, an Ireland-only Doctify tile, 729 lines of contact data and 220 lines of certification logos as TS literals, and a locale-keyed ternary chain in service-hub-content-es-ro-de.ts that duplicates the i18n loader. country-doctors-copy.ts shows the right shape (consistent lowercase `${code}:${locale}` keys, all six markets present) and should be the template.",2026-09-15,code + production,P2,3,0.85,3,CC-3167|CC-3383|CC-3386|CC-3455|CC-3467|CC-3524|CC-3559|CC-3646|CC-3772,"Fold the copy rows into the same per-country content record as CPL-001/CPL-003; add Country.reviewWidget ('doctify'|'google'|null) and Service.seoDescriptionIsExact; move the es/ro/de service-hub strings into locales/{es,ro,de}/services.json; migrate contact offices and certification logos to the CountryContact / CountryAuthorityLink admin tables.",owner,"curl the home, /doctors, /contact and /book pages for all six markets and diff against the 2026-09-15 baseline; assert the Doctify tile still renders only on /ireland/* and the Brazil trust bar still shows pt-BR phrasing.",Per-row revert; each mechanism is independent.,"28 days - GSC impressions for the affected page families, plus contact-form submissions per market."
CPL-010,TF-10,Country coupling,All,All,"frontend/data/countries.ts; the six-locale constant, duplicated 5x; backend notification locale lists","The seed array in frontend/data/countries.ts is still read by toolMarkets(), the country-slug registry and hreflang, so an admin-created country is routable but has no tool pages and is absent from the global tool hreflang cluster - despite the file's own comment saying the type was widened so admins could add countries 'without a code release'. The six-language list is written out five times (types.ts, html-lang.ts, merge-public-content.ts, path-rewrites.ts, gone-content.ts) and the backend keeps two SHORTER lists that omit 'de' (NOTIFICATION_LANGS and review-destinations.ts), so a German-locale patient gets English notifications today.",2026-09-15,code + production,P2,3,0.9,2,CC-2820|CC-2825|CC-2968|CC-3661|CC-3784|CC-3868|CC-3885|CC-3895|CC-NEW-001,"Have toolMarkets() and the slug registry read getPublicCountriesMerged() (already DB-backed), keeping the seed as a cold-start fallback only. Import supportedLocaleCodes at the four duplicate sites and share it with the backend (or mirror it in one backend constant) so NOTIFICATION_LANGS includes 'de'.",developer,Create a throwaway country in /admin/countries and assert /<slug>/<lang>/tools/bmi-calculator returns 200 and appears in the tool hreflang cluster; assert a de-locale patient receives a German notification; frontend/lib/content/country-locale-matrix.test.ts and node scripts/check-locale-keys.mjs pass.,Restore the seed reads; the DB path is additive.,14 days - notification open rates for de-locale recipients; tool-page impressions for the new market.
