review_id,url_id,url,target_country,language,page_type,entity_source,impressions_W1,clicks_W1,primary_query,intent_alignment,usefulness_1_5,specificity_1_5,naturalness_1_5,localisation_1_5,factual_safety,scanner_flags,analyst_rating_1_5,classification,issue,current_excerpt,recommended_action,factual_source,clinical_gate,native_editor_status,copy_approval_status,owner,expected_user_benefit,evidence
CR-0001,U000306,https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c,Brazil,en,blog_post,CMS blog record does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c (br-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/br-en.json,32,0,attendance medical certificate,aligned,5,5,4,3,ok,none,4,Improve,Blog category label renders in the source language on this locale (untranslated taxonomy leak). Category 'Atestados e documentos' on an /en page; H1 is 22 words.,All articlesAtestados e documentosDoes an Attendance Certificate Excuse an Absence? The Difference from a Medical Certificate and What the CLT GuaranteesAn attendance certificate proves you were at the appointmen,Translate the blog category label per locale and shorten the H1 to the question form already used in the title.,CLT art.473 and TST case law cited on page; no new claim,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,English readers see an English category and a scannable headline,seo/tracking/raw/2026-09-15/A2-probe/text/U000306.txt
CR-0002,U000433,https://www.myglobalhealth.online/brazil/pt/blog/solicitacao-de-exames-laboratoriais-online,Brazil,pt,blog_post,CMS blog record solicitacao-de-exames-laboratoriais-online (br-pt) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/br-pt.json,29,0,solicitação de exames laboratoriais,aligned,5,5,5,5,ok,none,5,Protect,No content defect. Ranks p9-27 for 'solicitacao de exames laboratoriais' family with 0 clicks.,"Todos os artigosExames e diagnósticoSolicitação de exames laboratoriais: como funciona o pedido médicoO pedido de exames existe para que o resultado signifique alguma coisa. Explicamos o que a solicitação precisa conter, quais exames o labo",Leave copy as is; title/meta already answer the query. Re-check after position improves.,CFM digital-prescription platform cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Clear answer on what a lab request must contain,seo/tracking/raw/2026-09-15/A2-probe/text/U000433.txt
CR-0003,U000307,https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil,Brazil,en,blog_post,CMS blog record laboratory-test-request-brazil (br-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/br-en.json,4,0,da hapvida,aligned,5,5,4,3,ok,em_dash_8.1/1k,4,Improve,Blog category label renders in the source language on this locale (untranslated taxonomy leak). Category 'Exames e diagnostico' on the /en page.,"All articlesExames e diagnósticoRequesting laboratory tests in Brazil: how the medical request worksA test request exists so that the result means something. What the request must contain, which tests a laborator","Translate the category label for the en locale; keep the body, which is a genuine localisation of the pt article, not a machine copy.",CFM rules cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,English readers see an English taxonomy,seo/tracking/raw/2026-09-15/A2-probe/text/U000307.txt
CR-0004,U000368,https://www.myglobalhealth.online/brazil/es/blog/diabetes-la-enfermedad-silenciosa-3,Brazil,es,blog_post,CMS blog record diabetes-la-enfermedad-silenciosa-3 (br-es) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/br-es.json,0,0,,partial,3,4,3,2,check,superlative_hits=7,2,Consider retirement,"5,735-word Spanish article on a Brazil market page with 0 impressions; 'los mejores tratamientos disponibles hoy' is an unsourced superiority claim.","esita saber: causas, señales de alerta, los mejores tratamientos disponibles hoy, la importancia de las revisiones periódicas y las terapias emergentes que podrían transformar el cuidado de la diabetes en los próximos años.— Basado en evide",Drop the superlative framing ('los mejores' -> 'los tratamientos de primera linea'); decide whether Brazil needs an es locale at all before investing further.,IDF/SBD figures quoted on page; superlative has no source,"yes - changes a clinical/credential/efficacy statement, needs the one in-market clinician approval",needed,proposed,,Readers get treatment facts without a ranking claim,seo/tracking/raw/2026-09-15/A2-probe/text/U000368.txt
CR-0005,U000431,https://www.myglobalhealth.online/brazil/pt/blog/diabetes-doenca-silenciosa,Brazil,pt,blog_post,CMS blog record diabetes-doenca-silenciosa (br-pt) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/br-pt.json,0,0,,partial,3,4,3,4,check,superlative_hits=7,2,Improve,"Same unsourced superiority claim in pt ('os melhores tratamentos disponiveis hoje'); 5,458 words, 0 impressions.","recisa saber: causas, sinais de alerta, os melhores tratamentos disponíveis hoje, a importância das consultas regulares, e as terapias emergentes que podem transformar os cuidados com a diabetes nos próximos anos.— Baseado em evidências— Al",Replace 'os melhores tratamentos' with 'os tratamentos de primeira linha'; split the 24-min guide into the two questions it actually answers.,SBD / Ministerio da Saude cited on page,"yes - changes a clinical/credential/efficacy statement, needs the one in-market clinician approval",not needed,proposed,,Accurate framing and a shorter path to the answer,seo/tracking/raw/2026-09-15/A2-probe/text/U000431.txt
CR-0006,U000317,https://www.myglobalhealth.online/brazil/en/contact,Brazil,en,contact,frontend/lib/content/country-contact.ts + frontend/locales/en/contact.json,19,0,help global brazil login,aligned,4,4,4,4,ok,none,4,Protect,"Accurate, honest contact page (states no premises in Brazil). Queries are brand/navigational.",ContactGlobal Health · BrazilContact Global Health Brazil Global Health serves Brazil as an online-only clinic: consultations take place by secure video with registered doctors. We hold no premises in Brazil.Book a consultationMeet the doct,No copy change needed.,CFM telemedicine rules and emergency number 192 on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Patients know there is no walk-in clinic before booking,seo/tracking/raw/2026-09-15/A2-probe/text/U000317.txt
CR-0007,U000381,https://www.myglobalhealth.online/brazil/es/doctors/dr-renato-sarmento,Brazil,es,doctor,CMS doctor record dr-renato-sarmento (br-es) via frontend/lib/content/get-public-doctors.ts rendered by frontend/lib/content/doctor-profile-page.tsx; dump .../api/doctors/br-es.json,0,0,,partial,3,3,3,2,check,superlative_hits=8,2,Translate/localize,"English SEO heading block ('<Name> - <Specialty>, Global Health <Market>. Book an online video consultation.') renders above the localised profile on every locale. Consultation languages listed with E","DoctorDr. Renato Sarmento — Family and Community Medicine, Global Health Brazil Dr. Renato Sarmento — Family and Community Medicine at Global Health Brazil. Book an online video consultation.++Volver al equ",Localise the hidden SEO heading and the language list; confirm whether a Brazil es doctor profile should be indexed at all.,CRM-SP 170837 and named qualifications on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,Spanish readers see a fully Spanish profile,seo/tracking/raw/2026-09-15/A2-probe/text/U000381.txt
CR-0008,U000443,https://www.myglobalhealth.online/brazil/pt/doctors/dr-renato-sarmento,Brazil,pt,doctor,CMS doctor record dr-renato-sarmento (br-pt) via frontend/lib/content/get-public-doctors.ts rendered by frontend/lib/content/doctor-profile-page.tsx; dump .../api/doctors/br-pt.json,0,0,,partial,4,4,4,3,ok,superlative_hits=7,3,Improve,"English SEO heading block ('<Name> - <Specialty>, Global Health <Market>. Book an online video consultation.') renders above the localised profile on every locale. Consultation languages listed with E","DoctorDr. Renato Sarmento — Family and Community Medicine, Global Health Brazil Dr. Renato Sarmento — Family and Community Medicine at Global Health Brazil. Book an online video consultation.++Voltar à equi",Localise the hidden SEO heading and render language names in pt.,CRM-SP 170837 on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Portuguese readers get a fully Portuguese profile,seo/tracking/raw/2026-09-15/A2-probe/text/U000443.txt
CR-0009,U000318,https://www.myglobalhealth.online/brazil/en/doctors,Brazil,en,doctors_index,frontend/lib/content/country-doctors-copy.ts + CMS doctor records (br-en),3,0,doctor visit crm pharma,partial,3,3,3,4,risk,superlative_hits=3,2,Improve,"'45,332+ consultations' and 'Reviewed on Doctify' are unsourced trust claims, and 'Doctors who actually pick up.' sits above '1 licensed clinician available'.","y verified cliniciansReviewed on Doctify45,332+ consultationsUp-to-date timesShown when you bookCurrent availabilitySee times in the booking calendarVerified cliniciansIdentity & license verificationOnline consultationPrivate, secure & conv","Remove or source the consultation count and the Doctify line; change the H1 to a singular, checkable statement of who is available.",NOT SOURCED - counts and review platform need an owner-supplied figure,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Trust claims a visitor can actually verify,seo/tracking/raw/2026-09-15/A2-probe/text/U000318.txt
CR-0010,U000444,https://www.myglobalhealth.online/brazil/pt/faq,Brazil,pt,faq,frontend/locales/pt/faq-markets.json:br.groups via frontend/lib/content/country-faq.ts,36,0,clinic global health,aligned,5,5,5,5,ok,none,5,Protect,"Strong market FAQ, cites CFM Resolucao 2.314/2022 correctly.","Global Health · BrasilGlobal Health · BrasilRespostas, sem linguagem de marketing.Agendamentos, pagamentos, consultas, privacidade e quando o atendimento online não é a opção certa. Não encontrou o que precisa? Fale com a gente.Fale com a e",No change.,Resolucao CFM 2.314/2022 cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Legal validity answered with the actual regulation,seo/tracking/raw/2026-09-15/A2-probe/text/U000444.txt
