path,in_applied_dir,size_bytes,last_commit_date,referenced_from_runtime,one_line_purpose
backend/scripts/apply-portugal-snippet-trim-approval.ts,no,5329,2026-09-04 00:11:36 +0500,no, Applies the 2026-09-03 clinical approval to the LOCAL ARTIFACTS only.  node --import tsx scripts/apply-portugal-snippet-trim-approval.ts          # dry run node --import tsx scripts/apply-portugal-sn
backend/scripts/apply-romania-editorial.mjs,no,9021,2026-09-13 05:40:45 +0500,no,import fs from 'node:fs';
backend/scripts/apply-romania-seo.mjs,no,8327,2026-09-14 08:49:59 +0500,no,"Exact approved row updates, one service/doctor group per serializable transaction. Credentials come from established process configuration, never the manifest."
backend/scripts/apply-spain-seo.mjs,no,9211,2026-09-15 07:42:39 +0500,no,One reviewed logical group per transaction. Default is a read-only dry-run.
backend/scripts/apply-spain-sick-leave-pages.mjs,no,5265,2026-09-14 19:26:57 +0500,no,"Spain-only exact compare-and-set for page copy outside the clinical content gate (ledger §56.11): the home services bullet, the doctors-index FAQ and the medical disclaimer. Default is a read-only dry"
backend/scripts/backfill-brazil-missing-locales.ts,no,4699,2026-07-23 13:08:35 +0500,no," Brazil (country ""br"") supports the site-wide 6-locale set (EN/PT/ES/CS/RO/DE), same as ie/cz/pt/es/ro — but unlike those countries, Brazil's HOME PageContent row never got PageContentTranslation rows"
backend/scripts/brazil-blog-content.mjs,no,8015,2026-09-15 08:18:09 +0500,no,Brazil SEO articles: guarded compare-and-set for BlogPost / BlogTranslation copy and attribution. Blogs are outside the clinical gate; the admin form is not used (it resets lastReviewedAt). snapshot <
backend/scripts/brazil-lgpd-law-name.mjs,no,1864,2026-09-15 08:16:48 +0500,no,"Brazil only: the trust record's EN/ES data-protection law name reads GDPR/RGPD; Brazil's law is the LGPD. Feeds the trust bar, homepage trust ribbon and legal page. Owner-approved 2026-09-15. node --e"
backend/scripts/brazil-page-content.mjs,no,7474,2026-09-15 07:04:11 +0500,no,"Brazil SEO handoff D1: guarded compare-and-set for PageContentTranslation copy (HOME, DOCTORS_INDEX). PageContent is outside the clinical gate; the admin form is not used. Brazil rows only. snapshot <"
backend/scripts/brazil-plan-content.mjs,no,6606,2026-09-15 09:11:34 +0500,no,"Brazil pricing plans: guarded compare-and-set for PricingPlan / PlanTranslation display copy (pt-BR wording). Display text only — prices, credits, Stripe ids and rules are never written. snapshot <new"
backend/scripts/brazil-seo-storage.mjs,no,987,2026-09-13 22:08:18 +0500,no,import {writeFileSync} from 'node:fs';
backend/scripts/draft-ireland-service-translations-openai.ts,no,11255,2026-07-11 04:04:58 +0500,no,"import ""dotenv/config"";"
backend/scripts/enrich-ireland-health-landing-pages.ts,no,19738,2026-08-26 18:09:15 +0500,no," Enrich the Ireland `/health/` landing pages that were seeded as thin starters (import-ireland-landing-pages.ts).  Three changes per page, all data — no frontend code is involved. The"
backend/scripts/humanize-ireland-public-copy.ts,no,20842,2026-08-26 15:15:18 +0500,no, Preview or apply the Ireland public-copy punctuation cleanup.  node --env-file=.env --import tsx scripts/humanize-ireland-public-copy.ts node --env-file=.env --import tsx scripts/humanize-ireland-pub
backend/scripts/import-brazil-disclaimer.ts,no,29435,2026-07-10 21:45:30 +0500,no," Create the Brazil Clinical & Liability Disclaimer (CountryLegalDocument, MEDICAL_DISCLAIMER, locale ""pt"") from GlobalHealth_Disclaimer_Brazil. Served at /brazil/pt/legal. Idempotent upsert. "
backend/scripts/import-brazil-service-content.ts,no,5229,2026-07-10 21:45:30 +0500,no," Import the Brazil (BR) service-page content, parsed from ""serviços brazil.docx"" (18-service bilingual bundle: all GENERAL/GP tier, PT-BR + EN, July 2026) into new BR Service rows. "
backend/scripts/import-brazil-service-links.ts,no,3988,2026-07-10 21:45:30 +0500,no," Seed the Brazil internal-link callout map (ServiceLink rows) from the ""Documento de Ligações Internas — Brasil"" spec (hub→spoke, 10 clinical clusters, return-to-hub links). All Brazil GP services are"
backend/scripts/import-czechia-disclaimer.ts,no,48652,2026-07-05 20:48:45 +0500,no," Import the Czech Republic Medical Disclaimer, parsed from ""GlobalHealth_Disclaimer_CzechRepublic.docx"" (bilingual CS-first, July 2026).  node --env-file=.env --import tsx scripts/import-czechia-discl"
backend/scripts/import-czechia-service-content.ts,no,5870,2026-07-05 20:48:45 +0500,no," Import the Czech Republic (CZ) service-page content, parsed from ""CZ_GeneralConsultation_EN_CS_v3.docx"" (a 15-service bilingual bundle, July 2026) into new CZ Service rows. "
backend/scripts/import-ireland-finalize.ts,no,5576,2026-06-30 04:09:22 +0500,no, Finalize the Ireland SEO rollout: 1. Set price/duration on the 3 new service drafts and activate them. 2. Add SEO keywords to aesthetic-medicine (its doc keyword line wasn't parsed). 3. Create the pu
backend/scripts/import-ireland-landing-pages.ts,no,10410,2026-06-30 04:09:22 +0500,no," Seed the Ireland SEO landing pages (Internal-Linking spec, Rule 6) as DRAFTS. The spec lists the slugs + audience; full body copy is authored later in admin. Each page is created unpublished with a s"
backend/scripts/import-ireland-service-content.ts,no,7548,2026-06-30 03:54:58 +0500,no, Import the Ireland SEO service-page content (parsed from GlobalHealth_SEO_MedicalConsultation_IE.docx) into the Service rows.  node --import tsx scripts/import-ireland-service-content.ts            #
backend/scripts/import-ireland-service-links.ts,no,3562,2026-06-30 03:54:58 +0500,no, Seed the Ireland internal-link callout map (ServiceLink rows) from the Internal-Linking spec. Groups links by source service and replaces that service's link set. Dry-run by default; --apply to write
backend/scripts/import-portugal-disclaimer.ts,no,28328,2026-09-01 23:29:10 +0500,no," Create/publish the Portugal Medical Disclaimer (CountryLegalDocument, MEDICAL_DISCLAIMER, locale ""pt"") from GlobalHealth_DisclaimerMedico_Portugal. Served at /portugal/pt/legal/medical-disclaimer. Id"
backend/scripts/import-portugal-landing-pages.ts,no,8589,2026-07-01 22:41:25 +0500,no," Seed the Portugal SEO landing pages (Ligações Internas spec, Secção 4 + Regra 6) as published condition pages. Served at /portugal/pt/health/<slug>, indexed in the sitemap, intentionally kept out of "
backend/scripts/import-portugal-service-content.ts,no,5834,2026-07-01 22:50:35 +0500,no," Import the Portugal service-page content (parsed from ""Portugal Service descriptions.docx"") into the PT Service rows.  node --env-file=.env --import tsx scripts/import-portugal-service-content.ts    "
backend/scripts/import-portugal-service-links.ts,no,4291,2026-07-01 23:01:16 +0500,no," Seed the Portugal internal-link callout map (ServiceLink rows) from the ""Estrutura de Ligações Internas — Portugal"" spec. Groups links by source service and replaces that service's link set. Dry-run "
backend/scripts/import-spain-disclaimer.ts,no,31133,2026-07-10 05:49:39 +0500,no," Create the Spain Clinical & Liability Disclaimer (CountryLegalDocument, MEDICAL_DISCLAIMER, locale ""es"") from GlobalHealth_Disclaimer_Spain. Served at /spain/es/legal. Idempotent upsert. "
backend/scripts/import-spain-service-content.ts,no,5136,2026-07-10 05:49:39 +0500,no," Import the Spain (ES) service-page content, parsed from ""Spain SEO services.docx"" (22-service bilingual bundle: 16 GP + 6 specialist, ES + EN, July 2026) into new ES Service rows. "
