"URL","page type","locale","primary keyword","keyword evidence","secondary keywords","original title","optimized title","original meta description","optimized meta description","live H1","proposed H1","description optimized","bio optimized","FAQs optimized","deslop completed","factual verification completed","clinical review required","implementation status","reason for anything left unchanged","HTTP status","canonical","hreflang entries","indexable","structured data types","native FAQ count","embedded FAQ count","consultation languages","bookability","live reviewed at","source fingerprint","implementation payload sha256"
"https://www.myglobalhealth.online/romania/cs","home","cs","promluvte si s lékařem","see keyword master","","Online lékař Rumunsko | Registrovaní lékaři a specialisté","Online lékař Rumunsko | Registrovaní lékaři a specialisté","Promluvte si ještě dnes s registrovaným lékařem přes videohovor — konzultace s praktickým lékařem, potvrzení, odeslání ke specialistovi. Termíny tentýž den, Rumunsko.","Online lékařské konzultace v Rumunsku v rumunštině nebo angličtině. Vyberte si lékaře a při rezervaci ověřte dostupné termíny.","Online lékařská péče v Rumunsku","Online lékařská péče v Rumunsku","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","legal owner for legal-body changes","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Organization | BreadcrumbList | ListItem | FAQPage | Question | Answer","7","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:14 am","9084fdf83dd0e2d31f2874d7c219011141a6ce07d54808e13b0e73da9f93f014",""
"https://www.myglobalhealth.online/romania/cs/about","about","cs","O Global Health Rumunsko","editorial topic only; no demand claim","","O Global Health Rumunsko | Lékaři online · Global Health","O Global Health Rumunsko | Lékaři online · Global Health","Global Health Rumunsko: online konzultace videohovorem s lékaři registrovanými u Colegiul Medicilor din România, v jazycích rumunština / angličtina. Co nabízíme a kdo jsme.","Global Health Rumunsko: online konzultace videohovorem s lékaři registrovanými u Colegiul Medicilor din România, v jazycích rumunština / angličtina. Co nabízíme a kdo jsme.","O Global Health Rumunsko","O Global Health Rumunsko","no","no","retained","not rewritten","inventory checks only","legal owner for legal-body changes","retained; owner editorial approval recorded","No verified change needed from this bounded evidence; retain existing text. Clinical/legal claims are not independently re-certified.","200","https://www.myglobalhealth.online/romania/cs/about","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Organization | FAQPage | Question | Answer | BreadcrumbList | ListItem","4","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:14 am","de2eac1a5f87e63641ab30335d16f8b9a665832160fd582112044efbc5a4b5ea",""
"https://www.myglobalhealth.online/romania/cs/blog","blog","cs","Zdravotní příručky od registrovaných lékařů.","editorial topic only; no demand claim","","Zdravotní příručky od registrovaných lékařů – Rumunsko","Zdravotní příručky od registrovaných lékařů – Rumunsko","Zdravotní příručky založené na důkazech pro Rumunsko, které napsal a zkontroloval náš lékařský tým.","Zdravotní příručky založené na důkazech pro Rumunsko, které napsal a zkontroloval náš lékařský tým.","Zdravotní příručky od registrovaných lékařů.","Zdravotní příručky od registrovaných lékařů.","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","legal owner for legal-body changes","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | BreadcrumbList | ListItem","0","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:14 am","9c5e2f2882778e3885e3acb2f661aa302e4b0db0fdd71dc8f3e4e3942da3bec6",""
"https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","article","cs","Chronické nemoci a národní zdravotní programy v Rumunsku: jak to funguje","editorial topic only; no demand claim","","Chronické nemoci a národní programy v Rumunsku","Chronické nemoci a národní programy v Rumunsku","Nemoci zahrnuté do rumunských národních zdravotních programů: co pokrývají, jak probíhá zařazení a jak sledovat chronickou nemoc mezi kontrolami.","Nemoci zahrnuté do rumunských národních zdravotních programů: co pokrývají, jak probíhá zařazení a jak sledovat chronickou nemoc mezi kontrolami.","Chronické nemoci a národní zdravotní programy v Rumunsku: jak to funguje","Chronické nemoci a národní zdravotní programy v Rumunsku: jak to funguje","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/chronicke-nemoci-narodni-programy-rumunsko","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Article | MedicalWebPage | Person | EducationalOccupationalCredential | Organization | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","6","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:14 am","6e77555ad853a6ba814baed316c47cda75935525f0418c2aedcec7b2918cdc46",""
"https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","article","cs","Diabetes: tichá nemoc","editorial topic only; no demand claim","","Diabetes v Rumunsku: příčiny, příznaky, léčba a budoucnost péče","Diabetes v Rumunsku: příčiny, příznaky, léčba a budoucnost péče","V Rumunsku žije s diabetem přes 1,3 milionu lidí a mnoho dalších o něm neví. Průvodce příčinami, příznaky, možnostmi léčby a budoucností péče.","V Rumunsku žije s diabetem přes 1,3 milionu lidí a mnoho dalších o něm neví. Průvodce příčinami, příznaky, možnostmi léčby a budoucností péče.","Diabetes: tichá nemoc","Diabetes: tichá nemoc","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/diabetes-ticha-nemoc-4","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Article | MedicalWebPage | Person | EducationalOccupationalCredential | Organization | Thing | BreadcrumbList | ListItem","7","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:14 am","811364adbdedac72221303f0cf800bfaea8ea70f16f0b8cfefeae9a21e255031",""
"https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","article","cs","jak okamžitě snížit krevní tlak","see keyword master","vysoky tlak co delat","Vysoký tlak: bezpečný postup v Rumunsku · Global Health","Vysoký tlak: bezpečný postup v Rumunsku · Global Health","Zjistěte, jak správně přeměřit vysoký tlak, kdy volat 112 a proč neužívat další captopril ani domácí prostředky bez pokynu lékaře.","Zjistěte, jak správně přeměřit vysoký tlak, kdy volat 112 a proč neužívat další captopril ani domácí prostředky bez pokynu lékaře.","Jak bezpečně snížit vysoký tlak: co dělat v Rumunsku","Jak bezpečně snížit vysoký tlak: co dělat v Rumunsku","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/jak-bezpecne-snizit-vysoky-tlak-rumunsko","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Article | MedicalWebPage | Thing | Organization | BreadcrumbList | ListItem | FAQPage | Question | Answer","5","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:14 am","3e7424918dbfff6b262c8e45c9d254c55400a52dd80db125429b5eacabd26b20",""
"https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","article","cs","jak dlouho platí žádanka od lékaře","see keyword master","","Lékařská zpráva v Rumunsku: kdo ji vystavuje · Global Health","Lékařská zpráva v Rumunsku: kdo ji vystavuje · Global Health","Lékařská zpráva v Rumunsku: kdo ji vystavuje, co musí obsahovat, k čemu slouží, jak dlouho platí a co dělat, když je neúplná.","Lékařská zpráva v Rumunsku: kdo ji vystavuje, co musí obsahovat, k čemu slouží, jak dlouho platí a co dělat, když je neúplná.","Lékařská zpráva v Rumunsku: kdo ji vystavuje, co obsahuje a k čemu slouží","Lékařská zpráva v Rumunsku: kdo ji vystavuje, co obsahuje a k čemu slouží","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/lekarska-zprava-rumunsko","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Article | MedicalWebPage | Person | EducationalOccupationalCredential | Organization | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","6","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:15 am","d244fca69c16c1ba8b1eef94f7f314438290a6c8fb051a975d6a83c3364addac",""
"https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","article","cs","Jak píšeme a revidujeme lékařský obsah","editorial topic only; no demand claim","","Zásady lékařské revize — Global Health Rumunsko","Zásady lékařské revize | Global Health Rumunsko","Jak Global Health píše, reviduje a aktualizuje zdravotnické články publikované pro Rumunsko: kdo je píše, který registrovaný lékař je schvaluje a jaké redakční standardy dodržujeme.","Jak Global Health píše, reviduje a aktualizuje zdravotnické články publikované pro Rumunsko: kdo je píše, který registrovaný lékař je schvaluje a jaké redakční standardy dodržujeme.","Jak píšeme a revidujeme lékařský obsah","Jak píšeme a revidujeme lékařský obsah","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/medical-review-policy","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | BreadcrumbList | ListItem","0","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:15 am","c50e286b42a23b8fff05b0558734cdd63f6bfe0e8c0f5598b1ceb3c2ffb36dd6",""
"https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","article","cs","nízký tlak příznaky","see keyword master","","Nízký krevní tlak: příčiny, co dělat a kdy volat 112","Nízký krevní tlak: příčiny, co dělat a kdy volat 112","Co znamená nízký krevní tlak, časté příčiny, manévry doporučené evropským doporučením při závratích, proč slazená voda nepomáhá a kdy jde o urgentní stav.","Co znamená nízký krevní tlak, časté příčiny, manévry doporučené evropským doporučením při závratích, proč slazená voda nepomáhá a kdy jde o urgentní stav.","Nízký krevní tlak: proč se objevuje, co dělat hned a kdy už nečekat","Nízký krevní tlak: proč se objevuje, co dělat hned a kdy už nečekat","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/nizky-krevni-tlak-proc-se-objevuje-co-delat-hned-a-kdy-uz-necekat","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Article | MedicalWebPage | Person | EducationalOccupationalCredential | Organization | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","4","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:15 am","bf0697f023137831421f2479ba29fc1e25baabcf7683f1adc304e9f8d24f788f",""
"https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","article","cs","ideální krevní tlak","see keyword master","jaký je normální krevní tlak | jaký je normální tlak | jaký tlak je normální | kolik je normalni tlak | krevni tlak dle veku | krevní tlak hodnoty","Normální krevní tlak podle věku · Global Health","Normální krevní tlak podle věku · Global Health","Zjistěte, jaký krevní tlak je u dospělých normální, co se mění s věkem a kdy opakovaně zvýšené hodnoty konzultovat s lékařem.","Zjistěte, jaký krevní tlak je u dospělých normální, co se mění s věkem a kdy opakovaně zvýšené hodnoty konzultovat s lékařem.","Normální krevní tlak podle věku: užitečný průvodce bez zavádějících tabulek","Normální krevní tlak podle věku: užitečný průvodce bez zavádějících tabulek","no","no","retained","scoped editorial cleanup; retained exceptions recorded","inventory checks only","claim-dependent; no named approval recorded","editorial changes live; public controls verified","Only manifest fields and Romania frontend overrides changed. Disabled sections, held pain service/credentials, quoted subjects and shared notices retained; no independent recertification.","200","https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek","7","yes","MedicalOrganization | ImageObject | Country | ContactPoint | PostalAddress | PropertyValue | WebSite | Article | MedicalWebPage | Thing | Organization | BreadcrumbList | ListItem | FAQPage | Question | Answer","6","not evaluated outside service body","not applicable","not applicable","13/09/2026 12:38:15 am","b853b18c8b34fba3cda6df17caa27435412815a4b1b2ac3b895320c109637bb7",""
