window_start,window_end,query,country,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-08-15,2026-09-11,krevní tlak kalkulačka,cze,20,477,0.041928721174004195,4.278825995807128,W1|krevní tlak kalkulačka|cze,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,calculator calorii,rou,19,1601,0.011867582760774516,7.8363522798251095,W1|calculator calorii|rou,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,tomas ruiz palacios psicologo,esp,12,43,0.27906976744186046,3.3488372093023258,W1|tomas ruiz palacios psicologo|esp,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,alfredo del valle moreno montañez,esp,10,57,0.17543859649122806,3.8596491228070176,W1|alfredo del valle moreno montañez|esp,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,global health,prt,8,40,0.2,3.85,W1|global health|prt,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,global health,cze,6,17,0.35294117647058826,6.647058823529412,W1|global health|cze,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,global health,irl,5,72,0.06944444444444445,12.527777777777779,W1|global health|irl,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,fahad farooq,irl,4,10,0.4,2.1,W1|fahad farooq|irl,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,global health online,irl,4,4,1,1,W1|global health online|irl,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,doctor moreno montañez,esp,3,18,0.16666666666666666,4.5,W1|doctor moreno montañez|esp,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,doctor moreno montañez dermatologo,esp,3,12,0.25,3.8333333333333335,W1|doctor moreno montañez dermatologo|esp,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,global health medical,irl,3,3,1,1,W1|global health medical|irl,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
2026-08-15,2026-09-11,my global health,irl,3,4,0.75,1,W1|my global health|irl,R2026-09-15-GSC-C,final,America/Los_Angeles,28-day aggregate; anonymized queries omitted by Google,search_console
