file,kind,referenced_from_runtime,gating_expression,markets_served,what_it_carries,equivalent_for_other_markets,smallest_generic_fix,template_fix_id
backend/src/content/czechia-page-content-seo-drafts.ts,draft_payload,no,,cz,Czech page SEO drafts (title/description) awaiting approval,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/czechia-profile-blog-tool-seo-drafts.ts,draft_payload,no,,cz,Czech doctor-profile/blog/tool SEO drafts,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/czechia-seo-service-drafts.ts,draft_payload,no,,cz,Czech service SEO drafts (61KB),none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-consultation-hub-patch.ts,patch_payload,no,,ie,Ireland consultation-hub copy patch,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-consultation-hubs.ts,draft_payload,no,,ie,Ireland GP/specialist hub page copy,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-doctor-profile-faqs.ts,draft_payload,no,,ie,Ireland doctor-profile FAQs,partial (cz has a live frontend module; ro/es/br have DB-side approval gates),Route through the DoctorFaq table + the ClinicalApproval gate (TF-06) instead of a per-country TS payload,TF-06
backend/src/content/ireland-doctor-profile-keywords.ts,draft_payload,no,,ie,Ireland doctor-profile SEO keywords,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-general-service-keyword-patch.ts,patch_payload,no,,ie,Ireland GENERAL service keyword patch,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-general-service-keywords-localized-completion.ts,draft_payload,yes,* One commercial intent owner for each active Ireland GENERAL service.,ie,Localized completion payload for 10 approved Ireland GENERAL service pages,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-general-service-keywords.ts,draft_payload,yes,/** Localized completion payload for the ten owner-approved Ireland GENERAL pages. */,ie,Ireland GENERAL service commercial-intent keywords (30KB),none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-profile-specialist-faq-patch.ts,patch_payload,no,,ie,Ireland specialist-profile FAQ patch,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-profile-specialist-keyword-patch.ts,patch_payload,no,,ie,Ireland specialist-profile keyword patch,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-public-copy-humanizer.ts,patch_payload,no,,ie,Ireland public-copy de-AI rewrite rules,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-specialist-service-faqs.ts,draft_payload,no,,ie,Ireland specialist service FAQs (24KB),none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/ireland-specialist-service-keywords.ts,draft_payload,no,,ie,Ireland specialist service keywords (23KB),none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/portugal-clinical-approval.ts,clinical_gate,yes,"throw new Error(""Portugal SEO confirmation token does not match the selected draft"");",pt,Portugal SEO draft confirmation tokens + clinical sign-off,partial (ro/es/br use romania-clinical-review.ts; ie/cz have nothing),Fold into the single ClinicalApproval table + Country.clinicalApprovalMode (TF-06),TF-06
backend/src/content/portugal-faq-safety-patch.ts,patch_payload,no,,pt,Portugal FAQ safety-wording patch runner,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/portugal-faq-safety-patches.ts,patch_payload,yes,"throw new Error(""Portugal FAQ source SHA-256 does not match the current record"");",pt,Portugal FAQ safety-wording payload + source SHA-256 guards,none,Same ClinicalApproval table (the SHA guard IS an approval record),TF-06
backend/src/content/portugal-home-cta-patch.ts,patch_payload,no,,pt,Portugal HOME CTA language patch,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/portugal-seo-metadata-drafts.ts,draft_payload,yes,throw new Error(`${label} contains a non-official Portugal source`);,pt,Portugal service SEO metadata drafts + official-source validation,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/portugal-seo-metadata-patch.ts,patch_payload,yes,"throw new Error(""Portugal FAQ source SHA-256 does not match the current record"");",pt,Portugal SEO metadata patch runner,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/portugal-seo-remaining-drafts.ts,draft_payload,yes,"throw new Error(""Portugal SEO confirmation token does not match the selected draft"");",pt,Remaining Portugal SEO drafts,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/content/romania-clinical-review.ts,clinical_gate,yes,* country (so admin can't accidentally attach a Romania-only doctor to,ro|es|br,"Clinical-approval gate for Romania AND Spain AND Brazil: content state hashes, approval registries, review policies; wraps every admin CMS write",none for ie/cz/pt - their CMS writes are ungated,"Rename to reviewedClinicalTransaction; Country.clinicalApprovalMode + a ClinicalApproval table (stateSha256, reviewerDoctorId, reviewedAt, evidence). Approval evidence must not be a source literal",TF-06
backend/src/lib/ie-sick-cert-blog-content.ts,draft_payload,no,,none-named,Ireland sick-cert blog article body,none,"Move to backend/scripts/applied/ once the DB write is verified, or delete; nothing should import a one-shot payload from src/",TF-11
backend/src/modules/brazil-consent/brazil-consent-link.service.ts,runtime_market_module,yes,"* Invoice email copy, keyed by `Country.code` — ie, cz, es, ro, br. Portugal is",br,Brazil telemedicine consent link generation + invoice email copy keyed by Country.code,none (no other market requires a separate consent artefact today),"Generalise to a ConsentRequirement record on Country (consentKind, templateKey); keep the Brazil template as data",TF-08
backend/src/modules/brazil-consent/brazil-consent.service.ts,runtime_market_module,yes,"return reply.status(404).send(errorResponse(""Brazil appointment not found""));",br,Brazil per-appointment consent state machine,none,Same ConsentRequirement record; the service becomes consent.service.ts,TF-08
backend/src/modules/invoices/pt-invoice-mirror.service.ts,runtime_market_module,yes,* Portugal only: issue the legal InvoiceReceipt through the InvoiceExpress REST,pt,Portugal InvoiceExpress legal InvoiceReceipt mirror,none (no other market has an external legal issuer),"Legitimate: keep the module, select it via Country.invoiceIssuer + an issuer registry",TF-07
backend/src/modules/invoices/pt-invoicexpress.service.ts,runtime_market_module,yes,* Portugal: InvoiceExpress's native Stripe integration auto-issues the legal,pt,Portugal InvoiceExpress REST integration,none,"Legitimate: keep, select via Country.invoiceIssuer",TF-07
