topic,keyword_cluster,webdoctor_url,webdoctor_page_type,webdoctor_rankings,webdoctor_estimated_traffic,our_existing_url,our_current_status,gap_type,recommended_action,proposed_url,priority,effort,clinical_review,notes
Online GP,IE-GP,https://www.webdoctor.ie/,homepage/service hub,Rank 1 for online doctor ireland,,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,"Live; 453 impressions, 4 clicks, avg position 19.22 in joined 90-day opportunity data",Authority and SERP gap,Keep one canonical GP page; strengthen verified differentiation and internal links only after page-level query review,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,P1,Medium,Yes,Commercial SERP; no new competing GP page
Sick certificates,IE-SICK-CERT,https://www.webdoctor.ie/online-doctor-ireland/,service capability,WebDoctor not in top 10 for sampled sick cert online SERP,,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,"Live, indexable, 1286 words",Weak visibility / CTR,Improve the existing page and supporting article; preserve one-hop legacy redirects,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,P1,Medium,Yes,Do not guarantee certificate issuance; subject to clinical assessment
Sick-leave education,IE-SICK-CERT,,supporting content,,,https://www.myglobalhealth.online/ireland/en/blog/sick-certificate-ireland-employee-rights,"2072 impressions, 12 clicks, avg position 15.79 in joined 90-day opportunity data",Weak CTR and striking distance,Review query-to-page intent and snippet after the existing migration recrawl; link to the service with cautious wording,https://www.myglobalhealth.online/ireland/en/blog/sick-certificate-ireland-employee-rights,P0,Low,Yes,Do not reopen redirect work without new evidence
Illness Benefit guide,IE-SICK-CERT,,supporting content,,,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,"1430 impressions, 5 clicks, avg position 9.48",Weak CTR,Review title/description against current GSC queries and official Irish sources; preserve article intent,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,P0,Low,Yes,Government guidance must be rechecked before copy changes
Home blood tests,IE-LABS,https://www.webdoctor.ie/home-test-kits/,commercial hub,Rank 1 for home blood test ireland,,https://www.myglobalhealth.online/ireland/en/lab-tests,"606 impressions, 5 clicks, avg position 18.55; canonical ledger freeze active",Competitor and visibility gap,No change before approximately 2026-09-08; remeasure then act only if ledger thresholds are met,https://www.myglobalhealth.online/ireland/en/lab-tests,P0,Deferred,Yes,WebDoctor and specialist test providers dominate sampled SERP
Mental health consultation,IE-MENTAL,https://www.webdoctor.ie/mental-health/,commercial service,Rank 1 for online mental health consultation,,https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation,"151 impressions, 2 clicks, avg position 16.75",Competitor/content gap,Differentiate the existing GP assessment page from therapy/counselling results; do not imply specialist psychotherapy,https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation,P0,Medium,Yes,High YMYL and service-boundary risk
Psychiatry consultation,IE-MENTAL,https://www.webdoctor.ie/mental-health/,commercial service,,,https://www.myglobalhealth.online/ireland/en/services/psychiatry-specialist-consultation,"195 impressions, 6 clicks, avg position 14.83",Intent overlap / cannibalisation risk,Keep psychiatry and GP mental-health intent distinct; validate overlapping queries before edits,https://www.myglobalhealth.online/ireland/en/services/psychiatry-specialist-consultation,P0,Medium,Yes,Do not merge solely on shared wording
Medical weight management,IE-WEIGHT,https://www.webdoctor.ie/weight-management-services/,commercial service,Rank 2 for online weight management ireland,,https://www.myglobalhealth.online/ireland/en/services/weight-management-consultation,Live; 1771 words,Competitor authority gap,Strengthen verified programme/process differentiation; medication-specific terms require regulatory review,https://www.myglobalhealth.online/ireland/en/services/weight-management-consultation,P1,Medium,Yes,No outcome or prescription guarantees
BMI calculator,IE-WEIGHT-TOOLS,https://www.webdoctor.ie/bmi-calculator/,tool,Rank 3 for bmi calculator,,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,Existing tool; target domain ranks for related calculator terms,Authority/link gap,Use the tool as a linkable asset and connect it contextually to appropriate services without diagnosis claims,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,P1,Low,Yes,Avoid implying BMI is a diagnosis
Blood pressure chart,IE-BP-TOOL,,tool,,,https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,"340 impressions, 2 clicks, avg position 9.50; OpenSEO rank 20 for head term",Striking-distance tool,Improve explanatory context and official Irish sourcing only after clinical review,https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,P0,Low,Yes,Emergency/escalation thresholds require clinical review
