"URL","page type","primary keyword","secondary keywords","original title","optimized title","original meta description","optimized meta description","description optimized","bio optimized","FAQs optimized","deslop completed","factual verification completed","clinical review required","implementation status","reason for anything left unchanged"
"https://www.myglobalhealth.online/portugal/pt","market hub","global health","my global health | global health online | global health company | global health care","Médico Online Portugal | Clínicos e Especialistas Registados","Global Health Portugal | Cuidados médicos online","Consulte hoje um médico registado por videochamada — clínica geral, atestados médicos, referenciações para especialistas. Mesmo dia em Portugal.","Conheça os cuidados médicos online da Global Health em Portugal. Consulte os serviços disponíveis, os médicos e os passos para marcar uma consulta.","no","not applicable","no","yes","no","yes","editorial owner approved; CMS implementation blocked pending clinical review","H1, visible copy, FAQs and links were reviewed and retained pending clinical approval; live canonical, pt-PT hreflang, schema, indexability and booking CTA checks passed. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","service page","consulta médica online","médico online | teleconsulta | consulta online | marcação de consulta online | consulta clínico geral","Consulta Médica Online em Portugal | Marcação no Mesmo Dia","Consulta Médica Online em Portugal | Global Health","Fale com um médico registado na Ordem dos Médicos hoje, por videochamada segura. Consultas disponíveis no mesmo dia para sintomas agudos e questões clínicas. Marque já. Aceitamos também Medicare para este serviço.","Consulta por videochamada com médico registado na Ordem dos Médicos, para sintomas agudos e questões clínicas. Disponibilidade conforme a agenda.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","service page","médico de família online","medicina geral e familiar | pedir médico de família online | médico de família | preço consulta medicina geral e familiar","Consulta de Medicina Geral e Familiar Online | Médico Especialista","Médico de Família Online | Medicina Geral e Familiar","Consulta com um médico especialista em Medicina Geral e Familiar. Gestão de doença crónica, cuidados continuados e medicina preventiva, por videochamada segura. Marque já.","Consulta com especialista em Medicina Geral e Familiar, por videochamada segura, para doença crónica, cuidados continuados e medicina preventiva.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","service page","baixa médica online","pedir baixa médica online | pedir baixa online | pedir baixa médica 3 dias | interromper baixa médica online","Justificação Médica Online Portugal | Atestado para o Trabalho","Baixa Médica Online: Consulta e Avaliação | Portugal","Avaliação médica online e emissão de justificação de falta ao trabalho por doença. Médico registado na Ordem dos Médicos, documento aceite por entidades patronais. Marque já. Aceitamos também Medicare para este serviço.","Avaliação médica online de falta ao trabalho, com médico registado na Ordem dos Médicos. Qualquer documento depende da decisão clínica.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","service page","atestado médico para carta de condução","atestado médico online para carta de condução | atestado médico carta de condução | atestado médico IMT | preço atestado médico para carta de condução","Atestado Médico para Carta de Condução Online Portugal","RETER TÍTULO ATUAL — sem alteração aprovada","Avaliação médica online para atestado de aptidão para condução, Grupo 1 e Grupo 2. Médico registado na Ordem dos Médicos, documento aceite pelo IMT. Marque já. Aceitamos também Medicare para este serviço.","RETER DESCRIÇÃO ATUAL — a alegação de aceitação pelo IMT e o âmbito Grupo 1/2 permanecem em produção, mas exigem verificação oficial; não foi aprovada nova redação.","no","not applicable","no","yes","no","yes","editorial owner approved; retained; official verification blocked","Title, meta description, H1, visible copy, FAQs and links were retained because the IMT and Group 1/2 claims require official verification before any rewrite. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","service page","atestado médico online","certificados médicos online | preciso de um atestado médico urgente | atestado online | conseguir atestado médico online","Atestados Médicos Online Portugal | Caça, Náutica, Desporto","Atestado Médico Online: Avaliação Clínica | Portugal","Atestados médicos online para caça, náutica de recreio, desporto federado, concursos públicos e mais. Médico registado na Ordem dos Médicos. Marque já a sua consulta. Aceitamos também Medicare para este serviço.","Avaliação online para atestados de caça, náutica, desporto federado e concursos públicos. A emissão depende do documento e da avaliação clínica.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","service page","renovação de receita online","receita médica online | renovação de receita | pedir receita médica online | prescrição médica eletrónica","Revisão de Tratamento Online Portugal | Continuidade de Cuidados","Renovação de Receita Online: Avaliação Médica","Renovação de tratamento com avaliação clínica completa. Os nossos médicos, registados na Ordem dos Médicos, avaliam a sua condição por videochamada segura. Continuidade de cuidados, com avaliação clínica completa.","Continuidade de tratamento com avaliação clínica por videochamada segura, com médicos registados na Ordem dos Médicos. A prescrição depende da decisão clínica.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","service page","consulta do viajante online","consulta do viajante | consulta viajante online | marcar consulta do viajante online | consulta do viajante preço","Consulta de Saúde do Viajante Portugal | Médico Antes de Viajar","Consulta do Viajante Online | Portugal","Avaliação de saúde para viagens ao estrangeiro. Os nossos médicos, registados na Ordem dos Médicos, avaliam riscos específicos do destino e aconselham vacinação e profilaxia, por videochamada segura. Marque já. Aceitamos também Medicare para este serviço.","Consulta do viajante por videochamada com médico registado. Avaliação dos riscos do destino e aconselhamento sobre vacinação e profilaxia.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","service page","referenciação médica online","referenciação médica | consulta de referenciação | análise clínica | exame médico | referenciação hospitalar","Referenciação Médica e Exames Online Portugal | Análises","Referenciação Médica Online e Exames | Portugal","Referenciação para especialista, análises ao sangue e exames de imagiologia. Os nossos médicos, registados na Ordem dos Médicos, avaliam e coordenam, por videochamada. Marque já. Aceitamos também Medicare para este serviço.","Avaliação médica por videochamada para eventual referenciação, análises ou imagiologia, com médicos registados na Ordem.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","specialist service page","cardiologista online","consulta cardiologia online | consulta cardio online | consulta cardiologista | valores da tensão arterial","Consulta de Cardiologia Online Portugal | Cardiologista","Cardiologista Online | Consulta de Cardiologia","Consulta com cardiologista registado na Ordem dos Médicos. Avaliação de risco cardiovascular, gestão de doença cardíaca, e segundas opiniões, por videochamada segura.","Consulta com cardiologista registado na Ordem dos Médicos para risco cardiovascular, doença cardíaca ou segunda opinião, por videochamada segura.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
