cluster,primary_keyword,intent,current_owner,proposed_owner,gap,serp_evidence,priority,recommended_action,clinical_review
Online GP,praktický lékař online,transactional,/czechia/cs/gp-consultation-online,/czechia/cs/gp-consultation-online,"Owner exists but ranks below the article/home for variants","59 Czech-searcher impressions; GP position 15.05",P0,"Strengthen answer-first scope, trust, price and internal anchors after hold",yes
Online doctor,online lékař,commercial,/czechia/cs,/czechia/cs/gp-consultation-online,"Broad demand is split between home and GP","Volume 880; difficulty 28; target top-20 limited",P0,"Keep home market-level; route commercial anchors to GP",yes
24/7 consultation,lékař online 24/7,transactional,/czechia/cs/blog/lekar-online-24-7-co-vyresi,/czechia/cs/blog/lekar-online-24-7-co-vyresi,"Article can overreach into booking intent","Volume 170; difficulty 6; article earns praktik online impressions",P0,"Retain explainer ownership; link prominently to GP and avoid availability guarantees",yes
Online consultation,online konzultace s lékařem,transactional,/czechia/cs/gp-consultation-online,/czechia/cs/gp-consultation-online,"Low-difficulty commercial demand lacks a strong owner","Difficulty 4 in provider data",P0,"Add phrase naturally to opening, title support and FAQ only if visible",yes
Sick note service,online neschopenka,transactional,/czechia/cs/services/neschopenka-online,/czechia/cs/services/neschopenka-online,"Service page trails informational estate","Service page 43 impressions at position 16.74",P0,"Clarify assessment, eligibility, clinician discretion and booking CTA",yes
eNeschopenka process,eneschopenka,informational,/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,"Authority needed for process claims","Volume 1300; explainer 682 impressions",P0,"Cite ČSSZ; keep login/navigation intent out of service copy",yes
Treatment renewal,obnovení receptu online,transactional,/czechia/cs/services/obnoveni-lecby,/czechia/cs/services/obnoveni-lecby,"Good early rank but eligibility/exclusions need depth","5 clicks / 56 impressions / position 6.82",P0,"Explain review requirements and exclusions without promising prescription",yes
Prague Czech care,lékař online Praha,transactional,/czechia/cs/services/lekar-online-praha,/czechia/cs/services/lekar-online-praha,"Prague trust and use-case depth can improve",Live SERPs include clinic networks and marketplaces,P1,"Strengthen local relevance without fake address/location claims",yes
Prague expat care,english speaking doctor prague,transactional,/czechia/en/services/lekar-online-praha,/czechia/en/services/lekar-online-praha,"Existing winner lacks supporting expat journey","13 clicks / 124 impressions / position 5.44",P0,"Protect page; add verified online/in-person boundary and expat FAQs",yes
Czechia expat hub,online doctor czech republic,commercial,/czechia/en,/czechia/en,"English market-level demand needs clearer routing","GSC 9 impressions / position 10 for query variant",P1,"Use English hub to route Prague/service intent; no new city pages",yes
Paediatrics,dětský lékař online,transactional,/czechia/cs/services/detsky-lekar-online,/czechia/cs/services/detsky-lekar-online,"Direct specialist competitors have focused journeys","4 clicks / 96 impressions / position 8.72; ePediatr best rank 1",P1,"Add age/symptom suitability and red-flag escalation",yes
Dermatology,kožní lékař online,transactional,/czechia/cs/services/kozni-konzultace-praha,/czechia/cs/services/kozni-konzultace-praha,"Weak authority and incomplete image/scope explanation","1 click / 51 impressions / position 16.43",P1,"Explain suitable conditions, image quality and in-person limits",yes
Referrals,žádanka online,transactional,/czechia/cs/services/doporuceni-a-vysetreni,/czechia/cs/services/doporuceni-a-vysetreni,"System/process intent can be mistaken for guaranteed issue",Public/insurer pages dominate informational SERPs,P1,"Explain assessment-first process and cite NZIP/NCeZ",yes
Second opinion,druhý názor lékaře,commercial,/czechia/cs/services/druhy-nazor-praha,/czechia/cs/services/druhy-nazor-praha,"Low observed demand but strong service fit","Five eligible terms in cluster",P2,"Improve only within existing page; no new specialty pages",yes
Blood pressure,krevní tlak kalkulačka,informational,/czechia/cs/tools/blood-pressure-chart,/czechia/cs/tools/blood-pressure-chart,"Strongest current query requires maintenance, not expansion","10 clicks / 381 impressions / position 4.92",P1,"Protect canonical, clinical interpretation and links to appropriate care",yes
