"cluster_id","keyword","search_volume","keyword_difficulty","intent","best_competitor","best_competitor_position","best_competitor_url","target_position","target_url","opportunity_score","priority","recommended_action","proposed_target_url","clinical_risk","notes"
"sick-leave","pedir baixa médica online","390","0","transactional","dronline.pt","1","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","pedir baixa online","320","0","transactional","dronline.pt","5","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","pedir baixa médica 3 dias","170","0","transactional","dronline.pt","12","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"online-doctor","marcação de consulta online","90","9","transactional","medicinaonline.multicare.pt","7","","","","91","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","marcação de consulta","390","12","informational","medicinaonline.multicare.pt","14","","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"sick-leave","baixa médica online","210","0","informational","dronline.pt","4","https://dronline.pt/produto/baixa-medica-online-certificado-de-incapacidade-temporaria/","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"online-doctor","e consulta","210","14","informational","medicinaonline.multicare.pt","23","","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"pediatrics","pediatra consulta","210","0","informational","dronline.pt","85","https://www.dronline.pt/es/produto/pediatra/","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","2",""
"sick-leave","pedir baixa médica","170","0","informational","dronline.pt","6","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"online-doctor","consulta clínico geral","140","0","informational","dronline.pt","21","https://dronline.pt/","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"womens-health","consulta menopausa","140","0","informational","dronline.pt","41","https://dronline.pt/produto/consulta-da-menopausa/","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","2",""
"hair-loss","consulta cabelo","110","0","informational","dronline.pt","27","https://dronline.pt/produto/video-consulta-de-queda-de-cabelo/","","","86","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-queda-de-cabelo","2",""
"online-doctor","consulta médico","260","19","informational","dronline.pt","3","https://dronline.pt/","","","83","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","marcação consulta online","1000","22","navigational","medicinaonline.multicare.pt","9","","","","82","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","teleconsulta","880","0","navigational","teleconsultaportugal.com","3","","","","82","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","teleconsulta portugal","260","0","navigational","teleconsultaportugal.com","1","","","","82","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","consulta","4400","48","informational","dronline.pt","1","https://dronline.pt/","","","80","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","dr consulta","260","39","navigational","dronline.pt","2","https://dronline.pt/","","","76","P1","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"prescription-renewal","prescrição médica eletronica","720","8","transactional","dronline.pt","69","https://dronline.pt/","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"prescription-renewal","receita medica","590","0","transactional","mediconanet.pt","3","","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Requires clinician/compliance review before content changes. Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"prescription-renewal","pedir receitas medicas online","320","0","transactional","mediconanet.pt","4","","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"prescription-renewal","pedir receita medica online","320","0","transactional","mediconanet.pt","2","","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Requires clinician/compliance review before content changes. Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"prescription-renewal","receita medica online","320","0","transactional","mediconanet.pt","3","","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Requires clinician/compliance review before content changes. Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"prescription-renewal","receita médica online","320","0","transactional","mediconanet.pt","2","","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Requires clinician/compliance review before content changes. Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"sick-leave","baixa psicológica paga a 100 portugal","210","0","transactional","dronline.pt","16","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"prescription-renewal","pedir receita online","210","0","transactional","mediconanet.pt","5","","","","94","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Requires clinician/compliance review before content changes. Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"sick-leave","baixa profissional e paga a 100","170","0","transactional","dronline.pt","20","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"family-medicine","pedir médico de família online","170","8","transactional","dronline.pt","7","https://dronline.pt/","","","94","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","2",""
"sick-leave","prazo entrega baixa medica entidade patronal","170","0","transactional","dronline.pt","18","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por assistência a cônjuge e paga","140","0","transactional","dronline.pt","30","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa profissional e paga à 100","110","0","transactional","dronline.pt","19","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","94","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"womens-health","teste de gravidez","14800","0","informational","hospitaldaluz.pt","4","","","","92","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","2",""
"referrals-and-tests","análise clínica","12100","0","informational","lusiadas.pt","6","","","","92","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","2",""
"online-doctor","doença da zona","12100","0","informational","cuf.pt","2","","","","92","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"sick-leave","baixa médica a 100 para doentes oncológicos","210","0","commercial","dronline.pt","62","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","90","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por cirurgia quanto se recebe","170","0","commercial","dronline.pt","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","90","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"mental-health","tdah","12100","23","informational","mediconanet.pt","47","","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-mental","2",""
"online-doctor","doença do beijinho","4400","0","informational","hospitaldaluz.pt","2","","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"oncology","cancros de pele","3600","0","informational","lusiadas.pt","2","","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-oncologia","2",""
"womens-health","gravidez ectópica","3600","0","informational","hospitaldaluz.pt","2","","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","2",""
"sick-leave","baixa psicológica","1900","0","informational","dronline.pt","13","https://dronline.pt/produto/baixa-medica-online-certificado-de-incapacidade-temporaria/","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
