"page_or_file","topic","risk_level","claims_requiring_review","source_status","reviewer_required","publish_status","notes","reviewer_name","reviewer_doctor_id","clinical_reviewer_professional_body","clinical_reviewer_specialty_id","reviewed_at","official_source_references","approved_sha256","compliance_reviewer_name","compliance_reviewer_id","compliance_reviewed_at","content_owner_name","content_owner_id","content_owner_reviewed_at","fact_register_sha256","credential_subject_doctor_id","delegated_by_doctor_id"
"seo/portugal/content-briefs/00-market-hub.md -> https://www.myglobalhealth.online/portugal/pt","target-brand","medium","Service availability, clinician/regulatory credentials, prices, access claims, and booking CTA.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","670baf25acc59976cb035a8be54e14dab7966903b3b9d69015bf35d7b6c91dd2","","","","","","","","",""
"seo/portugal/content-briefs/01-consulta-medica.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","online-doctor","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","0a04abe6bafda38b7e61bddb9fcec39a1c356d3eb76b0e9dad55bb04065f5bf7","","","","","","","","",""
"seo/portugal/content-briefs/02-medicina-geral-familiar.md -> https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","family-medicine","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","dab22ce4ba378e88c2920b488cd25f0266b4e30997d2fed547053ad5f45acff9","","","","","","","","",""
"seo/portugal/content-briefs/03-baixa-medica.md -> https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","sick-leave","high","Eligibility, Portuguese process or legal requirements, document/prescription outcome, timelines, and explicit no-guarantee wording.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","ec20b20cfe5e726152e2a2d875127f0ee343b9f192fa1aa734bc129158835cca","","","","","","","","",""
"seo/portugal/content-briefs/04-certificado-carta-conducao.md -> https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","driving-medical-certificate","high","Eligibility, Portuguese process or legal requirements, document/prescription outcome, timelines, and explicit no-guarantee wording.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Retain-current disposition; no production metadata change authorized.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.imt-ip.pt/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","65f6730ab8614c552350c284fea8c19c5ab558462942999d5e1f67cdc839375d","","","","","","","","",""
"seo/portugal/content-briefs/05-certificados-medicos.md -> https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","medical-certificates","high","Eligibility, Portuguese process or legal requirements, document/prescription outcome, timelines, and explicit no-guarantee wording.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","e617000caea83b6a86f9e27deb592eb6eac75c363818677a844f5972ed64c776","","","","","","","","",""
"seo/portugal/content-briefs/06-renovacao-tratamento.md -> https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","prescription-renewal","high","Eligibility, Portuguese process or legal requirements, document/prescription outcome, timelines, and explicit no-guarantee wording.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","08fc33c8e80e2268be7e8144867a9ea1590816ddb9928d5e75e67085e0a8e213","","","","","","","","",""
"seo/portugal/content-briefs/07-consulta-viajante.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","traveller-health","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","ae1c97a7a4392d9c53dd76f3977eaee5c65ffb5e9316fb73c5ca09bbdb6c79c7","","","","","","","","",""
"seo/portugal/content-briefs/08-referenciacao.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","referrals-and-tests","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","3fc7f5e277d8dacebffa7e8afe36be1af361fedef65d6121a41ffab0239c4061","","","","","","","","",""
"seo/portugal/content-briefs/09-cardiologia.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","cardiology","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","d67fca43b83e955e9e4046a2687cadceda2784f384c578088e62d0b0d72e1288","","","","","","","","",""
