source,property_or_scope,current_session_status,last_documented_check,required_read_check,data_limit_or_risk,next_action,source_url
OpenSEO claude.ai connector,Account globalhealth@myglobalhealth.online; project GlobalHealthNew 7804f362-5891-417e-9c3a-d9e8d4d7dc6b; default market Ireland/en (2372/en),"Working. whoami returned scopes offline_access+mcp, mode hosted, 10696 credits at 2026-09-15 session start. Tools exposed as mcp__5d8b8083-4ca6-4eb7-901c-dc53cac45319__<tool>. Subagents reach it only after ToolSearch select:<exact tool name>; a duplicate user-level 'openseo' MCP entry reports needs_auth and is ignored. Credits at end of run: 9,945 (751 spent: site audit 600 pages + Lighthouse ≈436; A7 research ≈315 — 22 paid calls, see A7-market/manifest-A7.json).",2026-09-15,whoami,"Research tools cost DataForSEO credits; ask before any batch over 2,000 credits; GSC/GA4 tools free",Record credits spent at end of run,https://app.openseo.so/p/7804f362-5891-417e-9c3a-d9e8d4d7dc6b/settings/integrations
Google Search Console via OpenSEO,sc-domain:myglobalhealth.online,"Working. get_search_console_performance date series 2026-09-08..09-14 returned 7 rows; latest row 2026-09-14 (partial). Read-only, free.",2026-09-15,get_search_console_performance dimensions=[date] 7 days,1000 rows/call with startRow pagination; 16-month lookback; dates Pacific Time; last ~3 days incomplete; country dimension returns lowercase alpha-3; anonymized queries omitted,Latest complete date asserted 2026-09-11,https://developers.google.com/webmaster-tools/v1/searchanalytics/query
GSC URL Inspection via OpenSEO,sc-domain:myglobalhealth.online,"Working (inspect_urls). 10 URLs per call, ~7.5 s per URL, ~2000/day quota. Priority set 628 URLs (385 primary-locale sitemap + 243 blog) inspected this run; 1637 sitemap URLs queued for next day.",2026-09-15,inspect_urls batches (see A3-gsc/inspect),Quota 2000/day; stored Google state not a live fetch; coverage lives in indexStatusResult.coverageState,Inspect remainder queue on following days,https://developers.google.com/webmaster-tools/v1/urlInspection.index/inspect
GA4 via OpenSEO,properties/547083375 (myglobalhealth.online); stream 15322239584 G-SP48D9LJJ5 created 2026-07-25,"Working. measurement_health OK: 1 web stream, 3 key events (purchase 2026-07-25, begin_booking 2026-08-24, booking_confirmed 2026-09-09), custom dims market + service_category. organic_overview 2026-09-09..09-14: 260 sessions, 27 key events, 0 transactions.",2026-09-15,get_google_analytics_measurement_health + organic_overview,Fixed reports only (no raw Data API): no daily grain for landing x country x device; no user-level dims; valid windows 2026-07-25..08-01 and 2026-09-09 onward; 2026-08-02..09-08 outage is unmeasured not zero; begin_checkout not registered; timezone Europe/Dublin; currency EUR,Keep outage cells blank with data_quality note; owner to register begin_checkout and confirm GSC-GA4 product link in Admin,https://developers.google.com/analytics/devguides/reporting/data/v1/rest
GSC-GA4 product link,GA4 Admin > Product links,Unknown via API in this runtime (no admin-link tool). 2026-09-09 review recorded no link.,2026-09-09,Manual check in GA4 Admin,Cannot be verified programmatically here,Owner confirms link state; do not create without approval,https://support.google.com/analytics/answer/10737381
Google plugin scripts (claude-seo),~/.config/claude-seo/,Not available: config directory absent after Windows reinstall; GOOGLE_API_KEY unset.,2026-09-15,Test-Path ~/.config/claude-seo -> False,No CrUX / PageSpeed API access,Not required; OpenSEO covers GSC/GA4. Add GOOGLE_API_KEY only if CrUX field data is wanted,https://developers.google.com/speed/docs/insights/v5/get-started
CrUX / PageSpeed Insights,API key,No key. Field data unknown (not failure). Lab scores only from the OpenSEO site audit with Lighthouse.,2026-09-15,env GOOGLE_API_KEY -> unset,Keyless PageSpeed returns HTTP 429,Optional: owner supplies API key for field data,https://developer.chrome.com/docs/crux/api
OpenSEO site audit (DataForSEO-backed crawler + Lighthouse),https://www.myglobalhealth.online/ maxPages 600 runLighthouse true,"Completed 2026-09-15T05:20Z: 600 pages (Ireland 430, Brazil 42, Portugal 42, Czechia 39, Romania 33, Spain 6, utility 7); 323 issues (0 critical, 29 warning, 294 info); Lighthouse 20 scheduled / 10 completed / 10 failed but per-page scores are NOT exposed by get_audit_pages/get_audit_issues — lab performance unknown from this runtime.",2026-09-15,get_audit_status,Credit cost recorded from whoami delta; Lighthouse sample max 10 pages; crawler may be rate limited,Read issues/pages after completion,https://app.openseo.so/p/7804f362-5891-417e-9c3a-d9e8d4d7dc6b/audit
Claude Browser (in-app),Chromium tab in Claude desktop,"Working. Used for rendered-DOM checks on representative pages (/, /ireland/en, /portugal/pt/doctors, /czechia/cs, /brazil/pt/pricing): hreflang links, JSON-LD, robots, H1, console errors, consent gating (gtag not loaded before consent).",2026-09-15,navigate + javascript_tool,Verification tool not a crawler; no downloads; no form submission,Representative pages per template/market plus every probe-flagged page,https://www.myglobalhealth.online/
Public HTTP probe (A2),https://www.myglobalhealth.online (every inventory URL),Working. Host: apex/http variants 301 to https://www; trailing slash 308; robots.txt 200; sitemap.xml 200 3.1 MB 2265 loc.,2026-09-15,curl GET with audit UA,Polite rate <=4 req/s; GET only,See 05_Technical_QA and 08_Crawl_History,https://www.myglobalhealth.online/sitemap.xml
Public content APIs,Backend public read endpoints (discovered by A1),Read-only GET only; results in A1-inventory/raw/api,2026-09-15,A1 api_access.csv,No auth/admin endpoints; no DB connections,See 04_Page_Inventory entity sources,https://www.myglobalhealth.online/
Repository,git origin myglobalhealthonline/global-health-website; branch Dev-hassaan; HEAD f055a9b78a567502051c7c81b9f9313da32cdc4d,"Working. Next 16.2.11 / React 19.2.8 confirmed in frontend/package.json. Working tree carried another session's uncommitted edits (ledger §59.16, country-home-copy.ts, next-env.d.ts).",2026-09-15,git status; git rev-parse HEAD,Shared clone: stage by explicit path only,Commit audit outputs by explicit path on Dev-hassaan; do not push,https://github.com/myglobalhealthonline/global-health-website
