inspected_at,url,verdict,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,crawled_as,google_canonical,user_canonical,canonical_match,mobile_usability_verdict,rich_results_verdict,rich_results_types,sitemap_listed,referring_urls_count,error
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/de/blog/krankengeld-portugal-hoehe-berechnung,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,CRAWLING_USER_AGENT_UNSPECIFIED,,,unknown,VERDICT_UNSPECIFIED,,,yes,2,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/en/blog/portugal-sick-pay-how-much-calculation,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-14T20:16:10Z,MOBILE,https://www.myglobalhealth.online/portugal/en/blog/portugal-sick-pay-how-much-calculation,,unknown,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/es/blog/baja-medica-portugal-cuanto-se-cobra-calculo,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-30T11:56:16Z,MOBILE,https://www.myglobalhealth.online/portugal/es/blog/baja-medica-portugal-cuanto-se-cobra-calculo,https://www.myglobalhealth.online/portugal/es/blog/baja-medica-portugal-cuanto-se-cobra-calculo,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,0,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/ro/blog/concediu-medical-portugalia-cat-se-plateste-calcul,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-30T11:27:22Z,MOBILE,https://www.myglobalhealth.online/portugal/ro/blog/concediu-medical-portugalia-cat-se-plateste-calcul,https://www.myglobalhealth.online/portugal/ro/blog/concediu-medical-portugalia-cat-se-plateste-calcul,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,no,1,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-29T15:39:19Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,0,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/cs/blog/lekarske-potvrzeni-ridicsky-prukaz-portugalsko,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,CRAWLING_USER_AGENT_UNSPECIFIED,,,unknown,VERDICT_UNSPECIFIED,,,yes,2,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/de/blog/aerztliches-attest-fuehrerschein-portugal,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-31T01:19:18Z,MOBILE,https://www.myglobalhealth.online/portugal/de/blog/aerztliches-attest-fuehrerschein-portugal,https://www.myglobalhealth.online/portugal/de/blog/aerztliches-attest-fuehrerschein-portugal,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/en/blog/driving-licence-medical-certificate-portugal,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,CRAWLING_USER_AGENT_UNSPECIFIED,,,unknown,VERDICT_UNSPECIFIED,,,yes,2,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/es/blog/certificado-medico-carnet-conducir-portugal,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,CRAWLING_USER_AGENT_UNSPECIFIED,,,unknown,VERDICT_UNSPECIFIED,,,yes,1,
2026-09-15T05:22:30Z,https://www.myglobalhealth.online/portugal/ro/blog/certificat-medical-permis-portugalia,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-30T12:39:58Z,MOBILE,https://www.myglobalhealth.online/portugal/ro/blog/certificat-medical-permis-portugalia,https://www.myglobalhealth.online/portugal/ro/blog/certificat-medical-permis-portugalia,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
